LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5,
E. Ilyasova - M. Morris - R. Jackson - A. Drummond - K. Caldwell-Pope,DET,48,915,105.2,101.5,3.8,48.1,1.45,14.3,33,74.9,52.3,0.1,48.9,51.2,96.02,49.6,E. Ilyasova , M. Morris , R. Jackson , A. Drummond , K. Caldwell-Pope,
K. Korver - P. Millsap - A. Horford - J. Teague - K. Bazemore,ATL,70,892,104.3,100.5,3.8,70.8,1.94,20.5,21,70.6,46.9,0.1,52.6,56,100.36,53.3,K. Korver , P. Millsap , A. Horford , J. Teague , K. Bazemore,
K. Durant - R. Westbrook - S. Ibaka - A. Roberson - S. Adams,OKC,59,816,114.3,96.5,17.8,61.9,1.82,19.4,33.7,73.4,55.5,0.2,54.6,58,97.03,62.6,K. Durant , R. Westbrook , S. Ibaka , A. Roberson , S. Adams,
C. Anthony - J. Calderon - A. Afflalo - R. Lopez - K. Porzingis,NYK,50,735,103.6,105.9,-2.3,50.1,1.41,15.3,28.5,75.3,52.6,0.1,50.2,53.3,94.25,48.9,C. Anthony , J. Calderon , A. Afflalo , R. Lopez , K. Porzingis,
A. Johnson - A. Bradley - I. Thomas - J. Sullinger - J. Crowder,BOS,60,723,106.4,104.1,2.4,67.9,2.23,19.8,28.1,68.7,48.1,0.1,50.5,53.3,97.76,51,A. Johnson , A. Bradley , I. Thomas , J. Sullinger , J. Crowder,
T. Duncan - T. Parker - L. Aldridge - D. Green - K. Leonard,SAS,47,698,104.4,95.2,9.2,61.1,2.03,18.5,26.5,79.3,53.3,0.1,49.4,53,94.2,55.9,T. Duncan , T. Parker , L. Aldridge , D. Green , K. Leonard,
R. Rubio - G. Dieng - Z. LaVine - A. Wiggins - K. Towns,MIN,46,648,112,109.8,2.2,66.8,1.78,20.1,25,69.4,48.5,0.2,55.8,60.8,99.98,53.9,R. Rubio , G. Dieng , Z. LaVine , A. Wiggins , K. Towns,
A. Aminu - D. Lillard - C. McCollum - M. Plumlee - N. Vonleh,POR,52,611,107.4,107.4,0,55.3,1.54,16.5,28.6,76.6,51.4,0.1,51.6,54.3,96.21,45.8,A. Aminu , D. Lillard , C. McCollum , M. Plumlee , N. Vonleh,
K. Bryant - R. Hibbert - J. Clarkson - J. Randle - D. Russell,LAL,51,572,89.6,112.4,-22.8,49.3,1.09,12.9,22.6,71.4,45.4,0.2,42.7,47.1,99.88,35.1,K. Bryant , R. Hibbert , J. Clarkson , J. Randle , D. Russell,
A. Bogut - S. Curry - K. Thompson - H. Barnes - D. Green,GSW,49,552,108.7,95.5,13.2,70.9,1.96,21.5,21.6,79,51.8,0.2,56.6,58.5,102.67,56.6,A. Bogut , S. Curry , K. Thompson , H. Barnes , D. Green,
G. Monroe - K. Middleton - M. Carter-Williams - G. Antetokounmpo - J. Parker,MIL,41,539,105,111.5,-6.5,57,1.69,17.6,29.6,68.7,49.3,0.1,50.8,54.3,96.05,48.1,G. Monroe , K. Middleton , M. Carter-Williams , G. Antetokounmpo , J. Parker,
L. James - J. Smith - K. Love - K. Irving - T. Thompson,CLE,37,466,116.1,103.4,12.6,56.5,2.09,17.7,29.8,75.6,51.8,0.1,54.8,57.6,93.9,55.3,L. James , J. Smith , K. Love , K. Irving , T. Thompson,
M. Morris - T. Harris - R. Jackson - A. Drummond - K. Caldwell-Pope,DET,25,462,108.5,103.5,5.1,55.4,1.75,17,27.8,79.2,52.8,0.1,52.8,55,95.16,50.7,M. Morris , T. Harris , R. Jackson , A. Drummond , K. Caldwell-Pope,
I. Mahinmi - M. Ellis - G. Hill - P. George - M. Turner,IND,25,452,99.9,95.5,4.4,57.7,1.61,16.5,19,75.4,48,0.1,48.9,53.4,100.51,53.4,I. Mahinmi , M. Ellis , G. Hill , P. George , M. Turner,
D. Nowitzki - Z. Pachulia - D. Williams - W. Matthews - C. Parsons,DAL,40,419,100.6,100.1,0.5,66.9,1.79,18.2,22.5,75.1,49,0.1,49,52.9,94.11,52.2,D. Nowitzki , Z. Pachulia , D. Williams , W. Matthews , C. Parsons,
J. Johnson - T. Young - B. Lopez - W. Ellington - D. Sloan,BKN,26,408,107.8,105,2.8,59.9,1.85,18.7,19.8,77.2,49.7,0.1,53.9,57.7,94.84,51.7,J. Johnson , T. Young , B. Lopez , W. Ellington , D. Sloan,
M. Williams - C. Lee - N. Batum - K. Walker - C. Zeller,CHA,23,407,114.9,104.5,10.4,63.7,2.31,19.4,22.4,75.9,49.6,0.1,55.2,59,97.16,55,M. Williams , C. Lee , N. Batum , K. Walker , C. Zeller,
P. Pierce - C. Paul - J. Redick - D. Jordan - L. Mbah a Moute,LAC,30,375,109.5,98.7,10.9,67.3,2.19,19.7,24.1,74.8,50.6,0.1,54.1,56.5,95.46,55.8,P. Pierce , C. Paul , J. Redick , D. Jordan , L. Mbah a Moute,
K. Durant - R. Westbrook - S. Ibaka - D. Waiters - S. Adams,OKC,49,360,113.7,99.5,14.2,60.1,1.84,18.1,31.7,72,53.3,0.1,53.5,57.8,99.88,60,K. Durant , R. Westbrook , S. Ibaka , D. Waiters , S. Adams,
C. Bosh - D. Wade - L. Deng - G. Dragic - H. Whiteside,MIA,28,339,99.5,100.8,-1.2,57.3,1.52,17.1,24.1,73,49.5,0.2,50.4,52.9,92.34,50.9,C. Bosh , D. Wade , L. Deng , G. Dragic , H. Whiteside,
C. Frye - N. Vucevic - T. Harris - E. Fournier - E. Payton,ORL,26,334,107.5,100,7.5,64.2,2.03,19.8,25.5,74.5,49.7,0.1,53.2,55.5,93.59,53,C. Frye , N. Vucevic , T. Harris , E. Fournier , E. Payton,
I. Mahinmi - C. Miles - M. Ellis - G. Hill - P. George,IND,35,334,100.1,105.7,-5.5,51.7,1.17,14.9,18,66.5,41.9,0.2,51.8,55.8,104.09,44.8,I. Mahinmi , C. Miles , M. Ellis , G. Hill , P. George,
I. Mahinmi - M. Ellis - G. Hill - P. George - L. Allen,IND,40,334,101.8,96.1,5.7,54.9,1.17,15.5,30.9,75.4,54.1,0.2,50.1,53.9,96.2,55.1,I. Mahinmi , M. Ellis , G. Hill , P. George , L. Allen,
L. Scola - K. Lowry - D. DeRozan - J. Johnson - J. Valanciunas,TOR,25,327,105.3,109.2,-3.9,50.6,1.3,14.7,30.4,72.8,51,0.2,48.6,53.4,93.81,47.1,L. Scola , K. Lowry , D. DeRozan , J. Johnson , J. Valanciunas,
M. Gortat - J. Dudley - G. Temple - J. Wall - O. Porter Jr.,WAS,39,312,101.7,104.6,-2.8,72,2.26,21.1,24.5,76.7,50,0.1,51.4,53.1,98.18,49.7,M. Gortat , J. Dudley , G. Temple , J. Wall , O. Porter Jr.,
