LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
P. Millsap - W. Barton - G. Harris - N. Jokic - J. Murray,DEN,38,735,110.9,103.2,7.7,61.6,1.91,18.8,29,73.9,51.5,0.1,53,56.3,98,54.9,P. Millsap , W. Barton , G. Harris , N. Jokic , J. Murray
K. Love - T. Thompson - C. Osman - C. Sexton - D. Garland,CLE,44,679,107.1,115.7,-8.6,53.7,1.37,16.3,30,74.5,51.6,0.2,53.2,56.1,101.2,45,K. Love , T. Thompson , C. Osman , C. Sexton , D. Garland
B. Bogdanovic - R. Gobert - J. Ingles - R. O'Neale - D. Mitchell,UTA,47,570,116.7,102.9,13.7,58.7,1.57,18.1,23.9,77.4,52.9,0.2,60.2,63.7,100.46,57.3,B. Bogdanovic , R. Gobert , J. Ingles , R. O'Neale , D. Mitchell
L. Aldridge - D. DeRozan - T. Lyles - D. Murray - B. Forbes,SAS,40,505,110.3,110.3,0,57.2,2.04,18.5,19.1,79.6,49.1,0.1,54.8,57.5,99.66,48.3,L. Aldridge , D. DeRozan , T. Lyles , D. Murray , B. Forbes
G. Temple - S. Dinwiddie - J. Harris - T. Prince - J. Allen,BKN,43,491,107.8,108,-0.1,64.4,1.97,18.3,25.6,72.2,49,0.1,52.3,55.2,100.84,51,G. Temple , S. Dinwiddie , J. Harris , T. Prince , J. Allen
J. Butler - M. Leonard - B. Adebayo - D. Robinson - K. Nunn,MIA,39,488,116.4,103.1,13.4,67.5,2.13,21.2,21.4,80.9,53,0.1,59,61.8,96.31,57.1,J. Butler , M. Leonard , B. Adebayo , D. Robinson , K. Nunn
B. Lopez - W. Matthews - E. Bledsoe - K. Middleton - G. Antetokounmpo,MIL,39,424,109.7,90.7,18.9,61.8,2.33,19.3,13.8,81,50.7,0.1,55.3,58.3,109.99,62.3,B. Lopez , W. Matthews , E. Bledsoe , K. Middleton , G. Antetokounmpo
J. Valanciunas - J. Crowder - D. Brooks - J. Jackson Jr. - J. Morant,MEM,36,413,115.2,109,6.3,64.3,1.94,19.7,27.9,77.4,53.2,0.1,55.5,58.6,102.32,52.7,J. Valanciunas , J. Crowder , D. Brooks , J. Jackson Jr. , J. Morant
L. James - J. McGee - D. Green - A. Bradley - A. Davis,LAL,33,389,114,101.4,12.6,66.6,1.88,20.7,26.9,76.5,53,0.2,56.7,59.3,102.33,58.3,L. James , J. McGee , D. Green , A. Bradley , A. Davis
M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell,UTA,33,381,113,103.3,9.7,57.3,1.84,17,23.1,78.1,51.8,0.1,55.5,59.5,99.85,55.7,M. Conley , B. Bogdanovic , R. Gobert , R. O'Neale , D. Mitchell
