RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Al Horford,ATL,30,82,48,34,32.1,102.9,98.7,4.2,16.5,2.46,17.8,5.6,15.8,10.9,7.3,54.7,56.5,20.2,99.66,13.7,5464
1,Al-Farouq Aminu,POR,25,82,44,38,28.5,108.2,106.7,1.6,8.7,1.15,13.2,4.1,16.8,10.4,11.5,50.3,53.3,16.6,98.51,8.8,4796
1,Bismack Biyombo,TOR,23,82,56,26,22,104.4,101.3,3.1,2.5,0.41,5.9,10,24.9,17.6,14.5,54.2,58.6,11.4,94.27,10.5,3538
1,Corey Brewer,HOU,30,82,41,41,20.4,101.8,104,-2.1,10.2,1.4,13.6,2.3,9,5.6,9.8,43.9,48.1,17.2,102.49,6,3558
1,Enes Freedom,OKC,24,82,55,27,21,110.3,106.6,3.8,3.2,0.29,3.4,14.5,23,18.9,11.8,58.3,62.6,22.9,97.68,16.2,3499
1,Gorgui Dieng,MIN,26,82,29,53,27.1,106.2,106.5,-0.3,9.9,1.02,14.7,7.7,19.6,13.8,14.4,53.7,60.1,16.5,96.69,11.5,4475
1,Isaiah Thomas,BOS,27,82,48,34,32.2,108.1,103.2,5,31.2,2.31,21.7,1.6,7.1,4.3,9.4,48.8,56.2,28.9,100.7,14.2,5558
1,James Harden,HOU,26,82,41,41,38.1,108.6,106.9,1.6,35.4,1.64,20.7,1.9,14,7.9,12.7,51.2,59.8,31.9,98.74,17.4,6437
1,Karl-Anthony Towns,MIN,20,82,29,53,32,106.8,109.3,-2.5,10.8,0.88,10,9.2,24.2,16.9,11.4,55.5,59,24.3,97.06,15.4,5311
1,Langston Galloway,NYK,24,82,32,50,24.8,100.8,103.4,-2.6,16.1,3.39,22.9,2,11.5,6.8,6.8,45.8,49,15.1,96.38,8.3,4083
1,Mason Plumlee,POR,26,82,44,38,25.4,109,107.4,1.6,16.1,1.47,21.6,9.6,20.3,14.9,14.7,51.6,56.4,17.1,97.85,10.6,4233
1,P.J. Tucker,PHX,31,82,23,59,31,100.7,107.1,-6.4,10.4,1.59,19,6.2,13.8,9.8,11.9,46.9,50.6,12.5,99.32,7.8,5246
1,Ramon Sessions,WAS,30,82,41,41,20.3,101.8,103.2,-1.4,22.8,2.08,22.3,1.5,10.8,6.1,10.7,50.3,56.5,21.4,101.2,11.6,3512
1,Robin Lopez,NYK,28,82,32,50,27.1,104.3,106.5,-2.2,8.3,0.86,11.6,12,14.5,13.3,13.5,53.9,57.4,17.4,94.06,10.6,4346
1,Shabazz Muhammad,MIN,23,82,29,53,20.5,101.3,109.1,-7.8,5.5,0.74,5.7,6.2,10.2,8.2,7.7,49.8,54.8,22.2,97.71,9.8,3424
1,Tristan Thompson,CLE,25,82,57,25,27.7,111,102.2,8.7,4,1.02,9.5,11.6,20.9,16.2,9.4,58.8,61.1,11.4,94.81,10.6,4466
1,Will Barton,DEN,25,82,33,49,28.7,103.7,106.8,-3.1,14.7,1.46,14.1,2.4,17.7,9.9,9.7,48.9,53.5,22.6,97.27,12.5,4778
1,Zach LaVine,MIN,21,82,29,53,28,104.2,110.4,-6.2,18.7,1.62,17.3,1.2,8.9,5.1,10.7,51.6,54.8,22.8,98.5,9.1,4705
19,Allen Crabbe,POR,24,81,43,38,26,106.5,105.5,1,7.2,1.55,11.2,1.2,8.6,4.9,7.2,54.1,57.2,15.9,99.07,7.5,4344
19,Andre Drummond,DET,22,81,43,38,32.9,105.9,103.6,2.4,4.2,0.43,4.3,13.5,30.9,21.7,10,52.2,49.9,23.9,96.09,14,5336
