RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
1,Al Horford,ATL,30,82,48,34,32.1,75.6,24.4,70.6,23.7,21.1,9.1,8.3,14.6,46.9,77.6,22.4,100,0,81.3,18.7
1,Al-Farouq Aminu,POR,25,82,44,38,28.5,51.5,48.5,41.2,8.3,45.1,11.4,13.7,13.7,32.9,59.5,40.5,92.9,7.1,73.6,26.4
1,Bismack Biyombo,TOR,23,82,56,26,22,99.7,0.3,68.7,6.6,0,4.4,31.3,13.7,62.1,73.7,26.3,0,0,73.7,26.3
1,Corey Brewer,HOU,30,82,41,41,20.4,59.4,40.6,51.2,4.4,31,33.9,17.8,21.5,46.8,68.2,31.8,95.1,4.9,75.9,24.1
1,Enes Freedom,OKC,24,82,55,27,21,97.1,2.9,77.8,11.2,2.9,10.2,19.3,14,66.7,59.4,40.6,100,0,60.4,39.6
1,Gorgui Dieng,MIN,26,82,29,53,27.1,96.5,3.5,73,21.3,2.2,8.1,24.8,15.8,51.8,71.2,28.8,100,0,71.8,28.2
1,Isaiah Thomas,BOS,27,82,48,34,32.2,66.4,33.6,46.5,8.3,27.5,23.1,26,16.6,38.2,33.7,66.3,64.7,35.3,42.5,57.5
1,James Harden,HOU,26,82,41,41,38.1,59.4,40.6,39.9,10.8,29.8,19.4,30.3,16.6,29.1,18.1,81.9,52.1,47.9,29.4,70.6
1,Karl-Anthony Towns,MIN,20,82,29,53,32,92.4,7.6,79.2,25.9,6,5.8,14.8,15.4,53.2,66.7,33.3,90,10,67.8,32.2
1,Langston Galloway,NYK,24,82,32,50,24.8,61.9,38.1,49.3,14.7,37,20.6,13.7,16.5,34.6,46.8,53.2,84.4,15.6,59.3,40.7
1,Mason Plumlee,POR,26,82,44,38,25.4,99.2,0.8,71.3,3.2,0,12.7,28.7,19.4,68.1,68.9,31.1,0,0,68.9,31.1
1,P.J. Tucker,PHX,31,82,23,59,31,64.6,35.4,52.5,6.1,31.3,12.9,16.2,17.9,46.3,35.7,64.3,97.1,2.9,53.1,46.9
1,Ramon Sessions,WAS,30,82,41,41,20.3,81.3,18.8,60.2,10.1,13.3,26.5,26.5,16.4,50.1,42.6,57.4,88.9,11.1,48.6,51.4
1,Robin Lopez,NYK,28,82,32,50,27.1,99.8,0.2,84.8,7.6,0,2.9,15.2,8.7,77.2,52.4,47.6,0,0,52.4,47.6
1,Shabazz Muhammad,MIN,23,82,29,53,20.5,77.7,22.3,63.3,10.4,15.3,19.9,21.4,17.7,52.8,61.5,38.5,100,0,66.9,33.1
1,Tristan Thompson,CLE,25,82,57,25,27.7,100,0,76.8,1.6,0,6.5,23.2,14.2,75.3,70,30,0,0,70,30
1,Will Barton,DEN,25,82,33,49,28.7,66.9,33.1,53.1,10,28.5,22.6,18.4,20,43.1,38.3,61.7,79.5,20.5,49.2,50.8
1,Zach LaVine,MIN,21,82,29,53,28,67,33,53.9,17,32.1,23.7,14,18.3,36.9,41.6,58.4,74,26,50.8,49.2
19,Allen Crabbe,POR,24,81,43,38,26,58,42,47.8,27.2,40.4,15,11.8,19.4,20.7,76.9,23.1,96.4,3.6,83.9,16.1
19,Andre Drummond,DET,22,81,43,38,32.9,99.4,0.6,83.7,2.4,0.5,7.2,15.8,13.8,81.3,53.3,46.7,0,100,53.1,46.9
19,Andrew Wiggins,MIN,21,81,29,52,35.1,85.3,14.7,64.1,18.5,10.2,12.5,25.7,16.4,45.6,51,49,82.5,17.5,54,46
19,Aron Baynes,DET,29,81,43,38,15.2,99.5,0.5,75.5,14,0,5.3,24.5,13.6,61.5,75.3,24.7,0,0,75.3,24.7
19,Doug McDermott,CHI,24,81,41,40,23,59.8,40.2,47.4,15.4,43.2,12.2,9.4,15.1,31.9,75.7,24.3,98.2,1.8,84.2,15.8
19,Draymond Green,GSW,26,81,73,8,34.7,68.5,31.5,53.2,1.9,26.5,18.1,20.3,12.4,51.3,61.8,38.2,96,4,70.3,29.7
19,Ed Davis,POR,27,81,43,38,20.8,100,0,78.3,1.1,0,2.3,21.7,8.7,77.2,58.3,41.7,0,0,58.3,41.7
19,Evan Turner,BOS,27,81,47,34,28,89,11,75.6,27.4,7,12.9,17.4,17.1,48.2,30.3,69.7,95,5,34.1,65.9
19,Frank Kaminsky,CHA,23,81,47,34,21.1,61.5,38.5,48.5,5,33.7,5.8,17.8,10.7,43.6,57.8,42.2,98.5,1.5,70.7,29.3
