RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
1,Deni Avdija,WAS,21,82,35,47,24.2,55.3,44.7,49.1,2.9,35.9,10.7,15,13.4,46.1,58.9,41.1,93.9,6.1,70.4,29.6
1,Dwight Powell,DAL,30,82,52,30,21.9,90.8,9.2,71.4,0.8,5.4,5.9,23.2,13.8,70.6,85.5,14.5,100,0,86.2,13.8
1,Kevon Looney,GSW,26,82,53,29,21.1,99.7,0.3,84.7,4.9,0,4.5,15.3,12.6,79.8,73.6,26.4,0,0,73.6,26.4
1,Mikal Bridges,PHX,25,82,64,18,34.8,63.6,36.4,59,6.9,29.7,19.9,11.3,21.1,52.2,76.4,23.6,98.3,1.7,81.9,18.1
1,Saddiq Bey,DET,23,82,23,59,33,46.3,53.7,36.2,7.7,47.9,10,15.9,14.5,28.5,43.1,56.9,89.1,10.9,64.7,35.3
6,Alec Burks,NYK,30,81,37,44,28.6,46.6,53.4,27.1,6.4,49.9,7.1,23,14.9,20.8,43,57,75.2,24.8,60.7,39.3
6,Buddy Hield,IND,29,81,26,55,30.8,34.8,65.2,29.1,7.7,62.1,18.3,8.8,19.4,21.3,44,56,84.7,15.3,67.9,32.1
6,Patty Mills,BKN,33,81,44,37,29,28.5,71.5,21,10.4,73.8,12.7,5.2,12,10.6,61.9,38.1,92.5,7.5,83.3,16.7
6,Terance Mann,LAC,25,81,41,40,28.6,69.9,30.1,59.2,7.8,26.1,21.9,14.7,15.9,51.4,51.9,48.1,84.2,15.8,59.3,40.7
10,Chris Boucher,TOR,29,80,48,32,21.1,60.3,39.7,53.1,1.9,27.1,13.5,19.8,14.7,51.2,67,33,98.5,1.5,75,25
10,Dorian Finney-Smith,DAL,29,80,51,29,33,37.1,62.9,35,1.1,58.6,14.5,6.4,13.9,33.9,76.6,23.4,98.3,1.7,88,12
10,Evan Fournier,NYK,29,80,36,44,29.5,35.9,64.1,28.6,9.1,64.3,9.7,7.1,11.5,19.6,47.8,52.2,88,12,71.9,28.1
10,Miles Bridges,CHA,24,80,41,39,35.5,61.7,38.3,54.8,2.7,28.6,10.5,16.6,14.6,52.1,59.7,40.3,82.5,17.5,65.6,34.4
14,Duncan Robinson,MIA,28,79,52,27,25.9,14,86,13.4,1.9,80.6,8.9,6,13.6,11.6,82.8,17.2,96.1,3.9,93.4,6.6
14,Franz Wagner,ORL,20,79,21,58,30.7,72.2,27.8,60.2,2,24.1,12.8,15.7,13.6,58.1,53.1,46.9,83.3,16.7,59.4,40.6
14,Jalen Brunson,DAL,25,79,50,29,31.9,75,25,64.1,17.4,21.9,6.5,14,13.1,46.7,26.2,73.8,80.9,19.1,36.4,63.6
14,Jordan Clarkson,UTA,30,79,47,32,27.1,46.4,53.6,43.6,4.1,45,9.2,11.4,12.4,39.5,22.1,77.9,67.4,32.6,40.6,59.4
14,Kenyon Martin Jr.,HOU,21,79,20,59,21,67.9,32.1,62.9,0,25.9,15.4,11.2,16.7,62.9,73.5,26.5,100,0,79.2,20.8
14,Malik Beasley,MIN,25,79,46,33,25,25.1,74.9,19.3,5,75.6,16.6,5.1,18.4,14.3,65.2,34.8,90.4,9.6,83.4,16.6
20,Herbert Jones,NOP,23,78,36,42,29.9,70.7,29.3,58.5,4.3,23,21.3,18.5,23.7,54.2,63.1,36.9,100,0,70.8,29.2
20,Immanuel Quickley,NYK,23,78,35,43,23.1,45.3,54.7,33.3,6.8,46.6,9.4,20.1,13.4,26.5,29.9,70.1,52.6,47.4,40.8,59.2
20,Jae'Sean Tate,HOU,26,78,19,59,26.4,72.3,27.7,65.3,0.2,20.6,11.5,14.1,12,65.1,49,51,93.7,6.3,56.7,43.3
20,Jaren Jackson Jr.,MEM,22,78,53,25,27.3,61.3,38.7,47.5,1.4,30.2,7.2,22.3,14.8,46.1,56.3,43.7,98.4,1.6,68.8,31.2
20,Russell Westbrook,LAL,33,78,31,47,34.3,78.5,21.5,65.1,12.1,16.4,10.5,18.5,11.4,53,23.2,76.8,64.6,35.4,29.2,70.8
20,Torrey Craig,PHX,31,78,36,42,20.5,46.9,53.1,47.7,3.9,44.8,21.3,7.5,16.1,43.8,58.5,41.5,96.1,3.9,73,27
26,Ayo Dosunmu,CHI,22,77,42,35,27.4,65.2,34.8,61.3,12.4,30.9,25.5,7.8,20.9,48.9,57.2,42.8,98.6,1.4,67.6,32.4
26,Corey Kispert,WAS,23,77,31,46,23.4,37.7,62.3,38.5,3.2,53,12,8.5,14.7,35.3,80.3,19.7,98.2,1.8,88.9,11.1
26,Delon Wright,ATL,30,77,42,35,18.9,56.9,43.1,45.6,4.1,38.6,11.4,15.8,21.1,41.5,44.9,55.1,81.8,18.2,58.2,41.8
26,Grant Williams,BOS,23,77,49,28,24.4,40.3,59.7,32.9,1,52.8,10,14.3,14.5,31.9,71.7,28.3,99.1,0.9,85.9,14.1
26,Harrison Barnes,SAC,30,77,27,50,33.6,56.8,43.2,39.4,2.5,33.7,9.6,26.9,14.7,36.8,56.6,43.4,95.1,4.9,70.6,29.4
26,Kentavious Caldwell-Pope,WAS,29,77,34,43,30.2,50.8,49.2,39.7,18.9,46.9,13.1,13.4,16,20.8,61.9,38.1,91.2,8.8,74.8,25.2
26,Naz Reid,MIN,22,77,42,35,15.8,65.1,34.9,55.3,0,26.8,5.3,17.9,14.6,55.3,62.5,37.5,98.2,1.8,71.2,28.8
26,Royce O'Neale,UTA,29,77,46,31,31.2,31.1,68.9,29.5,0.4,62.6,21.4,7.9,18.9,29.1,67.9,32.1,98.3,1.7,85.7,14.3
26,Tyrese Haliburton,IND,22,77,26,51,35,57.2,42.8,45.6,13.5,40.9,15.2,13.5,15.2,32,27.9,72.1,58.4,41.6,39.3,60.7
35,DeMar DeRozan,CHI,32,76,43,33,36.1,90.7,9.3,68.4,32.9,7.1,5.4,24.5,12.4,35.5,21.7,78.3,90,10,26.1,73.9
35,Desmond Bane,MEM,24,76,53,23,29.8,52.5,47.5,40.5,11,49.4,18.9,10.1,14.8,29.5,59.6,40.4,83.3,16.7,70.3,29.7
35,Devonte' Graham,NOP,27,76,34,42,28.4,30.9,69.1,23.1,8.4,63.9,12.7,13,14,14.6,30.8,69.2,75.5,24.5,59.8,40.2
35,Georges Niang,PHI,29,76,48,28,22.8,31.3,68.7,25.7,2,66.9,8.4,7.4,11.6,23.7,71.1,28.9,98.1,1.9,88.2,11.8
35,Ivica Zubac,LAC,25,76,40,36,24.4,100,0,79,1,0,5.5,21,10.7,78,71.9,28.1,0,0,71.9,28.1
35,Jayson Tatum,BOS,24,76,49,27,35.9,58.4,41.6,46.7,9.4,33.7,11,19.6,13.5,37.3,42.9,57.1,56.5,43.5,47.3,52.7
35,Jordan Poole,GSW,23,76,49,27,30,45.2,54.8,37.4,6.3,45.1,15.2,17.5,14.7,31.2,41.4,58.6,70.6,29.4,54.4,45.6
35,Kelly Oubre Jr.,CHA,26,76,39,37,26.3,40.7,59.3,38.5,1.8,50.4,14.9,11.1,19.9,36.8,61.2,38.8,93.2,6.8,76.1,23.9
35,Malik Monk,LAL,24,76,32,44,28.1,46.5,53.5,41.6,3.4,49.5,19.7,8.9,15.3,38.2,54.6,45.4,83.2,16.8,67.3,32.7
35,Steven Adams,MEM,28,76,51,25,26.3,99.7,0.3,79.5,1.1,0,1.7,20.5,10.8,78.4,49,51,0,0,49,51
35,Trae Young,ATL,23,76,40,36,34.9,60.5,39.5,44.4,13,32.4,7.7,23.2,14,31.4,14.2,85.8,22.3,77.7,16.9,83.1
46,Aaron Gordon,DEN,26,75,46,29,31.7,68.8,31.2,61.6,7.3,23.2,13.9,15.2,15.2,54.4,62.8,37.2,85.1,14.9,67.3,32.7
46,Bryn Forbes,DEN,28,75,36,39,17.1,45.3,54.7,32.9,15.7,55.2,10.9,11.9,13.3,17.2,69.7,30.3,95.9,4.1,83.5,16.5
46,Davion Mitchell,SAC,23,75,28,47,27.7,62,38,58.3,18.1,35.2,8.5,6.5,16.3,40.2,23.1,76.9,66.3,33.7,35.5,64.5
46,Derrick White,BOS,27,75,40,35,29.3,53.9,46.1,44.8,5.2,34.8,13.5,20.4,12.3,39.5,40.1,59.9,83.5,16.5,54.9,45.1
46,Jeff Green,DEN,35,75,44,31,24.7,68.2,31.8,58,4.1,20.6,15.9,21.4,13.3,53.9,82.1,17.9,98.1,1.9,85.2,14.8
46,Keldon Johnson,SAS,22,75,33,42,31.9,60.5,39.5,48.8,4.1,37.3,13.9,13.9,15.7,44.8,64.4,35.6,96.9,3.1,75.4,24.6
46,LaMelo Ball,CHA,20,75,39,36,32.3,54.9,45.1,42.2,6.6,43.8,14.8,14,16.1,35.5,26.4,73.6,75,25,46.3,53.7
46,Monte Morris,DEN,27,75,44,31,29.9,59.4,40.6,52.9,19.5,39.4,13.4,7.7,13.9,33.4,47.2,52.8,93.5,6.5,62.6,37.4
46,Reggie Jackson,LAC,32,75,38,37,31.2,58.1,41.9,49.4,10.8,39.7,8,10.9,12.2,38.6,20.5,79.5,58.7,41.3,33.8,66.2
46,Trey Lyles,SAC,26,75,19,56,20.5,62.8,37.2,49.6,3.8,25.6,6.6,24.8,15,45.8,60,40,100,0,70.2,29.8
46,Tyrese Maxey,PHI,21,75,45,30,35.3,68.9,31.1,53.5,10.1,30.2,18.7,16.3,18.8,43.5,45,55,71.2,28.8,52.2,47.8
57,Clint Capela,ATL,28,74,40,34,27.6,99.8,0.2,90.2,0.5,0,7.2,9.8,9.6,89.8,76.5,23.5,0,0,76.5,23.5
57,JaVale McGee,PHX,34,74,57,17,15.8,98,2,84.1,2.4,0.9,4.1,15,11.2,81.8,69.2,30.8,100,0,69.4,30.6
57,Jarred Vanderbilt,MIN,23,74,41,33,25.4,96.1,3.9,82,0,1.2,23,16.8,23.8,82,69,31,100,0,69.3,30.7
57,Jonas Valanciunas,NOP,30,74,34,40,30.3,83.2,16.8,68.9,8.1,13,2.9,18.1,10.7,60.9,62.7,37.3,98.2,1.8,66.7,33.3
57,Josh Christopher,HOU,20,74,18,56,18,62.2,37.8,57.2,2.7,28.6,19.1,14.2,24,54.5,42.3,57.7,76.8,23.2,50.9,49.1
57,Justin Holiday,SAC,33,74,25,49,27.8,27.2,72.8,22.4,7.5,70.9,11.2,6.7,15.1,15,78.6,21.4,96,4,90.4,9.6
57,Karl-Anthony Towns,MIN,26,74,44,30,33.5,69.9,30.1,54.1,4.7,24.8,5.3,21.1,14,49.4,53.7,46.3,88.7,11.3,61.8,38.2
57,Kevin Huerter,ATL,23,74,40,34,29.6,45.9,54.1,41.5,10.8,53.8,13,4.7,15.8,30.7,51.9,48.1,90,10,69.6,30.4
57,Kevin Love,CLE,33,74,38,36,22.5,37.3,62.7,27.8,8.1,55.7,6.3,16.5,14,19.7,57.1,42.9,93.6,6.4,78,22
57,Nikola Jokic,DEN,27,74,46,28,33.5,78,22,66.6,6.8,14.5,6.4,18.9,11.1,59.8,58,42,91.8,8.2,62.3,37.7
57,Scottie Barnes,TOR,20,74,43,31,35.4,79.3,20.7,70.7,10.9,15.3,16,14,15.9,59.8,42.9,57.1,84.5,15.5,48.1,51.9
68,Andre Drummond,BKN,28,73,42,31,19.7,99.3,0.7,85.2,0.7,0,7.9,14.8,14.8,84.5,59.1,40.9,0,0,59.1,40.9
68,Andrew Wiggins,GSW,27,73,47,26,31.9,60.8,39.2,50.6,10.7,37.5,10.7,11.9,13.8,40,49.7,50.3,89.8,10.2,62.9,37.1
68,De'Anthony Melton,MEM,24,73,49,24,22.7,46.5,53.5,35.9,4.8,52.7,24.9,11.4,17.7,31.1,47.2,52.8,85.6,14.4,66.2,33.8
68,Juan Toscano-Anderson,GSW,29,73,51,22,13.6,63,37,58.4,0.7,28.2,13.1,13.4,15.4,57.7,69,31,85.7,14.3,73,27
68,Mason Plumlee,CHA,32,73,40,33,24.6,99.4,0.6,86,1.3,0,12.8,14,15.3,84.7,77.6,22.4,0,0,77.6,22.4
68,Nikola Vucevic,CHI,31,73,41,32,33.1,71.3,28.7,68.6,14.6,24.2,3.9,7.2,12,54,71.3,28.7,100,0,76.7,23.3
68,Precious Achiuwa,TOR,22,73,46,27,23.6,74.1,25.9,63,4.5,25.3,15.7,11.7,19,58.4,59.8,40.2,96.4,3.6,67.5,32.5
68,Terry Rozier,CHA,28,73,38,35,33.7,49.2,50.8,42,8.5,47.3,15.1,10.7,15.8,33.5,43.9,56.1,83.8,16.2,61,39
68,Tobias Harris,PHI,29,73,45,28,34.8,73.1,26.9,62.4,8.1,24.1,10.5,13.5,11.7,54.3,44.4,55.6,89.1,10.9,53.5,46.5
68,Tyus Jones,MEM,26,73,51,22,21.2,62.9,37.1,53.5,10.4,38,14.4,8.5,14.9,43,36.7,63.3,83.8,16.2,51.8,48.2
78,Alperen Sengun,HOU,19,72,18,54,20.7,77.7,22.3,63.6,1.2,12.6,4.8,23.8,14,62.4,43.6,56.4,96.6,3.4,49.8,50.2
78,Anthony Edwards,MIN,20,72,39,33,34.2,51.6,48.4,43.6,4.7,42.1,16.6,14.3,20,38.9,36.5,63.5,55.3,44.7,43.9,56.1
78,Bobby Portis,MIL,27,72,46,26,28.2,61.2,38.8,54,12.4,37.9,9.4,8.1,13.4,41.6,55.6,44.4,100,0,69.8,30.2
78,Bruce Brown,BKN,25,72,37,35,24.6,81.4,18.6,67.4,1.5,17.6,20.7,15,18.5,65.8,74.3,25.7,97.4,2.6,77.7,22.3
78,Daniel Gafford,WAS,23,72,30,42,20.1,99.8,0.2,84.2,0.6,0,7.5,15.8,12.6,83.6,73.7,26.3,0,0,73.7,26.3
78,John Konchar,MEM,26,72,48,24,17.9,51.9,48.1,47.6,2.3,44.7,21.2,7.7,17.2,45.3,61.4,38.6,92.3,7.7,73.3,26.7
78,Julius Randle,NYK,27,72,32,40,35.3,68.7,31.3,54.2,13.8,24.9,6.5,20.9,15,40.4,36.2,63.8,80,20,46.5,53.5
78,Mike Conley,UTA,34,72,44,28,28.6,47.7,52.3,35.5,2.8,51.4,4.7,13.1,12.8,32.7,25.7,74.3,52.1,47.9,38.7,61.3
78,Mitchell Robinson,NYK,24,72,32,40,25.7,100,0,85.6,0,0,1.5,14.4,13,85.6,51.7,48.3,0,0,51.7,48.3
78,Obi Toppin,NYK,24,72,32,40,17.1,64.3,35.7,61.4,0.9,24.1,18.5,14.5,19,60.5,82.4,17.6,100,0,86.1,13.9
88,Cody Martin,CHA,26,71,41,30,26.3,62.4,37.6,52.6,4,33.6,21.9,13.8,21.3,48.5,63.6,36.4,88.5,11.5,71.1,28.9
88,Devin Vassell,SAS,21,71,29,42,27.3,50.3,49.7,43.3,14.4,47.1,14.7,9.6,16.5,28.9,67.2,32.8,97.1,2.9,79.8,20.2
88,Drew Eubanks,POR,25,71,19,52,17.5,93.8,6.2,79.1,3.7,2.7,4.2,18.2,9.7,75.5,75.9,24.1,100,0,76.5,23.5
88,Gary Payton II,GSW,29,71,47,24,17.6,65.1,34.9,67.3,0.4,25.7,21.3,7,22.9,66.9,78.7,21.3,100,0,83,17
88,Isaiah Stewart,DET,21,71,21,50,25.6,90.6,9.4,79.8,4.4,7.6,11.5,12.6,10.7,75.4,68.9,31.1,93.3,6.7,70.4,29.6
88,Marcus Smart,BOS,28,71,47,24,32.3,49.9,50.1,42,1.9,41.5,8.8,16.5,13.8,40.2,36.5,63.5,91.6,8.4,58.3,41.7
88,Mo Bamba,ORL,24,71,19,52,25.7,54.5,45.5,50,5,42.5,6.2,7.5,10.7,45,56.6,43.4,99.1,0.9,72,28
88,Montrezl Harrell,CHA,28,71,36,35,23.1,96.9,3.1,76,4.3,1.3,9.9,22.7,12.2,71.7,65.3,34.7,100,0,65.6,34.4
88,Nemanja Bjelica,GSW,34,71,48,23,16.1,56.4,43.6,49,3.2,37.4,6.7,13.6,15.5,45.7,68.9,31.1,94.4,5.6,77.5,22.5
88,P.J. Tucker,MIA,37,71,45,26,27.9,54.9,45.1,47.1,4.1,44.5,4.1,8.4,16,43,81.9,18.1,98.8,1.2,88.4,11.6
88,Payton Pritchard,BOS,24,71,46,25,14.1,34.3,65.7,26.7,11.3,68.6,13.3,4.7,17,15.4,35.6,64.4,80.2,19.8,63.8,36.3
88,Robert Covington,LAC,31,71,34,37,27.3,31.9,68.1,26.8,1.7,63.6,13.1,9.6,16.2,25.2,65.4,34.6,93,7,82.3,17.7
88,Will Barton,DEN,31,71,41,30,32.1,52,48,45.1,7.5,45.2,18,9.7,12.1,37.6,49.8,50.2,77.1,22.9,60.7,39.3
101,Chuma Okeke,ORL,23,70,21,49,25,35.5,64.5,32.4,4,58.5,10.1,9.1,14.4,28.4,53.1,46.9,96.6,3.4,76.9,23.1
101,Gary Trent Jr.,TOR,23,70,44,26,35,49.8,50.2,37.6,15.7,48.9,14.4,13.5,19.8,21.8,41.1,58.9,76.6,23.4,57.6,42.4
