PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Bismack Biyombo,CHA,66,2.2,39.1,1.06,2.3,1.1,1.7,61.4,61.4
Alex Len,WAS,57,2.3,36,1.11,2.6,1.1,1.9,59.8,59.8
Damian Jones,LAL,8,1.3,35.7,1.9,2.4,0.8,0.8,100,100
Kevon Looney,GSW,61,1.4,34.4,1.17,1.7,0.7,1.1,62.3,62.3
DeAndre Jordan,BKN,57,2.2,32.8,1.5,3.2,1.5,1.8,79,79
Jarred Vanderbilt,MIN,64,1.7,31.7,1.16,1.9,0.9,1.3,67.1,67.1
Dewayne Dedmon,MIA,16,1.8,31.5,1.36,2.4,0.9,1.4,65.2,65.2
Derrick Favors,UTA,68,1.4,31.1,1.31,1.9,0.9,1.3,68.6,68.6
Isaiah Hartenstein,CLE,16,2.5,30.8,1.27,3.2,1.3,2.2,60,60
Daniel Gafford,WAS,23,2.5,30.6,1.4,3.5,1.5,2,76.1,76.1
Nic Claxton,BKN,32,1.8,30.3,1.39,2.5,1.1,1.6,72,72
Nerlens Noel,NYK,64,1.5,29.8,1.11,1.7,0.7,1.2,59.7,59.7
Robert Williams III,BOS,52,1.9,29.1,1.59,3,1.4,1.7,84.3,84.3
Willy Hernangomez,NOP,47,2.1,29,1.34,2.9,1.3,1.9,69,69
Alize Johnson,BKN,18,1.3,28.9,1.25,1.7,0.8,1.1,70,70
Onyeka Okongwu,ATL,50,1.2,28.7,1.33,1.5,0.6,0.9,67.4,67.4
Dwight Powell,DAL,58,1.4,28.1,1.22,1.7,0.7,1.1,64.5,64.5
Freddie Gillespie,TOR,20,1.6,28.1,1.19,1.9,0.8,1.4,59.3,59.3
Jakob Poeltl,SAS,69,2.3,27.5,1.33,3,1.4,2,68.1,68.1
Tyler Cook,DET,28,1.4,27.5,1.5,2,0.9,1.1,80.6,80.6
Richaun Holmes,SAC,61,3.2,27.1,1.29,4.1,1.8,2.8,63.6,63.6
Jarrett Allen,CLE,51,3.2,26.8,1.31,4.2,1.7,2.5,66.4,66.4
Mitchell Robinson,NYK,31,1.9,26.8,1.35,2.6,1.2,1.6,76,76
Khem Birch,ORL,48,1.5,26.8,1.04,1.6,0.6,1.2,51.7,51.7
Precious Achiuwa,MIA,61,1.4,26.6,1.06,1.5,0.6,1.1,57.6,57.6
Rudy Gobert,UTA,71,3.2,26.5,1.28,4.1,1.6,2.4,68.8,68.8
Ivica Zubac,LAC,72,2.1,26.5,1.48,3.1,1.3,1.7,77.3,77.3
Willie Cauley-Stein,DAL,53,1.2,26.3,1.28,1.6,0.6,0.9,66,66
Ed Davis,MIN,24,0.6,26.3,1,0.6,0.2,0.5,41.7,41.7
Bruce Brown,BKN,65,2.1,26.2,1.12,2.4,1.1,1.8,57.5,57.5
Jaxson Hayes,NOP,60,1.6,25.7,1.27,2,0.9,1.3,65.4,65.4
Damian Jones,SAC,17,1.5,25.7,1.15,1.8,0.6,1,64.7,64.7
Jarrett Allen,BKN,13,2.2,25,1.28,2.8,1,1.5,65,65
Tony Bradley,PHI,20,1.1,24.4,1.71,1.8,0.9,1,85,85
JaKarr Sampson,IND,29,1.2,24.3,1.15,1.3,0.6,1,62.1,62.1
Daniel Gafford,CHI,31,1,24.2,1.39,1.4,0.6,0.7,78.3,78.3
Moritz Wagner,WAS,25,1.6,24,1.55,2.5,0.9,1.2,71,71
Robin Lopez,WAS,71,1.9,23.5,1.37,2.5,1.2,1.6,74.8,74.8
Drew Eubanks,SAS,54,1.3,23.5,1.49,1.9,0.8,1.1,72.4,72.4
Montrezl Harrell,LAL,69,2.6,23.1,1.4,3.7,1.6,2.2,71.3,71.3
Andre Drummond,LAL,21,2.9,22.8,1.26,3.7,1.6,2.4,68,68
Clint Capela,ATL,63,3.1,22.4,1.19,3.7,1.6,2.6,62.6,62.6
Aron Baynes,TOR,53,1.5,22.2,1.23,1.9,0.8,1.2,65.2,65.2
Taj Gibson,NYK,45,1,22.2,1.41,1.4,0.6,0.9,72.5,72.5
Thanasis Antetokounmpo,MIL,51,0.8,22.2,1.07,0.9,0.4,0.7,54.3,54.3
Wendell Carter Jr.,CHI,33,2.4,22.1,1.31,3.1,1.2,1.8,63.9,63.9
Tony Bradley,OKC,22,1.7,22.1,1.55,2.7,1.1,1.5,78.1,78.1
Mason Plumlee,DET,56,2.2,22,1.5,3.3,1.5,2,75.5,75.5
Tristan Thompson,BOS,54,1.8,21.8,1.18,2.1,0.9,1.5,59.8,59.8
Deandre Ayton,PHX,69,2.7,21.7,1.4,3.8,1.7,2.3,73.1,73.1
Steven Adams,NOP,58,1.7,21.4,1.06,1.8,0.8,1.3,58.7,58.7
Derrick Jones Jr.,POR,58,1.4,21,1.23,1.7,0.7,1,66.7,66.7
Bam Adebayo,MIA,64,3.6,20.4,1.2,4.3,1.8,3,59.5,59.5
Moses Brown,OKC,43,1.7,20.4,1.09,1.9,0.8,1.4,56.5,56.5
Hassan Whiteside,SAC,36,1.7,20.3,1.18,2,0.9,1.4,63.3,63.3
JaVale McGee,DEN,13,1.4,20.2,1.33,1.8,0.8,1.3,64.7,64.7
Isaiah Stewart,DET,68,1.5,20,1.1,1.7,0.7,1.3,58.1,58.1
Chandler Hutchison,WAS,18,1.2,20,0.91,1.1,0.4,1.1,42.1,42.1
Xavier Tillman,MEM,59,1.2,19.8,1.15,1.4,0.6,1.1,56.3,56.3
Jabari Parker,BOS,10,1.2,19.7,1.25,1.5,0.6,0.8,75,75
Cody Zeller,CHA,48,1.8,19.6,1.2,2.1,0.9,1.4,60.9,60.9
James Wiseman,GSW,39,2.3,18.8,1.33,3,1.4,1.9,70.7,70.7
Daniel Theis,CHI,23,1.8,18.8,1.41,2.6,1.1,1.6,67.6,67.6
JaVale McGee,CLE,33,1.6,18.6,1.25,2,0.9,1.4,64.4,64.4
Jusuf Nurkic,POR,37,2.2,18.3,1.11,2.5,1,1.7,58.7,58.7
Reggie Perry,BKN,19,0.8,17.6,1.44,1,0.5,0.7,69.2,69.2
Khem Birch,TOR,19,1.9,17.5,1.19,2.3,1.1,1.7,60.6,60.6
Donta Hall,ORL,13,0.8,17.5,1.6,1.2,0.5,0.7,77.8,77.8
Aaron Gordon,DEN,25,1.8,17.4,1.29,2.3,1.1,1.7,64.3,64.3
Larry Nance Jr.,CLE,35,1.7,17.1,1.17,2,0.9,1.4,64,64
Juan Toscano-Anderson,GSW,53,0.9,17.1,1.38,1.2,0.5,0.7,74.4,74.4
Wendell Carter Jr.,ORL,22,2,17,1.4,2.9,1.2,1.5,76.5,76.5
John Konchar,MEM,43,0.7,16.9,1.1,0.7,0.3,0.6,53.8,53.8
Zeke Nnaji,DEN,34,0.5,16.7,1.47,1,0.3,0.4,76.9,76.9
Thomas Bryant,WAS,10,1.8,16.5,1.5,2.7,1.3,1.6,81.3,81.3
Brandon Clarke,MEM,59,1.6,16.3,1.24,1.9,0.8,1.3,59.5,59.5
Jahlil Okafor,DET,27,0.8,16.1,1.54,1.3,0.6,0.7,83.3,83.3
Justin Patton,HOU,13,0.9,16,1.33,1.2,0.6,0.9,66.7,66.7
Mo Bamba,ORL,46,1.3,15.8,1.34,1.7,0.7,1,68.1,68.1
John Collins,ATL,63,2.3,15.7,1.36,3.2,1.3,2,69.1,69.1
Daniel Theis,BOS,42,1.4,15.7,1.51,2,0.9,1.2,76.5,76.5
Goga Bitadze,IND,45,0.8,15.7,1.08,0.9,0.3,0.6,48.1,48.1
Jaylen Hoard,OKC,19,1,15.3,1.26,1.3,0.5,0.7,71.4,71.4
Dwight Howard,PHI,69,1.1,15.2,1.25,1.4,0.6,0.8,69,69
Josh Green,DAL,39,0.5,15.1,1.5,0.7,0.3,0.4,80,80
Naz Reid,MIN,70,1.5,15,1.42,2.2,0.9,1.3,71.1,71.1
Chris Boucher,TOR,60,1.7,14.8,1.29,2.2,0.9,1.4,64.2,64.2
Enes Freedom,POR,72,1.4,14.4,1.29,1.8,0.8,1.2,67.1,67.1
Frank Kaminsky,PHX,47,0.9,14.4,1.25,1.2,0.5,0.8,61.5,61.5
Doug McDermott,IND,66,1.6,14.1,1.57,2.5,1.1,1.5,77.1,77.1
Zion Williamson,NOP,61,3.3,14,1.42,4.7,2,2.8,71.5,71.5
Marvin Bagley III,SAC,43,2,14,1.17,2.3,1,1.8,57.1,57.1
James Johnson,NOP,22,1.5,13.9,1.25,1.8,0.8,1.2,63,63
Andre Drummond,CLE,25,2.8,13.7,1.07,3,1.4,2.4,57.4,57.4
Jonas Valanciunas,MEM,62,2,13.5,1.38,2.8,1.3,1.8,72.3,72.3
Sekou Doumbouya,DET,56,0.9,13.5,1.08,0.9,0.4,0.6,58.3,58.3
Jake Layman,MIN,45,0.7,13.5,1.37,0.9,0.4,0.6,69.2,69.2
Javonte Green,BOS,25,0.5,13.4,0.69,0.4,0.2,0.4,40,40
Michael Porter Jr.,DEN,61,2,13.2,1.37,2.8,1.2,1.7,71.3,71.3
Serge Ibaka,LAC,41,1.4,13,1.21,1.7,0.7,1.2,61.2,61.2
Jae'Sean Tate,HOU,70,1.4,12.8,1.47,2.1,0.9,1.2,79.3,79.3
Myles Turner,IND,47,1.5,12.8,1.42,2.2,0.9,1.2,70.7,70.7
Paul Millsap,DEN,56,1.1,12.7,1.16,1.3,0.6,0.9,60.4,60.4
KZ Okpala,MIA,37,0.4,12.7,0.6,0.2,0.1,0.4,30.8,30.8
Kelly Olynyk,MIA,43,1.3,12.5,1.34,1.7,0.8,1.2,70.6,70.6
Luke Kornet,BOS,18,0.6,12.5,1.6,0.9,0.4,0.6,80,80
Rodney McGruder,DET,16,0.6,12.3,1.6,1,0.5,0.6,80,80
Domantas Sabonis,IND,62,2.5,12.2,1.32,3.3,1.4,2,68.3,68.3
Ben Simmons,PHI,58,1.9,12.2,1.1,2.1,0.9,1.6,58.1,58.1
Chimezie Metu,SAC,36,0.8,12.2,1.36,1.1,0.5,0.8,66.7,66.7
Oshae Brissett,IND,21,1.1,12.2,1.61,1.8,0.7,0.8,88.2,88.2
Maurice Harkless,SAC,26,0.9,12.1,1.26,1.1,0.4,0.7,64.7,64.7
Draymond Green,GSW,63,1.1,11.9,0.99,1.1,0.5,0.9,55.9,55.9
Blake Griffin,BKN,26,1.1,11.9,1.45,1.6,0.7,1,76,76
Kelly Oubre Jr.,GSW,55,1.9,11.8,1.35,2.5,1.1,1.6,66.7,66.7
Kenyon Martin Jr.,HOU,45,1,11.8,1.17,1.2,0.5,0.8,60.5,60.5
Eric Paschall,GSW,40,1.1,11.8,1.2,1.4,0.5,0.9,61.8,61.8
Patrick Williams,CHI,71,1.1,11.6,1.35,1.5,0.7,0.9,75,75
Trevor Ariza,MIA,30,1.1,11.6,1.33,1.5,0.6,0.8,68,68
JaMychal Green,DEN,58,0.9,11.5,1.33,1.2,0.5,0.7,69.8,69.8
Obi Toppin,NYK,62,0.5,11.5,1.5,0.7,0.3,0.4,76.9,76.9
Anthony Lamb,HOU,24,0.7,11.5,1.12,0.8,0.3,0.6,53.3,53.3
Brook Lopez,MIL,70,1.2,11.4,1.6,2,0.8,1,77.1,77.1
Rui Hachimura,WAS,57,1.6,11.3,1.24,1.9,0.8,1.2,61.4,61.4
Gorgui Dieng,MEM,22,0.8,11.3,1.53,1.2,0.4,0.5,75,75
P.J. Washington,CHA,64,1.5,11,1.11,1.7,0.6,1.2,52.6,52.6
Josh Okogie,MIN,59,0.6,11,1.1,0.7,0.3,0.5,50,50
Juancho Hernangomez,MIN,52,0.8,10.9,1.27,1,0.4,0.6,64.5,64.5
Bobby Portis,MIL,66,1.1,10.8,1.23,1.4,0.6,1,65.1,65.1
Dario Saric,PHX,50,1,10.8,1.35,1.3,0.6,0.8,73.7,73.7
Marc Gasol,LAL,52,0.6,10.8,1.21,0.7,0.2,0.4,60,60
Jalen McDaniels,CHA,47,0.8,10.6,1.24,1,0.5,0.8,63.9,63.9
Jeff Green,BKN,68,1,10.4,1.16,1.2,0.5,0.8,59.6,59.6
Torrey Craig,PHX,32,0.7,10.3,1.54,1.1,0.5,0.6,85,85
Dylan Windler,CLE,31,0.6,10.3,1.28,0.7,0.3,0.5,62.5,62.5
Avery Bradley,HOU,17,0.8,10.2,1.15,0.9,0.4,0.6,63.6,63.6
Jaden McDaniels,MIN,63,0.7,10.1,1.29,0.9,0.4,0.6,67.6,67.6
DeAndre' Bembry,TOR,51,0.6,10.1,1.24,0.8,0.4,0.5,66.7,66.7
PJ Dozier,DEN,50,0.9,10,1.14,1,0.5,0.8,60,60
Al-Farouq Aminu,ORL,17,0.7,10,0.67,0.5,0.2,0.5,33.3,33.3
Kristaps Porzingis,DAL,44,1.8,9.9,1.37,2.5,1,1.6,65.2,65.2
Lamar Stevens,CLE,40,0.5,9.9,1.22,0.6,0.2,0.3,72.7,72.7
Mikal Bridges,PHX,72,1.1,9.8,1.49,1.6,0.6,0.9,71.4,71.4
Kenrich Williams,OKC,66,0.8,9.7,1.42,1.1,0.5,0.6,76.2,76.2
Deni Avdija,WAS,54,0.6,9.3,1.29,0.8,0.4,0.6,63.3,63.3
Isaiah Roby,OKC,61,0.9,9.2,1.18,1.1,0.5,0.7,63.6,63.6
Pat Connaughton,MIL,69,0.6,9.2,1.35,0.8,0.3,0.5,69.7,69.7
Isaac Okoro,CLE,67,1,9,1.38,1.3,0.5,0.8,66.7,66.7
Dean Wade,CLE,63,0.5,9,1.22,0.6,0.3,0.5,63.3,63.3
Christian Wood,HOU,41,1.8,8.9,1.46,2.6,1.1,1.5,75.8,75.8
Ryan Arcidiacono,CHI,44,0.3,8.9,1.17,0.3,0.1,0.3,54.5,54.5
Moritz Wagner,ORL,11,1,8.9,0.91,0.9,0.3,0.6,42.9,42.9
Miles Bridges,CHA,66,1,8.8,1.43,1.5,0.6,0.8,78.4,78.4
Terance Mann,LAC,67,0.6,8.8,1.37,0.8,0.3,0.5,63.6,63.6
Alex Caruso,LAL,58,0.6,8.8,1.14,0.7,0.3,0.4,75,75
Otto Porter Jr.,CHI,25,0.8,8.8,1.14,1,0.5,0.7,66.7,66.7
Grant Williams,BOS,63,0.4,8.7,1.29,0.6,0.3,0.4,73.9,73.9
Jarrett Culver,MIN,34,0.6,8.7,1.37,0.8,0.3,0.5,68.8,68.8
Hamidou Diallo,OKC,32,1.1,8.6,1.23,1.3,0.6,0.8,66.7,66.7
Giannis Antetokounmpo,MIL,62,2.1,8.5,1.39,3,1.3,1.7,73.8,73.8
Yuta Watanabe,TOR,50,0.4,8.5,1.28,0.5,0.2,0.3,68.8,68.8
Nikola Jokic,DEN,72,2,8.4,1.42,2.8,1.2,1.7,69.4,69.4
Tomas Satoransky,CHI,58,0.7,8.4,1.55,1,0.4,0.6,78.1,78.1
Glenn Robinson III,SAC,23,0.4,8.3,1.2,0.5,0.2,0.3,50,50
Matisse Thybulle,PHI,65,0.4,8.2,1.09,0.4,0.2,0.3,60,60
Cody Martin,CHA,52,0.4,8.2,1.2,0.5,0.2,0.3,71.4,71.4
Nemanja Bjelica,SAC,26,0.6,8.2,1.25,0.8,0.4,0.5,71.4,71.4
Lauri Markkanen,CHI,51,1,8.1,1.53,1.5,0.7,0.9,74.5,74.5
Patrick Patterson,LAC,38,0.4,8.1,1.33,0.5,0.2,0.4,64.3,64.3
P.J. Tucker,HOU,32,0.4,8.1,0.71,0.3,0.1,0.3,36.4,36.4
David Nwaba,HOU,30,0.7,8,1.29,0.9,0.4,0.6,66.7,66.7
Kent Bazemore,GSW,67,0.6,7.7,1.05,0.6,0.3,0.4,65.4,65.4
Gary Harris,DEN,19,0.7,7.7,1.93,1.4,0.6,0.6,100,100
Jaren Jackson Jr.,MEM,11,1.1,7.6,1.5,1.6,0.6,0.9,70,70
Max Strus,MIA,39,0.4,7.4,1.87,0.7,0.4,0.4,93.3,93.3
Nassir Little,POR,48,0.3,7.4,1.13,0.4,0.2,0.3,66.7,66.7
Garrett Temple,CHI,56,0.6,7.3,1.39,0.8,0.4,0.5,71.4,71.4
Abdel Nader,PHX,24,0.5,7.3,1.27,0.6,0.2,0.3,50,50
Andre Iguodala,MIA,63,0.4,7.2,1,0.4,0.2,0.3,52.6,52.6
Monte Morris,DEN,47,0.7,7.1,1.31,0.9,0.4,0.5,70.8,70.8
Harrison Barnes,SAC,58,1,7,1.41,1.4,0.6,0.8,66.7,66.7
Nicolas Batum,LAC,67,0.5,7,1.5,0.8,0.3,0.4,73.3,73.3
Anthony Davis,LAL,36,1.5,6.8,1.72,2.5,1,1.2,86,86
Joe Harris,BKN,69,0.8,6.8,1.46,1.1,0.5,0.7,77.1,77.1
Will Barton,DEN,56,0.9,6.8,1.08,1,0.4,0.7,56.4,56.4
Dorian Finney-Smith,DAL,60,0.6,6.8,1.44,0.9,0.4,0.5,75,75
Edmond Sumner,IND,53,0.5,6.5,1.67,0.8,0.3,0.3,88.9,88.9
D.J. Wilson,HOU,23,0.4,6.5,1.3,0.6,0.2,0.3,62.5,62.5
Bradley Beal,WAS,60,1.9,6.4,1.37,2.5,0.9,1.5,62.5,62.5
Mike Muscala,OKC,35,0.5,6.4,1.05,0.6,0.3,0.5,58.8,58.8
Mike Scott,PHI,51,0.3,6.4,1,0.3,0.1,0.3,53.8,53.8
