PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
JJ Redick,LAC,75,2.6,18.5,0.96,2.5,1,2.2,44,49.1
Avery Bradley,BOS,76,2.7,17.2,0.83,2.2,0.9,2.2,38.9,44.6
Isaiah Thomas,BOS,82,2.1,9.3,0.93,1.9,0.6,1.5,40.7,43.9
Khris Middleton,MIL,79,1.9,10.3,1.05,2,0.7,1.5,43.8,57
Gordon Hayward,UTA,80,2.3,11.5,0.84,2,0.7,1.8,38.6,44.1
Zach LaVine,MIN,82,1.6,10.7,1.01,1.6,0.6,1.5,42,50.8
Nicolas Batum,CHA,70,2,12.1,0.91,1.8,0.6,1.7,34.2,41.5
CJ McCollum,POR,80,1.7,7.8,0.9,1.5,0.6,1.5,40.3,46.6
Rodney Hood,UTA,80,1.6,11.1,0.91,1.5,0.6,1.4,42.6,50
Gary Harris,DEN,76,1.8,14.7,0.89,1.6,0.6,1.5,39.3,47.8
Damian Lillard,POR,75,1.7,6.6,0.94,1.6,0.6,1.4,40.2,48.1
Andrew Wiggins,MIN,81,1.4,6.7,1,1.4,0.5,1.2,45.3,50.5
Stephen Curry,GSW,79,1.2,4.7,1.18,1.4,0.5,0.9,51.4,66
Kemba Walker,CHA,81,1.2,6,1.07,1.3,0.5,1,46.3,51.9
Doug McDermott,CHI,81,1.2,14,0.97,1.2,0.5,1,47,53.6
Kyle Lowry,TOR,77,1.2,5.5,1.08,1.2,0.4,0.9,40.8,50
Evan Fournier,ORL,79,1.3,8.6,0.94,1.2,0.5,1,43.9,48.8
Jordan Clarkson,LAL,79,1,5.9,1.17,1.2,0.5,0.9,52.2,60.1
Kyle Korver,ATL,80,1.2,13.2,0.96,1.1,0.5,1,48.1,56.2
Kawhi Leonard,SAS,72,1.2,6.4,1.05,1.2,0.5,1,47.3,51.4
Victor Oladipo,ORL,72,1.5,8.6,0.8,1.2,0.5,1.2,41.9,45.9
Trey Burke,UTA,64,1.6,13.4,0.84,1.3,0.5,1.3,41.2,48.2
Jamal Crawford,LAC,79,1.3,8.8,0.82,1.1,0.4,1,39.5,42.8
James Harden,HOU,82,1.1,3.7,0.95,1,0.3,0.7,43.9,55.3
Paul George,IND,81,1.3,5.3,0.8,1,0.3,1.1,31.8,38.1
Jimmy Butler,CHI,67,1.1,5.5,1.07,1.2,0.4,0.9,45.2,50
Mike Conley,MEM,56,1.5,9.4,0.99,1.4,0.6,1.3,44.3,50
Isaiah Canaan,PHI,77,1,8.9,1.01,1,0.4,0.9,41.8,53
DeMar DeRozan,TOR,78,1,4.2,0.99,1,0.3,0.7,43.6,45.5
Dennis Schroder,ATL,80,0.8,6.1,1.16,0.9,0.4,0.6,58,63
CJ Miles,IND,64,1.3,10.5,0.93,1.2,0.5,1.1,40.3,47.9
Jrue Holiday,NOP,65,1,5.6,1.09,1.1,0.4,0.8,50.9,61.3
Robert Covington,PHI,67,1.1,8.1,0.97,1.1,0.3,0.7,40,54
Danilo Gallinari,DEN,53,1.2,6.6,1.11,1.3,0.4,0.9,46.8,57.4
Kobe Bryant,LAL,66,1.4,6.9,0.76,1.1,0.3,1.1,29.3,34.7
Klay Thompson,GSW,80,0.7,3.6,1.21,0.9,0.3,0.6,50,62
Lou Williams,LAL,67,1.1,7.9,0.88,1,0.3,0.8,30.4,35.7
Brandon Knight,PHX,52,1.6,7.4,0.8,1.3,0.5,1.3,37.3,44
Jeremy Lin,CHA,78,0.9,7.3,0.91,0.9,0.3,0.7,43.9,49.1
Hollis Thompson,PHI,77,1.2,11.3,0.75,0.9,0.3,0.9,34.7,39.6
Allen Crabbe,POR,81,1,10.8,0.77,0.8,0.3,0.9,37.5,38.2
