PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
James Harden,HOU,72,10,35,1.22,12.2,3.5,7.9,44.3,55.2
Chris Paul,HOU,58,5.1,29.3,1.1,5.6,2,4.7,43,53.7
MarShon Brooks,MEM,7,5.3,29.1,1.46,7.7,3,4.9,61.8,75
LeBron James,CLE,82,6.4,24.4,0.96,6.1,2.4,5.4,44.5,49.9
John Wall,WAS,41,5.2,22.9,0.95,4.9,1.7,3.9,44.7,45.9
Iman Shumpert,CLE,14,1.3,22.8,1,1.3,0.5,1,50,57.1
Harrison Barnes,DAL,77,4.1,21.9,0.96,4,1.5,3.4,44.3,46.8
Austin Rivers,LAC,61,3.5,21.8,1.06,3.7,1.4,3.1,44.3,52.6
Michael Beasley,NYK,74,2.8,20.8,0.92,2.6,1.1,2.4,45.7,46.6
Jamal Crawford,MIN,80,2.2,19.8,0.87,1.9,0.8,2,39.7,42.3
Spencer Dinwiddie,BKN,80,2.5,18.7,0.97,2.5,0.7,1.9,38.3,44.2
Dennis Smith Jr.,DAL,69,3.5,18.7,0.8,2.8,1.1,3,36.6,40.2
Carmelo Anthony,OKC,78,3.1,18.1,0.89,2.8,1.1,2.7,40.4,42.3
Russell Westbrook,OKC,80,5,17.5,0.82,4.1,1.5,4.2,36.4,40
Dion Waiters,MIA,30,3,17.3,0.8,2.4,0.8,2.3,33.8,38.2
Kyrie Irving,BOS,60,3.5,16,1.04,3.7,1.4,3.1,44.1,50.3
Danilo Gallinari,LAC,21,2.4,16,0.86,2.1,0.7,1.9,37.5,40
Shabazz Muhammad,MIL,11,1.1,16,1.25,1.4,0.5,0.7,62.5,62.5
Damian Lillard,POR,73,4,15.8,1.06,4.2,1.2,2.9,41,45.5
Kevin Durant,GSW,68,3.6,15.5,1.06,3.8,1.4,3,44.7,50.2
Dennis Schroder,ATL,67,3.2,15.1,1.09,3.5,1.3,2.6,48.9,52.6
Mike Conley,MEM,12,2.7,15.1,0.72,1.9,0.6,2,29.2,33.3
Rudy Gay,SAS,57,1.7,14.5,0.97,1.7,0.7,1.5,45.2,45.2
Isaiah Whitehead,BKN,16,1.1,14.4,0.88,0.9,0.3,0.6,50,55
Jeff Teague,MIN,70,2.2,14.3,0.98,2.2,0.8,1.8,42.6,48.8
James Johnson,MIA,73,1.6,14.3,0.89,1.4,0.6,1.3,45.8,47.4
Joe Johnson,UTA,32,1.2,14.3,0.79,0.9,0.5,1,48.4,48.4
Brandon Ingram,LAL,59,2.5,14.2,0.78,1.9,0.7,1.9,37.8,37.8
Tyreke Evans,MEM,52,2.8,14.1,1.02,2.8,1,2.4,42.4,49.2
Tobias Harris,LAC,32,2.6,14,1.07,2.8,1.2,2.4,50,55.3
Kawhi Leonard,SAS,10,2,14,0.55,1.1,0.5,1.9,26.3,28.9
Giannis Antetokounmpo,MIL,75,3.5,13.9,0.84,3,1.1,2.9,39.2,39.4
Lance Stephenson,IND,82,1.5,13.8,0.81,1.2,0.5,1.3,37.5,40.4
DeMar DeRozan,TOR,80,3,13.3,1.03,3.1,1.1,2.5,44.9,46.7
CJ McCollum,POR,81,2.8,13,1,2.8,1,2.3,43.4,47.9
Bradley Beal,WAS,82,2.9,12.9,0.86,2.5,1,2.3,43.2,45.8
Jimmy Butler,MIN,59,2.6,12.8,0.93,2.4,0.8,2,40.8,42.5
DeMarcus Cousins,NOP,48,3.4,12.7,0.78,2.6,1,2.4,39.7,41.4
Marcus Morris Sr.,BOS,54,1.7,12.6,0.9,1.6,0.6,1.5,41.3,42.5
Blake Griffin,DET,25,2.6,12.5,0.91,2.4,0.8,2.4,35.6,42.4
Dwight Buycks,DET,29,1.1,12.5,1.06,1.2,0.4,1,42.9,50
Trey Burke,NYK,36,1.6,12.4,0.79,1.2,0.5,1.4,36,37
Antonio Blakeney,CHI,19,1.1,12.4,0.81,0.9,0.2,0.8,25,31.3
D'Angelo Russell,BKN,48,2.2,12.3,0.86,1.9,0.8,1.8,40.9,45.5
Reggie Jackson,DET,45,2,12.2,0.82,1.6,0.6,1.6,35.1,39.9
Caris LeVert,BKN,71,1.6,11.9,0.9,1.4,0.5,1.2,43.7,44.8
Joe Johnson,HOU,23,0.8,11.8,0.53,0.4,0.2,0.7,31.3,31.3
Devin Booker,PHX,54,3,11.7,0.83,2.5,0.9,2.5,36.3,41.1
Paul George,OKC,79,2.5,11.5,0.87,2.2,0.8,2,38,43
Dwyane Wade,CLE,46,1.5,11.5,0.73,1.1,0.4,1.2,33.3,33.3
Mike James,PHX,32,1.4,11.5,1,1.4,0.3,1,30.3,36.4
Alec Burks,UTA,64,0.9,11.3,0.85,0.8,0.3,0.8,38,47
Zach LaVine,CHI,24,2.1,11.3,0.96,2,0.6,1.6,39.5,44.7
Shabazz Napier,POR,74,1,11.3,0.6,0.6,0.2,0.8,24.6,27.9
Jrue Holiday,NOP,81,2.1,11.2,1,2.1,0.9,1.9,46.1,50.3
Blake Griffin,LAC,33,2.6,11.1,0.95,2.5,0.9,2.2,41.1,47.3
Raymond Felton,OKC,82,0.9,10.9,0.6,0.5,0.2,0.7,31.7,35
Rondae Hollis-Jefferson,BKN,68,1.6,10.8,0.89,1.4,0.6,1.3,44,44
Zach Randolph,SAC,60,1.6,10.7,1.02,1.7,0.7,1.5,50,50
Jayson Tatum,BOS,80,1.4,10.6,0.82,1.2,0.4,1.2,37.1,37.6
Isaiah Canaan,PHX,19,1.1,10.6,1.2,1.3,0.4,0.8,53.3,56.7
Wilson Chandler,DEN,74,1.1,10.4,0.74,0.8,0.3,0.8,38.7,39.5
Victor Oladipo,IND,75,2.3,10.3,1.03,2.4,0.9,1.9,45.1,50.7
Jamal Murray,DEN,81,1.7,10.3,0.82,1.4,0.5,1.4,35.9,40.2
Jerian Grant,CHI,74,0.9,10.3,0.71,0.7,0.3,0.8,33.9,34.7
Andrew Harrison,MEM,56,1.1,10.3,0.77,0.8,0.3,0.9,32.7,34.7
Frank Mason III,SAC,52,0.9,10,0.82,0.8,0.3,0.8,38.5,38.5
JR Smith,CLE,80,0.9,9.9,0.93,0.8,0.4,0.9,41.2,46.3
Will Barton,DEN,81,1.5,9.8,0.64,1,0.3,1.2,27.3,29.8
Rodney Hood,UTA,39,1.6,9.8,1.02,1.7,0.6,1.4,42.6,50
Eric Gordon,HOU,69,1.7,9.7,0.99,1.7,0.6,1.2,46.5,49.4
Malcolm Delaney,ATL,54,0.7,9.7,0.9,0.6,0.2,0.7,36.1,40.3
Shane Larkin,BOS,54,0.5,9.7,0.77,0.4,0.1,0.4,26.3,26.3
Evan Turner,POR,79,0.9,9.6,0.81,0.7,0.3,0.7,39.7,39.7
Jabari Parker,MIL,31,1.2,9.4,0.71,0.9,0.4,1.2,36.1,36.1
Khris Middleton,MIL,82,1.8,9.3,0.88,1.6,0.6,1.5,41.5,43.9
Jordan Clarkson,LAL,53,1.4,9.2,0.99,1.4,0.5,1.1,49.2,50.8
Tyler Ennis,LAL,54,0.5,9.1,0.64,0.3,0.1,0.4,40,40
Emmanuel Mudiay,NYK,22,1.1,9.1,0.33,0.4,0.2,0.9,20,20
Ben Simmons,PHI,81,1.6,9,0.88,1.4,0.6,1.2,49.5,49.5
Aaron Gordon,ORL,58,1.7,9,0.82,1.4,0.5,1.3,39.2,39.9
Shaun Livingston,GSW,72,0.5,9,0.97,0.5,0.2,0.5,44.1,44.1
Dante Exum,UTA,14,0.8,9,0.91,0.7,0.3,0.6,50,50
Willie Cauley-Stein,SAC,73,1.2,8.9,0.73,0.9,0.3,0.9,35.8,35.8
Jahlil Okafor,BKN,26,0.5,8.9,0.93,0.5,0.2,0.4,54.5,54.5
Marcus Smart,BOS,54,1.1,8.8,0.77,0.9,0.4,0.9,40,42
Paul Millsap,DEN,38,1.3,8.8,0.8,1.1,0.5,1.1,43.9,43.9
Andrew Wiggins,MIN,82,1.7,8.7,0.67,1.1,0.4,1.4,30.1,32.3
Terry Rozier,BOS,80,1,8.7,0.95,1,0.4,0.9,38.4,46.6
Lou Williams,LAC,79,1.9,8.6,0.93,1.8,0.6,1.5,39.1,44.3
Tobias Harris,DET,48,1.5,8.6,0.93,1.4,0.5,1.3,40,45
Julius Randle,LAL,82,1.3,8.5,0.84,1.1,0.4,0.9,45.5,45.5
Jordan Clarkson,CLE,28,1,8.5,0.66,0.7,0.3,0.9,34.6,36.5
Andre Drummond,DET,78,1.3,8.3,0.73,1,0.3,0.9,37.3,37.3
Kristaps Porzingis,NYK,49,1.9,8.3,0.7,1.3,0.6,1.5,36,38
Fred VanVleet,TOR,76,0.7,8.3,0.78,0.6,0.2,0.6,34,39.4
Tyler Ulis,PHX,71,0.8,8.3,0.65,0.5,0.2,0.6,23.9,25
Jeremy Lamb,CHA,80,1,8.2,0.88,0.9,0.3,0.9,36,41.3
Jonathon Simmons,ORL,69,1.2,8.2,0.81,1,0.4,0.9,41.9,43.5
Courtney Lee,NYK,76,1,8.2,0.84,0.8,0.3,0.8,32.3,40.3
Joe Young,IND,53,0.3,8.1,0.67,0.2,0.1,0.3,33.3,36.7
Paul Zipser,CHI,54,0.4,8,0.7,0.3,0.1,0.3,41.2,41.2
Markelle Fultz,PHI,14,0.8,8,0.73,0.6,0.3,0.6,44.4,44.4
Tim Frazier,WAS,59,0.3,7.8,1.16,0.4,0.1,0.2,42.9,50
Kris Dunn,CHI,52,1.3,7.7,0.84,1.1,0.5,1.1,40.7,42.4
Anthony Davis,NOP,75,1.9,7.6,0.81,1.5,0.6,1.5,36.2,36.6
Donovan Mitchell,UTA,79,1.6,7.6,0.85,1.4,0.5,1.4,36.3,41.2
Dejounte Murray,SAS,81,0.8,7.6,0.66,0.5,0.2,0.6,37,37
Jeff Green,CLE,78,0.8,7.5,0.85,0.7,0.3,0.7,37.7,38.7
Greg Monroe,BOS,26,0.8,7.5,1.05,0.8,0.4,0.7,55.6,55.6
Sean Kilpatrick,CHI,9,1.1,7.5,0.4,0.4,0.1,1,11.1,16.7
J.J. Barea,DAL,69,0.9,7.4,0.63,0.6,0.2,0.8,28.6,32.1
Tyler Dorsey,ATL,56,0.6,7.4,0.97,0.6,0.2,0.6,37.5,46.9
Isaiah Thomas,LAL,17,1.4,7.4,0.83,1.1,0.4,1,35.3,38.2
Eric Bledsoe,MIL,71,1.3,7.3,1.06,1.4,0.5,1.1,46.8,52.6
Buddy Hield,SAC,80,1,7.2,0.86,0.8,0.3,0.9,38.6,45.7
Ish Smith,DET,82,0.8,7.1,1,0.8,0.4,0.7,50.8,50.8
Michael Carter-Williams,CHA,52,0.4,7.1,1.17,0.5,0.1,0.3,50,53.6
Nikola Mirotic,CHI,25,1,7.1,0.77,0.8,0.3,1,29.2,33.3
Elfrid Payton,PHX,19,1.1,7.1,0.9,0.9,0.4,0.9,44.4,44.4
Darren Collison,IND,69,0.8,7,0.98,0.8,0.3,0.8,44.2,45.2
