PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
DeAndre Jordan,LAC,77,2.9,25.4,0.66,1.9,0.1,0.1,72.7,72.7
Stephen Curry,GSW,79,1.9,7.3,0.79,1.5,0.3,0.7,40,50.9
James Harden,HOU,82,1.6,5.6,0.81,1.3,0.2,0.5,51.4,60.8
DeMarcus Cousins,SAC,65,2.1,7.2,0.69,1.4,0.2,0.6,33.3,33.3
Andre Drummond,DET,81,2.3,12.6,0.46,1,0,0.2,25,31.3
Reggie Jackson,DET,79,1.1,5.5,0.93,1.1,0.2,0.4,43.3,53.3
Paul George,IND,81,1.4,5.9,0.73,1,0.2,0.4,38.2,45.6
Dwight Howard,HOU,71,2.2,15.9,0.53,1.2,0.1,0.1,62.5,62.5
Chris Paul,LAC,75,1.3,6.5,0.82,1,0.1,0.3,34.6,44.2
Isaiah Thomas,BOS,82,1,4.4,0.91,0.9,0.1,0.3,40.9,40.9
Kevin Durant,OKC,72,1.2,4.8,0.85,1,0.2,0.4,42.3,48.1
DeMar DeRozan,TOR,78,0.9,3.8,1.06,0.9,0.2,0.4,42.9,44.6
John Wall,WAS,77,1.2,5.4,0.74,0.9,0.2,0.4,50,51.7
Kyle Lowry,TOR,77,1.3,6,0.73,0.9,0.1,0.3,38.5,48.1
Kemba Walker,CHA,81,1.1,5.3,0.78,0.9,0.1,0.4,20.7,25.9
Damian Lillard,POR,75,1.2,4.9,0.73,0.9,0.1,0.3,42.3,50
Khris Middleton,MIL,79,1,5.5,0.84,0.8,0.1,0.3,34.6,38.5
Klay Thompson,GSW,80,0.9,4.5,0.89,0.8,0.2,0.4,56.3,60.9
Carmelo Anthony,NYK,72,1.3,5.7,0.67,0.9,0.1,0.3,42.1,42.1
Jeff Teague,ATL,79,1,5.8,0.8,0.8,0.1,0.3,40.9,45.5
Anthony Davis,NOP,61,1.3,5.5,0.76,1,0.2,0.4,60.9,63
Giannis Antetokounmpo,MIL,80,1.1,6.5,0.65,0.7,0.2,0.4,51.7,53.4
Ricky Rubio,MIN,76,0.9,7.3,0.87,0.8,0.1,0.1,40,50
Nikola Jokic,DEN,80,1,9.9,0.74,0.7,0.1,0.2,52.6,52.6
Dwyane Wade,MIA,74,1,4.7,0.78,0.8,0.1,0.2,41.2,44.1
Russell Westbrook,OKC,80,1.1,4.4,0.64,0.7,0.1,0.4,36.7,36.7
Pau Gasol,CHI,72,1.6,8.9,0.47,0.8,0,0.2,23.1,23.1
LeBron James,CLE,76,1.4,5.8,0.49,0.7,0.1,0.2,55.6,58.3
Draymond Green,GSW,81,1.5,10.1,0.42,0.6,0.1,0.2,71.4,75
Dirk Nowitzki,DAL,75,0.8,4.6,0.85,0.7,0,0.1,22.2,22.2
Will Barton,DEN,82,0.8,5.4,0.77,0.6,0.1,0.3,30.8,34.6
Darren Collison,SAC,74,0.9,6.7,0.76,0.7,0.1,0.3,45,47.5
Andrew Wiggins,MIN,81,0.7,3.3,0.86,0.6,0.1,0.2,53.8,53.8
Raymond Felton,DAL,80,0.7,6.6,0.83,0.6,0.1,0.1,40,40
Marcus Morris Sr.,DET,80,1,6.9,0.58,0.6,0.1,0.2,25,28.1
Devin Booker,PHX,76,1.2,8.1,0.52,0.6,0.1,0.3,33.3,35.7
Danilo Gallinari,DEN,53,1,5.3,0.92,0.9,0.1,0.4,25,30
Jimmy Butler,CHI,67,0.9,4.4,0.78,0.7,0.1,0.3,35,40
CJ McCollum,POR,80,0.8,3.7,0.75,0.6,0.1,0.3,42.9,47.6
Jonas Valanciunas,TOR,60,1,8.6,0.75,0.8,0.1,0.1,87.5,87.5
Kristaps Porzingis,NYK,72,0.9,5.8,0.71,0.6,0.1,0.2,54.5,54.5
Jae Crowder,BOS,73,0.9,6.6,0.7,0.6,0.1,0.3,33.3,35.4
Jrue Holiday,NOP,65,1.1,6.2,0.62,0.7,0.1,0.4,29.6,35.2
Robert Covington,PHI,67,1.1,8,0.62,0.7,0.2,0.4,46.4,51.8
JJ Redick,LAC,75,0.5,3.6,1.18,0.6,0,0.1,42.9,64.3
Gordon Hayward,UTA,80,0.8,3.7,0.75,0.6,0.1,0.2,27.8,33.3
Deron Williams,DAL,65,0.9,6,0.74,0.7,0.1,0.2,40,40
Rajon Rondo,SAC,72,1.4,8.9,0.45,0.6,0.1,0.2,46.7,46.7
Mason Plumlee,POR,82,1.3,12.5,0.44,0.5,0.1,0.3,27.3,27.3
Jeremy Lin,CHA,78,0.7,5.5,0.79,0.6,0,0.2,23.1,23.1
Tristan Thompson,CLE,82,0.8,11.2,0.67,0.5,0.1,0.1,62.5,62.5
Karl-Anthony Towns,MIN,82,1.3,7.3,0.42,0.5,0.1,0.3,38.5,42.3
Kawhi Leonard,SAS,72,0.6,3.5,0.94,0.6,0.1,0.1,60,65
Kyrie Irving,CLE,53,1,4.9,0.83,0.8,0.1,0.4,36.8,42.1
Kentavious Caldwell-Pope,DET,76,0.7,4.7,0.78,0.6,0.1,0.3,28.6,28.6
Mario Chalmers,MEM,55,1,9,0.77,0.8,0.1,0.2,36.4,36.4
Marvin Williams,CHA,81,0.8,7.1,0.69,0.5,0,0.1,22.2,27.8
Elfrid Payton,ORL,73,1,7.4,0.59,0.6,0.2,0.3,50,50
Monta Ellis,IND,81,0.9,5.5,0.58,0.5,0.1,0.2,33.3,38.9
Bismack Biyombo,TOR,82,0.9,15.4,0.58,0.5,0,0.1,27.3,27.3
Greg Monroe,MIL,79,0.7,4.7,0.72,0.5,0.1,0.2,68.8,68.8
Wesley Matthews,DAL,78,0.6,4.4,0.91,0.5,0.1,0.2,46.7,63.3
Bradley Beal,WAS,55,1,5.5,0.74,0.7,0.1,0.3,35.3,35.3
Enes Freedom,OKC,82,0.7,6.5,0.64,0.5,0.1,0.1,50,50
