PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Bryn Forbes,DEN,35,2,30,1.02,2.5,0.8,2.1,37.8,50.7
Klay Thompson,GSW,32,6,28.2,0.91,5.1,1.9,5.2,37.3,47
Davis Bertans,WAS,34,1,25.6,0.84,1.2,0.4,1.4,29.8,42.6
Ben McLemore,POR,64,2,23.4,0.8,1.8,0.7,2,32.8,42.4
Max Strus,MIA,68,2,18.3,1.03,1.8,0.6,1.5,40.6,56.4
Luke Kennard,LAC,70,2,17.5,0.98,1.8,0.6,1.6,38.1,50.4
Buddy Hield,SAC,55,3,17.3,1.01,2.6,0.9,2.3,38.9,54.4
Malik Beasley,MIN,79,2,16.9,0.87,1.7,0.6,1.9,32.7,44.7
Stephen Curry,GSW,64,4,16.7,1.05,4.2,1.4,3.5,41.1,55.8
Bryn Forbes,SAS,40,1,16.4,1.12,1.6,0.6,1.2,44.9,54.1
Doug McDermott,SAS,51,2,16.1,0.93,1.5,0.5,1.4,38.9,47.2
Justin Holiday,SAC,25,1,15.8,1.27,1.9,0.6,1.4,45.7,67.1
Duncan Robinson,MIA,79,2,15.5,1.02,1.6,0.6,1.5,38.3,53.9
Justin Holiday,IND,49,2,15.4,1.26,2.1,0.7,1.6,43.4,63.8
Terrence Ross,ORL,63,2,14.5,1.03,1.6,0.7,1.4,47.7,55.2
Frank Jackson,DET,53,1,14.1,0.76,1.1,0.5,1.4,33.3,39.6
Moses Moody,GSW,52,1,13.8,0.69,0.4,0.1,0.5,28,32
Bojan Bogdanovic,UTA,69,2,13.6,1.08,2.4,0.9,1.9,47.7,56.1
Kyle Guy,MIA,18,1,13.6,1.18,0.7,0.3,0.6,45.5,59.1
Armoni Brooks,HOU,41,1,13.3,0.84,0.8,0.2,0.9,28.6,41.4
Wayne Ellington,LAL,43,1,12.8,0.73,0.6,0.2,0.8,24.2,36.4
Damion Lee,GSW,63,1,12.7,1.12,1,0.4,0.8,46.2,53.8
Jordan Poole,GSW,76,2,12.2,1.14,2.5,0.8,1.9,40.8,55.6
Desmond Bane,MEM,76,2,12.2,0.98,2,0.7,1.9,39.7,50.7
Garrison Mathews,HOU,65,1,11.9,0.97,1,0.3,0.9,36.1,46.7
Michael Porter Jr.,DEN,9,2,11.9,0.29,0.4,0.2,1.4,15.4,15.4
Elijah Hughes,POR,22,1,11.1,0.46,0.3,0.1,0.5,18.2,22.7
Joe Harris,BKN,14,1,10.6,0.8,0.9,0.3,1,28.6,42.9
Davis Bertans,DAL,22,1,10.6,0.67,0.4,0.1,0.5,25,33.3
CJ McCollum,POR,36,2,10.5,1.02,2.3,0.9,2,45.1,54.9
Kevin Durant,BKN,55,3,10.4,1.13,3.2,1.3,2.4,56.5,58.4
Bogdan Bogdanovic,ATL,63,2,10.4,0.82,1.2,0.4,1.4,32.6,39.5
Buddy Hield,IND,26,2,10.3,0.8,1.5,0.6,1.6,36.6,43.9
Isaiah Joe,PHI,55,0,10.3,1.29,0.5,0.1,0.3,42.1,63.2
Patty Mills,BKN,81,1,10.1,0.97,1.1,0.4,1,34.1,47.6
Joe Ingles,UTA,45,1,10,0.88,0.7,0.3,0.6,44.8,51.7
Evan Fournier,NYK,80,1,9.8,0.82,1.1,0.4,1.3,29.7,40.1
Grayson Allen,MIL,66,1,9.8,0.87,0.8,0.3,0.9,29.8,41.2
Kentavious Caldwell-Pope,WAS,77,1,9.6,1.15,1.4,0.6,1.1,50,58.5
Cameron Johnson,PHX,66,1,9.6,0.84,0.8,0.3,0.9,35,42.5
Otto Porter Jr.,GSW,63,1,9.5,0.94,0.7,0.2,0.7,34.1,48.9
Brandon Ingram,NOP,55,2,9.4,1.06,2.3,0.9,1.9,49.5,52.9
Landry Shamet,PHX,69,1,9.3,1.29,1,0.4,0.7,52.1,66.7
