PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Chris Paul,PHX,65,8.6,57.2,0.99,8.5,3.5,6.6,52.9,55.1
Derrick Walton Jr.,DET,3,7,53.8,0.29,2,0.7,4,16.7,16.7
Ish Smith,WAS,28,5.4,51.7,0.87,4.7,2.3,4.6,49.2,50
Trae Young,ATL,76,14,51.3,0.97,13.6,4.7,10.6,44.7,52.2
Kemba Walker,NYK,37,6.1,50.6,0.96,5.9,2.1,5.1,41.8,50.5
Mike Conley,UTA,72,6.8,50.3,0.96,6.6,2.4,5.6,43.8,52.7
Lance Stephenson,IND,40,5,48.7,0.89,4.5,1.8,3.6,50.3,52.4
Carsen Edwards,DET,4,4.3,48.6,0.77,3.3,1.3,3.5,35.7,46.4
Cameron Payne,PHX,58,6,47.9,0.84,5,2.1,4.9,41.8,44.3
Donovan Mitchell,UTA,67,12,47.5,1.03,12.4,4.5,9.7,46.1,53.8
Tyrese Haliburton,SAC,51,6.9,47.4,0.85,5.8,2.3,5.5,42.3,47.3
Dejounte Murray,SAS,68,10.5,46.7,0.88,9.1,3.9,8.6,45.9,47.5
Aaron Holiday,PHX,22,3.5,46.4,0.64,2.2,0.7,2.5,27.3,30
Ja Morant,MEM,57,12.4,45.3,0.92,11.4,4.5,9.4,47.6,49.5
Tyrese Haliburton,IND,26,7.7,45.2,0.99,7.7,2.8,5.5,50,56.9
T.J. McConnell,IND,27,4.1,44.5,0.98,4,1.7,3.5,48.9,50.5
Luka Doncic,DAL,65,13,44.3,0.93,12,4.2,9.6,43.9,51
Rajon Rondo,LAL,18,2.6,44.3,0.49,1.3,0.6,1.7,36.7,36.7
Spencer Dinwiddie,WAS,44,6,42.5,0.92,5.5,1.9,4.6,41.6,46.8
Trent Forrest,UTA,60,1.6,42,0.97,1.5,0.6,1.1,53.7,53.7
Malcolm Brogdon,IND,36,8,41.9,1.02,8.2,3.1,6.4,47.8,52.2
Markelle Fultz,ORL,18,5.3,41.9,0.9,4.7,2.2,4.3,50,51.3
DeMar DeRozan,CHI,76,10.7,41.6,1.03,11,4.3,8.4,50.8,50.9
Darius Garland,CLE,68,9.2,41.6,0.9,8.4,3.3,7.1,46.8,52.4
