PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Anthony Davis,NOP,61,5.8,24.7,1.06,6.1,2.4,4.9,50.3,52.2
Karl-Anthony Towns,MIN,82,4.4,24.8,0.95,4.2,1.8,3.7,47.7,48.5
Al Horford,ATL,82,3.7,24.7,1.13,4.1,1.8,3.4,54.2,57.1
Brook Lopez,BKN,73,4.4,21.2,0.99,4.3,1.9,3.8,49.1,49.1
Marcin Gortat,WAS,75,3,23.1,1.21,3.7,1.6,2.6,61.5,61.5
DeMarcus Cousins,SAC,65,4.3,14.8,0.98,4.2,1.6,3.3,46.5,48.6
Pau Gasol,CHI,72,3.8,21.2,0.99,3.8,1.6,3.2,49.4,49.8
Hassan Whiteside,MIA,73,2.7,20.8,1.34,3.7,1.5,2.2,70,70
Serge Ibaka,OKC,78,3.6,26.9,0.96,3.4,1.6,3.1,49.4,49.4
Chris Bosh,MIA,53,4.4,24.4,1.11,4.9,1.7,3.7,46.7,54.1
DeAndre Jordan,LAC,77,2.4,20.3,1.4,3.3,1.4,1.7,82.1,82.1
Dirk Nowitzki,DAL,75,3.3,18.6,1.03,3.4,1.3,2.9,43.4,52
Paul Millsap,ATL,81,3.2,18,0.97,3.1,1.1,2.6,43.1,50.2
Derrick Favors,UTA,62,3.6,22.1,1.11,4,1.6,3,54.9,54.9
Jason Smith,ORL,76,3.1,40.4,1,3.1,1.5,2.9,51.1,51.1
LaMarcus Aldridge,SAS,74,3.5,20.2,0.9,3.1,1.4,3,45.2,45.2
Marc Gasol,MEM,52,4,22.1,1.09,4.3,1.8,3.4,53.7,53.7
Thaddeus Young,BKN,73,2.9,18.1,1.04,3,1.4,2.5,55.9,56.2
Andre Drummond,DET,81,2.4,13.2,1.1,2.6,1.2,1.9,62.3,62.3
Cody Zeller,CHA,73,2.4,28.8,1.22,2.9,1.1,1.8,59,59
Nikola Vucevic,ORL,65,3.5,18.4,0.93,3.2,1.5,3.1,49.5,49.5
Enes Freedom,OKC,82,2.3,20.2,1.09,2.5,1.1,1.9,55.8,55.8
Kevin Love,CLE,77,2.5,15.3,0.95,2.4,0.8,2.1,39.6,47.8
Ryan Anderson,NOP,66,2.5,15.1,1.06,2.7,0.9,2.1,42.1,51.4
Gorgui Dieng,MIN,82,2.3,22.3,0.95,2.1,0.8,1.7,47.8,47.8
Mason Plumlee,POR,82,2.1,20.8,0.98,2,0.7,1.3,53.7,53.7
Steven Adams,OKC,80,1.9,24.7,1.12,2.1,0.9,1.5,63,63
Kristaps Porzingis,NYK,72,2.1,13.7,1.07,2.3,0.9,1.8,50.4,58.7
Cole Aldrich,LAC,60,2.4,43.3,1.15,2.7,1.2,1.9,62.5,62.5
Jon Leuer,PHX,67,2,23.5,1.18,2.4,1,1.8,55.1,62.3
Tristan Thompson,CLE,82,1.5,21,1.29,2,0.8,1.1,67,67
Draymond Green,GSW,81,1.9,12.6,1.02,1.9,0.7,1.4,48.2,54.5
Ian Mahinmi,IND,71,1.9,20.9,1.13,2.2,0.9,1.4,61.6,61.6
Nikola Jokic,DEN,80,1.9,19.5,0.99,1.9,0.8,1.7,48.9,48.9
Meyers Leonard,POR,61,2.3,26.4,1.09,2.5,1,2.1,48.5,57.3
Myles Turner,IND,60,3,27.8,0.84,2.5,1.1,2.6,41.4,41.7
Kenneth Faried,DEN,67,2,16.2,1.13,2.2,0.9,1.5,61.2,61.2
Marvin Williams,CHA,81,1.6,14.8,1.13,1.8,0.7,1.5,46.3,57
Nerlens Noel,PHI,67,2.3,18.4,0.94,2.2,0.9,1.7,53,53
Blake Griffin,LAC,35,4.7,21,0.88,4.1,1.9,4.2,44.6,44.9
Jared Sullinger,BOS,81,2,16.8,0.87,1.8,0.8,1.9,43,45.7
Greg Monroe,MIL,79,1.6,10.8,1.07,1.8,0.8,1.3,59.8,59.8
Kelly Olynyk,BOS,69,1.9,19.4,1.04,2,0.8,1.6,46,54
Tim Duncan,SAS,61,2.3,24.2,0.96,2.2,0.9,1.9,47,47
Brandon Bass,LAL,66,1.8,27.3,1.15,2,0.7,1.3,55.1,55.1
Marreese Speights,GSW,72,1.7,21.8,1.08,1.9,0.7,1.5,47.6,52.9
Jordan Hill,IND,73,1.9,19.8,0.96,1.8,0.8,1.6,49.2,49.2
Frank Kaminsky,CHA,81,1.6,20.5,1,1.6,0.6,1.4,41.9,51.3
Aron Baynes,DET,81,1.5,22.3,1.11,1.6,0.6,1.1,53.9,53.9
Jahlil Okafor,PHI,53,2.4,13.1,1.01,2.5,1.1,2,53.7,53.7
Jonas Valanciunas,TOR,60,1.7,14.2,1.27,2.1,0.8,1.3,60,60
Joffrey Lauvergne,DEN,60,1.9,24.6,1.1,2.1,0.8,1.6,50.5,52.5
Tyler Zeller,BOS,60,2.2,34.5,0.95,2.1,0.8,1.7,44.7,44.7
Ed Davis,POR,81,1.5,24.9,1.04,1.5,0.6,1,57.3,57.3
Zaza Pachulia,DAL,76,1.7,17.9,0.97,1.6,0.5,1.2,43.3,43.3
Clint Capela,HOU,77,1.3,18.5,1.17,1.5,0.7,1,68.4,68.4
Robin Lopez,NYK,82,1.4,13,1.03,1.4,0.6,1.1,54,54
Rudy Gobert,UTA,61,1.7,17.5,1.08,1.9,0.7,1.1,60.6,60.6
Kosta Koufos,SAC,78,1.4,21,0.99,1.4,0.6,1.3,50,50
Darrell Arthur,DEN,70,1.7,20.8,0.93,1.6,0.7,1.5,43.5,47.2
Kevin Durant,OKC,72,1.4,5.5,1.08,1.5,0.6,1.2,49.4,55.4
Luis Scola,TOR,76,1.7,18.4,0.83,1.4,0.6,1.5,41.4,44.4
Al Jefferson,CHA,47,2.1,16.9,1.08,2.3,1,1.9,53.8,53.8
Bismack Biyombo,TOR,82,1.1,19.3,1.18,1.3,0.5,0.8,63.1,63.1
Amar'e Stoudemire,MIA,52,1.6,27.3,1.3,2,0.8,1.2,67.2,67.2
Zach Randolph,MEM,68,1.6,9.7,0.96,1.5,0.6,1.4,46.2,47.3
Andrea Bargnani,BKN,46,2.3,33,0.95,2.2,1,2.2,44.7,45.6
Alexis Ajinca,NOP,59,1.8,27.5,0.94,1.7,0.7,1.5,48.9,48.9
Amir Johnson,BOS,79,1.1,15.6,1.12,1.3,0.6,0.9,60.3,62.3
Dwight Howard,HOU,71,1.3,9.3,1.1,1.4,0.6,1,63,63
Tyson Chandler,PHX,66,1.3,18,1.14,1.5,0.5,1,54.7,54.7
John Henson,MIL,57,1.6,21.9,1.09,1.7,0.8,1.3,60,60
Timofey Mozgov,CLE,76,1,16.8,1.22,1.3,0.5,0.8,66.1,66.1
David West,SAS,78,1.4,19.4,0.9,1.2,0.6,1.2,45.7,45.7
Mike Scott,ATL,75,1.1,18.8,1.11,1.2,0.5,1.1,44.3,55.1
Dewayne Dedmon,ORL,58,1.1,27.3,1.38,1.6,0.6,0.9,71.2,71.2
LeBron James,CLE,76,0.9,3.6,1.36,1.2,0.5,0.7,69.6,71.4
Miles Plumlee,MIL,61,1,20.3,1.44,1.4,0.6,0.8,76.5,76.5
Nene,WAS,57,1.6,16.9,0.96,1.5,0.6,1.3,50.7,50.7
Dwight Powell,DAL,69,1.4,23.4,0.94,1.3,0.6,1.2,48.1,48.1
Roy Hibbert,LAL,81,1.2,17,0.93,1.1,0.5,1,46.4,46.4
Mirza Teletovic,PHX,79,1.1,8.9,1.04,1.1,0.4,1,41,53.8
Alex Len,PHX,78,1.3,11.3,0.87,1.1,0.4,1,43.8,43.8
Jusuf Nurkic,DEN,32,2.6,24.5,1.01,2.6,1,2,51.6,51.6
JaMychal Green,MEM,78,1.2,14.8,0.89,1.1,0.5,1,46.3,46.3
Trevor Booker,UTA,79,1.1,16.1,0.98,1,0.5,0.9,54.4,54.4
Thomas Robinson,BKN,71,1.5,26.3,0.77,1.2,0.5,1.2,42.2,42.2
Lavoy Allen,IND,79,1,17.2,1,1,0.5,0.9,51.4,51.4
Bobby Portis,CHI,63,1.3,16.1,0.96,1.3,0.5,1.1,47.9,52.1
Jared Dudley,WAS,81,1,13.5,0.95,1,0.4,0.9,42.9,48.6
Markieff Morris,PHX,38,2.1,14.2,0.96,2,0.9,1.9,46.5,51.4
Trey Lyles,UTA,80,1.1,15.8,0.91,1,0.4,1,41.6,44.8
Patrick Patterson,TOR,79,1,14.2,0.93,0.9,0.4,0.9,39.7,50
Julius Randle,LAL,81,1.3,9.4,0.73,0.9,0.4,1.1,37.2,37.8
