PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
LaMarcus Aldridge,SAS,81,8.6,42.7,1.04,9,3.5,7,50.6,50.6
Joel Embiid,PHI,64,8.1,29.9,1.05,8.5,2.6,5.2,50.1,50.1
Karl-Anthony Towns,MIN,77,6.8,30.2,1.02,7,2.7,5,54.1,54.1
Blake Griffin,DET,75,6.4,26.4,0.92,5.9,2.2,4.4,48.6,48.6
Nikola Jokic,DEN,80,5.1,25.4,1.03,5.2,2,3.9,52.4,52.4
Nikola Vucevic,ORL,80,5.4,26.9,0.93,5,2.2,4.4,49.4,49.4
Deandre Ayton,PHX,71,4.3,28.5,1.03,4.5,1.9,3.5,54.6,54.6
Steven Adams,OKC,79,3.5,25.6,0.96,3.3,1.4,2.6,54.6,54.6
Anthony Davis,NOP,56,4.3,18.3,0.97,4.2,1.4,3.3,43.2,43.2
Robin Lopez,CHI,74,3,32.2,1.03,3.1,1.4,2.4,58.3,58.3
Julius Randle,NOP,73,3.4,16.3,0.92,3.1,1,2.2,47.2,47.2
Andre Drummond,DET,79,3.3,18.5,0.84,2.8,1.1,2.6,44.6,44.6
Jusuf Nurkic,POR,72,3.5,21.7,0.86,3,1.2,2.6,45.2,45.2
Montrezl Harrell,LAC,82,2.8,19.4,0.92,2.6,1.1,2.3,48.9,48.9
Giannis Antetokounmpo,MIL,72,3,12,0.99,3,1.1,2,55.8,55.8
Ben Simmons,PHI,79,3.4,18.6,0.8,2.7,1,2.3,43.8,43.8
Kevin Durant,GSW,78,2.5,10.6,1.04,2.6,0.9,1.8,50.3,50.3
Marc Gasol,MEM,53,4.1,24.5,0.85,3.5,1.3,3,44.9,44.9
Marvin Bagley III,SAC,62,3.6,24.3,0.8,2.9,1.1,2.7,43,43
Jaren Jackson Jr.,MEM,58,3.3,24.8,0.93,3.1,1.2,2.5,47.6,47.6
Paul Millsap,DEN,70,2.3,18.7,1.01,2.4,0.9,1.8,49.6,49.6
Enes Freedom,NYK,44,4.2,30.8,0.88,3.7,1.5,3.1,47.1,47.1
Pascal Siakam,TOR,80,1.9,12.1,1.08,2,0.8,1.4,55.2,55.2
Domantas Sabonis,IND,74,2.1,15.7,1.01,2.1,0.8,1.4,58.8,58.8
Russell Westbrook,OKC,72,2.7,9.9,0.79,2.1,0.7,2,36.1,36.1
DeMar DeRozan,SAS,77,2.2,10,0.9,2,0.8,1.9,43.4,43.4
