PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Andre Drummond,DET,78,4.3,26.7,1.09,4.7,2,3.6,56.1,56.1
Enes Freedom,NYK,71,3.1,24.3,1.26,4,1.7,2.7,63.4,63.4
DeAndre Jordan,LAC,77,3.1,28.2,1.1,3.4,1.5,2.7,57.1,57.1
Dwight Howard,CHA,81,2.4,14.4,1.27,3.1,1.2,1.8,66.4,66.4
Karl-Anthony Towns,MIN,82,2.1,11.2,1.38,2.8,1.1,1.7,68.6,68.6
Steven Adams,OKC,76,3.2,24.8,0.96,3,1.4,2.6,52.7,52.7
LaMarcus Aldridge,SAS,75,2.2,10.3,1.38,3.1,1.3,1.8,68.8,68.8
Anthony Davis,NOP,75,1.9,7.4,1.45,2.7,1.1,1.6,69.7,69.7
Hassan Whiteside,MIA,54,2.6,18.9,1.21,3.1,1.4,2.2,60.8,60.8
Julius Randle,LAL,82,1.6,10.3,1.25,2,0.8,1.2,65,65
Giannis Antetokounmpo,MIL,75,1.5,6,1.46,2.2,0.9,1.3,74,74
Jusuf Nurkic,POR,79,1.8,11.6,1.08,2,0.9,1.6,55.2,55.2
Jonas Valanciunas,TOR,77,1.7,14.5,1.18,2,0.8,1.5,58,58
Nikola Jokic,DEN,75,1.5,8.3,1.36,2,0.8,1.1,67.4,68
Ed Davis,POR,78,1.4,27.9,1.25,1.8,0.8,1.2,66,66
Taj Gibson,MIN,82,1.5,13.8,1.12,1.7,0.8,1.3,60.4,60.4
Derrick Favors,UTA,77,1.4,12.1,1.29,1.8,0.8,1.2,67.7,67.7
Clint Capela,HOU,74,1.7,13.9,1.11,1.9,0.8,1.4,59,59
Alex Len,PHX,69,1.8,22,1.07,1.9,0.7,1.4,52.6,52.6
John Collins,ATL,74,1.5,15,1.17,1.7,0.8,1.3,62.1,62.1
Jakob Poeltl,TOR,82,1.2,19.2,1.26,1.5,0.7,1.1,63.7,63.7
Rudy Gobert,UTA,56,1.9,15.8,1.14,2.2,0.9,1.5,58.8,58.8
Bobby Portis,CHI,73,1.7,12.8,0.96,1.6,0.8,1.5,49.5,49.5
Joel Embiid,PHI,63,1.6,6.6,1.19,1.9,0.7,1.2,57.5,58.2
T.J. Warren,PHX,65,1.6,8.3,1.11,1.8,0.8,1.5,54.6,54.6
DeMarcus Cousins,NOP,48,1.7,6.3,1.44,2.4,1,1.4,72.3,72.3
JaMychal Green,MEM,55,1.9,16.8,1.09,2,0.9,1.6,54,54
Ian Mahinmi,WAS,77,1.1,21.8,1.22,1.4,0.6,1,61,61
Kyle O'Quinn,NYK,77,0.9,13.1,1.35,1.2,0.5,0.7,68.5,68.5
Zach Randolph,SAC,60,1.3,8.3,1.26,1.6,0.7,1.1,64.7,64.7
Robin Lopez,CHI,64,1.4,11.1,1.1,1.5,0.7,1.3,56.1,56.1
Nikola Vucevic,ORL,57,1.3,7.4,1.3,1.7,0.8,1.2,66.2,66.2
John Henson,MIL,76,1.2,14.1,1.02,1.2,0.6,1.1,53.7,53.7
Pau Gasol,SAS,77,1.1,9.9,1.11,1.2,0.5,0.9,55.2,55.2
Tyson Chandler,PHX,46,1.7,27.4,1.14,2,0.8,1.5,58.2,58.2
Ben Simmons,PHI,81,0.9,5,1.21,1.1,0.5,0.8,64.1,64.1
Domantas Sabonis,IND,74,1.2,9.7,0.98,1.1,0.5,1,47.9,47.9
Aron Baynes,BOS,81,1,14.9,0.99,1,0.5,0.9,50.7,50.7
Bismack Biyombo,ORL,82,1,16.7,0.96,1,0.4,0.7,51.8,51.8
Kosta Koufos,SAC,71,1,15.5,1.11,1.1,0.5,0.9,60.9,60.9
Russell Westbrook,OKC,80,1,3.3,1.05,1,0.4,0.8,50.8,50.8
Montrezl Harrell,LAC,76,1,10.5,1.05,1,0.5,0.8,55.6,55.6
Kyle Kuzma,LAL,77,0.8,5.1,1.2,1,0.5,0.8,59,59
LeBron James,CLE,82,0.8,3,1.19,0.9,0.4,0.7,59.6,61.4
Kevin Love,CLE,59,1.2,7.4,1.1,1.3,0.5,1,50,50.8
Marcin Gortat,WAS,82,0.9,10.3,1,0.9,0.4,0.8,53.8,53.8
Brook Lopez,LAL,74,0.7,5.6,1.42,1,0.4,0.6,65.2,65.2
Jarrett Allen,BKN,72,1,13.3,1.03,1,0.4,0.8,50.9,50.9
Willie Cauley-Stein,SAC,73,1.1,8.1,0.94,1,0.5,1,50,50
Myles Turner,IND,65,0.9,7.3,1.22,1.1,0.4,0.8,58,58
Skal Labissiere,SAC,60,1.1,11.6,1.09,1.2,0.5,1,54.4,54.4
Dario Saric,PHI,78,0.9,6.5,1,0.9,0.4,0.8,48.3,48.3
Larry Nance Jr.,LAL,42,1.4,17.7,1.22,1.7,0.8,1.3,61.8,61.8
Bam Adebayo,MIA,69,1.1,15.1,0.99,1,0.4,0.9,47.5,47.5
Otto Porter Jr.,WAS,77,0.7,5.6,1.25,0.9,0.4,0.6,66,68.1
Michael Beasley,NYK,74,0.9,6.7,1.01,0.9,0.4,0.8,55.4,55.4
Andrew Wiggins,MIN,82,0.6,3.2,1.33,0.8,0.4,0.6,66,67
Serge Ibaka,TOR,76,0.8,6.2,1.19,0.9,0.4,0.7,54.7,55.7
Amir Johnson,PHI,74,0.9,18,1.06,0.9,0.4,0.7,57.7,57.7
Dewayne Dedmon,ATL,62,0.9,9,1.26,1.1,0.4,0.7,62.8,62.8
Deyonta Davis,MEM,62,0.9,16.8,1.24,1.1,0.5,0.8,64,64
Kyle Anderson,SAS,74,0.8,9.5,1.18,0.9,0.4,0.7,52.9,52.9
Josh Jackson,PHX,77,0.9,5.5,1,0.9,0.4,0.8,52.5,52.5
Dwight Powell,DAL,79,0.6,8.4,1.35,0.8,0.3,0.5,69.4,69.4
Aaron Gordon,ORL,58,0.9,5,1.23,1.1,0.5,0.8,62.2,62.2
Jarell Martin,MEM,73,0.8,9.7,1.05,0.9,0.4,0.7,50,50
Tristan Thompson,CLE,53,1.5,25,0.82,1.2,0.6,1.2,45.5,45.5
Lauri Markkanen,CHI,68,0.8,5.2,1.14,0.9,0.3,0.7,51.1,51.1
Rudy Gay,SAS,57,0.7,6.1,1.42,1,0.4,0.6,69.4,69.4
Kelly Oubre Jr.,WAS,81,0.5,4.4,1.35,0.7,0.3,0.5,62.2,62.2
Dejounte Murray,SAS,81,0.7,7.2,1,0.7,0.3,0.7,50,50
Daniel Theis,BOS,63,0.8,16.1,1.1,0.9,0.3,0.6,59.5,59.5
Ersan Ilyasova,ATL,46,1.2,11.2,1.06,1.2,0.4,0.9,46.5,47.7
Jimmy Butler,MIN,59,0.7,3.6,1.27,0.9,0.3,0.5,59.4,59.4
Ryan Anderson,HOU,66,0.7,8.4,1.19,0.8,0.4,0.6,62.5,62.5
DeMarre Carroll,BKN,73,0.7,5.1,1.1,0.8,0.4,0.6,59.1,60.2
Jeff Green,CLE,78,0.6,5.6,1.2,0.7,0.3,0.5,57.1,57.1
Rondae Hollis-Jefferson,BKN,68,0.8,5.8,0.95,0.8,0.3,0.7,43.5,43.5
Kelly Olynyk,MIA,76,0.6,5.2,1.18,0.7,0.3,0.4,66.7,66.7
Will Barton,DEN,81,0.6,3.7,1.13,0.7,0.3,0.5,55.3,55.3
Greg Monroe,PHX,20,1.9,17.2,1.41,2.6,1.1,1.4,79.3,79.3
David West,GSW,73,0.6,8.5,1.24,0.7,0.3,0.5,59.5,59.5
Mike Muscala,ATL,53,0.8,11.7,1.16,1,0.5,0.8,57.1,57.1
Mason Plumlee,DEN,74,0.9,12.4,0.77,0.7,0.3,0.7,48,48
Greg Monroe,BOS,26,1.5,14,1.28,1.9,0.7,1,70.4,70.4
Jerami Grant,OKC,81,0.5,6.6,1.22,0.6,0.2,0.4,58.8,58.8
Kevon Looney,GSW,66,0.6,16.2,1.19,0.8,0.3,0.5,65.7,65.7
Marquese Chriss,PHX,72,0.6,6.9,1.11,0.7,0.3,0.5,63.6,63.6
Al-Farouq Aminu,POR,69,0.7,7.3,0.98,0.7,0.3,0.6,48.8,50
Harrison Barnes,DAL,77,0.5,2.7,1.23,0.6,0.3,0.5,58.3,58.3
Carmelo Anthony,OKC,78,0.7,3.8,0.96,0.6,0.3,0.6,47.7,48.9
Salah Mejri,DAL,61,0.7,21.1,1.12,0.8,0.4,0.6,64.7,64.7
David Nwaba,CHI,70,0.7,7.8,1.04,0.7,0.3,0.6,52.5,52.5
Tyler Zeller,BKN,42,1,15.3,1.07,1.1,0.5,0.9,59,59
Wilson Chandler,DEN,74,0.7,7.2,0.85,0.6,0.2,0.6,42.9,42.9
Jamal Murray,DEN,81,0.4,2.3,1.53,0.6,0.2,0.3,75,79.2
Gorgui Dieng,MIN,79,0.6,9.1,1.02,0.6,0.3,0.5,51.2,51.2
Richaun Holmes,PHI,48,0.7,11.4,1.3,0.9,0.4,0.7,65.6,65.6
Michael Kidd-Gilchrist,CHA,74,0.4,4.8,1.3,0.6,0.2,0.4,64.3,64.3
Ivan Rabb,MEM,36,0.9,16.8,1.26,1.2,0.5,0.7,65.4,65.4
Paul Millsap,DEN,38,0.9,6,1.23,1.1,0.3,0.6,61.9,64.3
Pascal Siakam,TOR,81,0.5,6.9,1.05,0.5,0.2,0.4,57.1,57.1
Jaylen Brown,BOS,70,0.6,4.1,1.02,0.6,0.2,0.5,43.8,43.8
Jonathon Simmons,ORL,69,0.5,3.5,1.2,0.6,0.2,0.4,57.7,57.7
Markieff Morris,WAS,73,0.5,4.3,1.14,0.6,0.3,0.4,59.4,59.4
P.J. Tucker,HOU,82,0.4,6.3,1.21,0.5,0.2,0.3,66.7,70.4
Maurice Harkless,POR,59,0.6,9.3,1.21,0.7,0.3,0.5,64.5,64.5
Miles Plumlee,ATL,55,0.6,12.9,1.17,0.7,0.4,0.5,66.7,66.7
Khem Birch,ORL,42,1,22.6,1.02,1,0.4,0.7,51.6,51.6
Brandon Ingram,LAL,59,0.7,3.8,1.03,0.7,0.3,0.5,53.1,53.1
Marc Gasol,MEM,73,0.4,2.3,1.26,0.5,0.2,0.3,60,62
Lance Stephenson,IND,82,0.4,3.8,1.15,0.5,0.2,0.4,63.3,63.3
Al Horford,BOS,72,0.5,4.2,1,0.5,0.2,0.4,53.6,55.4
Marvin Williams,CHA,78,0.6,6.5,0.89,0.5,0.2,0.5,44.7,44.7
Caris LeVert,BKN,71,0.4,2.8,1.41,0.5,0.2,0.3,66.7,69
Kentavious Caldwell-Pope,LAL,74,0.4,3,1.31,0.5,0.2,0.3,62.5,66.7
Jordan Bell,GSW,57,0.6,14.1,1.06,0.7,0.3,0.6,56.3,56.3
Jae Crowder,CLE,53,0.4,4.8,1.68,0.7,0.3,0.4,70,77.5
Willie Reed,LAC,39,0.6,14.6,1.5,0.9,0.4,0.5,78.9,78.9
Ekpe Udoh,UTA,63,0.4,17.1,1.29,0.6,0.2,0.4,65.2,65.2
Nicolas Batum,CHA,64,0.5,3.6,1.2,0.6,0.2,0.4,57.7,57.7
Kenneth Faried,DEN,32,1.5,24.5,0.75,1.1,0.4,1.2,33.3,33.3
Zaza Pachulia,GSW,69,0.7,13.1,0.72,0.5,0.2,0.7,34.8,34.8
E'Twaun Moore,NOP,82,0.4,3.4,1.06,0.4,0.2,0.4,55.2,55.2
Trey Lyles,DEN,73,0.5,5,1.03,0.5,0.2,0.4,51.7,51.7
Blake Griffin,LAC,33,0.9,3.9,1.13,1,0.4,0.7,56.5,56.5
CJ McCollum,POR,81,0.4,1.8,1.06,0.4,0.2,0.4,55.2,55.2
Cody Zeller,CHA,33,1,15.1,1,1,0.5,0.8,53.6,53.6
DeMar DeRozan,TOR,80,0.3,1.3,1.38,0.4,0.2,0.2,75,81.3
Jonas Jerebko,UTA,74,0.4,6.6,1.27,0.4,0.2,0.3,63.6,63.6
Jordan Clarkson,LAL,53,0.5,3.5,1.18,0.6,0.3,0.5,59.3,59.3
Torrey Craig,DEN,39,0.7,16,1.18,0.8,0.4,0.6,58.3,58.3
Ersan Ilyasova,PHI,23,1.3,11.5,1.07,1.4,0.6,1.2,51.9,51.9
Nemanja Bjelica,MIN,67,0.5,7.7,0.94,0.5,0.2,0.4,44.4,44.4
Cristiano Felicio,CHI,55,0.7,12.4,0.84,0.6,0.2,0.5,46.4,46.4
Draymond Green,GSW,70,0.6,4.7,0.76,0.5,0.2,0.5,38.9,38.9
Frank Kaminsky,CHA,79,0.2,2,1.82,0.4,0.2,0.2,92.3,92.3
Donovan Mitchell,UTA,79,0.3,1.5,1.24,0.4,0.2,0.3,66.7,66.7
Nene,HOU,52,0.5,8,1.19,0.6,0.2,0.3,55.6,55.6
Lou Williams,LAC,79,0.3,1.5,1.15,0.4,0.2,0.3,56.5,60.9
Delon Wright,TOR,69,0.4,4.8,1.15,0.4,0.2,0.4,56,56
Sam Dekker,LAC,73,0.3,7.6,1.25,0.4,0.2,0.3,61.9,61.9
James Ennis III,MEM,45,0.6,8.8,1.15,0.7,0.3,0.5,61.9,61.9
Trevor Booker,BKN,18,1.4,13.1,1.15,1.7,0.8,1.2,68.2,68.2
Tyler Zeller,MIL,24,1.2,22.6,1.07,1.3,0.5,1,52,52
Andre Roberson,OKC,39,0.8,15.3,0.94,0.8,0.4,0.8,48.4,48.4
Robert Covington,PHI,80,0.3,2.7,1.07,0.4,0.2,0.3,50,54.2
Maxi Kleber,DAL,72,0.4,8.8,0.91,0.4,0.2,0.4,43.3,43.3
Marcus Morris Sr.,BOS,54,0.4,2.8,1.33,0.5,0.2,0.3,61.1,66.7
Omri Casspi,GSW,53,0.4,7.7,1.33,0.5,0.2,0.3,58.8,58.8
Damian Lillard,POR,73,0.4,1.5,1,0.4,0.2,0.3,50,50
Joe Harris,BKN,78,0.4,3.7,1,0.4,0.1,0.3,45.8,45.8
Eric Bledsoe,MIL,71,0.4,2.2,1,0.4,0.2,0.4,53.8,53.8
Buddy Hield,SAC,80,0.4,3,0.85,0.4,0.2,0.4,43.3,45
Kristaps Porzingis,NYK,49,0.8,3.7,0.68,0.6,0.2,0.7,33.3,33.3
James Johnson,MIA,73,0.3,2.5,1.29,0.4,0.2,0.3,61.9,61.9
Blake Griffin,DET,25,0.9,4.2,1.23,1.1,0.5,0.8,57.1,57.1
Josh Richardson,MIA,81,0.3,2.1,1.17,0.3,0.1,0.3,57.1,57.1
Bradley Beal,WAS,82,0.3,1.4,1.04,0.3,0.1,0.3,52.2,52.2
Nikola Mirotic,NOP,30,0.9,5.9,1.04,0.9,0.4,0.8,47.8,50
Willy Hernangomez,CHA,22,1.2,22.3,1,1.2,0.4,0.9,40,40
Paul George,OKC,79,0.4,1.6,0.96,0.3,0.2,0.3,60,60
Eric Moreland,DET,67,0.4,16.1,0.96,0.4,0.2,0.3,54.5,54.5
Mike Scott,WAS,76,0.4,5.1,0.84,0.4,0.2,0.4,46.4,46.4
Khris Middleton,MIL,82,0.2,1.3,1.3,0.3,0.1,0.2,64.7,64.7
Cheick Diallo,NOP,52,0.5,11.7,0.96,0.5,0.2,0.4,45.5,45.5
