PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Axel Toupane,DEN,21,2.3,58.5,0.85,2,0.7,2.2,30.4,43.5
Anthony Tolliver,DET,72,2.9,55.1,1.05,3.1,1,2.7,37.1,53.8
Patrick Patterson,TOR,79,3.8,52.8,1.01,3.9,1.4,3.5,39.9,52.9
PJ Hairston,CHA,48,3.5,52.5,1.04,3.6,1.3,3.2,38.7,53.2
Channing Frye,CLE,26,3.5,49.7,1.18,4.1,1.4,3.3,41.9,60.5
Richard Jefferson,CLE,74,2.5,47.7,1.05,2.6,0.9,2.2,41.6,55.9
Chris Johnson,UTA,70,1.7,47.4,0.64,1.1,0.4,1.5,25.7,33.8
Caron Butler,SAC,17,1.8,46.9,0.93,1.6,0.6,1.6,39.3,41.1
Rashad Vaughn,MIL,70,2,46.5,0.69,1.4,0.5,1.8,25.6,35.7
Reggie Bullock,DET,37,1.4,46.4,1.29,1.8,0.6,1.3,45.8,65.6
Anthony Morrow,OKC,68,2.5,46.1,1.05,2.6,0.9,2.4,38.7,52.1
Joe Ingles,UTA,81,2,44.8,1.23,2.5,0.9,1.8,46.3,66.4
Jason Terry,HOU,72,2.7,44.2,0.99,2.7,0.9,2.6,36.2,50.5
Luke Babbitt,NOP,47,3.1,44,0.94,2.9,1.1,2.8,39.7,48.5
Dante Cunningham,NOP,80,2.7,43.6,0.91,2.5,0.9,2.5,34.5,46.3
Tayshaun Prince,MIN,77,1.5,43.6,0.83,1.2,0.6,1.5,41.6,41.6
Jared Dudley,WAS,81,3.3,43.3,1.11,3.6,1.3,2.8,47.2,60.3
Trey Lyles,UTA,80,2.9,43.2,0.93,2.7,1.1,2.6,42,49.8
Lamar Patterson,ATL,35,1.4,43,0.59,0.8,0.3,1.1,23.7,32.9
Danny Green,SAS,79,3.6,42.7,0.95,3.4,1.2,3.3,35,49.4
Brandon Rush,GSW,73,1.8,42.4,0.98,1.8,0.6,1.7,38,52.1
Anthony Brown,LAL,29,2.2,42.3,0.86,1.9,0.6,2.1,30,41.7
Wesley Johnson,LAC,80,3,41.5,0.95,2.9,1,2.9,34.5,49.6
Iman Shumpert,CLE,54,3,41.5,0.84,2.5,0.8,2.6,30.3,42.3
Sean Kilpatrick,DEN,7,1.7,41.4,1.25,2.1,0.7,1.4,50,70
Justin Holiday,ATL,26,1.4,41.1,0.68,1,0.3,1.3,25.7,35.7
Trevor Ariza,HOU,81,5.2,40.3,0.89,4.6,1.6,4.6,34.8,46.2
Josh Richardson,MIA,53,2.5,40.3,1.14,2.9,1,2.4,41.3,57.9
Kyle Singler,OKC,68,1.6,40.2,0.82,1.3,0.4,1.5,30,42
Hollis Thompson,PHI,77,4.1,39.7,1.1,4.5,1.5,3.6,41.9,56.5
Marvin Williams,CHA,81,4.3,39.5,1.12,4.8,1.7,4,41.5,56.7
Paul Pierce,LAC,68,2.8,39.5,0.86,2.4,0.9,2.4,35.4,46
Courtney Lee,CHA,28,3.6,39.5,0.97,3.5,1.3,3.3,37.6,48.9
Randy Foye,OKC,27,2.7,39.4,0.86,2.4,0.9,2.7,31.5,43.8
Lance Thomas,NYK,59,3.2,39,1.07,3.5,1.2,2.7,43.8,53.4
Nik Stauskas,PHI,73,3.7,38.9,0.93,3.4,1.1,3.2,33.1,46.6
Omri Casspi,SAC,69,4.4,38.2,1.02,4.5,1.6,3.8,41.2,54.8
Norman Powell,TOR,49,2.2,37.8,0.99,2.2,0.8,1.9,42.6,55.9
Charlie Villanueva,DAL,62,2.2,37.7,0.76,1.7,0.6,2.1,29.7,39.1
Kostas Papanikolaou,DEN,26,1.3,37.6,0.77,1,0.3,1,29.6,42.6
Al-Farouq Aminu,POR,82,4.1,37.4,1.03,4.2,1.4,3.7,39.1,53.6
Robert Covington,PHI,67,5.1,37.2,0.93,4.8,1.5,4.5,32.9,46.3
Troy Daniels,CHA,43,1.9,37.2,1.48,2.7,0.9,1.7,53.3,78
Jonas Jerebko,BOS,78,1.7,36.6,0.98,1.7,0.6,1.6,38.8,52.1
Patrick Beverley,HOU,71,3.7,36.5,1.11,4.1,1.5,3.5,42,57.2
Nikola Mirotic,CHI,66,4.4,36.4,1.11,4.8,1.5,3.9,39.8,56.1
Alan Anderson,WAS,13,1.8,36.4,1.33,2.5,0.8,1.7,45.5,61.4
Wesley Matthews,DAL,78,4.6,36.2,1.11,5.1,1.7,4.3,39.3,56.1
Channing Frye,ORL,44,1.8,35.9,1.04,1.9,0.7,1.8,38,52.5
Tim Hardaway Jr.,ATL,51,2.2,35.6,0.95,2.1,0.7,2.1,35.2,47.1
Luol Deng,MIA,74,4.4,35.5,0.95,4.1,1.5,3.9,37.7,49.1
Meyers Leonard,POR,61,3.1,35.4,1,3.1,1.1,2.8,38.2,54.3
Gerald Green,MIA,69,3.4,35,1.01,3.4,1.2,3.1,38.2,49.3
Sasha Vujacic,NYK,61,1.9,34.9,0.97,1.9,0.7,1.7,38.1,51.9
Kris Humphries,WAS,28,2.4,34.9,0.81,2,0.7,2.1,33.3,42.5
Terrence Ross,TOR,73,3.3,34.3,1.13,3.7,1.3,3,42.3,59.9
Josh McRoberts,MIA,42,1.6,34.2,0.72,1.1,0.4,1.5,29.5,34.4
Greivis Vasquez,MIL,23,2.8,34,0.8,2.2,0.8,2.4,32.1,42
Ersan Ilyasova,DET,52,4,33.9,0.99,4,1.3,3.5,37.7,50.5
