PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Josh Hart,NOP,41,4.8,36.3,1.17,5.6,2,3.1,62,64.3
Josh Jackson,SAC,12,1.8,31.3,0.95,1.7,0.5,1.1,46.2,46.2
Isaac Okoro,CLE,67,2.4,29.3,1.27,3.1,1.1,1.8,61.7,63.8
Danuel House Jr.,UTA,25,1.8,29,1.2,2.2,0.8,1.4,54.3,65.7
De'Anthony Melton,MEM,73,3.4,28.9,1.02,3.5,1.3,2.6,49.5,57.8
Terance Mann,LAC,81,3,28.5,1.03,3.1,1.1,2.3,50.5,55.2
David Nwaba,HOU,46,1.4,28.3,1.03,1.5,0.6,1,55.3,57.4
David Duke Jr.,BKN,22,1.6,28.3,0.92,1.5,0.7,1.5,45.5,48.5
Vlatko Cancar,DEN,15,1.1,28.1,1.25,1.3,0.5,0.8,66.7,70.8
Armoni Brooks,TOR,13,0.9,27.9,0.5,0.5,0.2,0.8,18.2,27.3
Ziaire Williams,MEM,62,2.2,27.8,1.28,2.8,1.1,2,57.9,65.7
Giannis Antetokounmpo,MIL,67,7.4,27.6,1.14,8.5,2.7,4.6,58.4,61.8
Lindy Waters III,OKC,24,2.1,27.6,1.49,3.2,1.2,2,58.3,76
Taurean Prince,MIN,69,1.9,27.3,1.12,2.1,0.8,1.4,54.2,62.5
Javonte Smart,MIL,13,1.2,27.3,1,1.2,0.5,1,46.2,50
Ayo Dosunmu,CHI,77,2.4,27,1.19,2.8,1.2,1.9,63.2,68.1
Cam Reddish,NYK,15,1.7,26.9,1.28,2.1,0.5,0.8,66.7,79.2
Herbert Jones,NOP,78,2.6,26.8,1.07,2.7,1.1,2,52.2,54.1
Isaiah Thomas,LAL,4,3.3,26.5,0.46,1.5,0.3,2.5,10,15
DeAndre' Bembry,BKN,48,1.4,26.1,1.18,1.7,0.8,1.1,67.9,68.9
Trendon Watford,POR,48,1.9,26,1.24,2.4,0.9,1.4,66.2,68.4
Josh Okogie,MIN,49,0.8,25.7,0.84,0.7,0.2,0.5,42.3,44.2
Josh Green,DAL,67,1.2,25.5,1.28,1.6,0.7,1,70.8,73.8
Daishen Nix,HOU,24,1.1,25.5,0.74,0.8,0.3,0.5,50,54.2
Michael Porter Jr.,DEN,9,3.3,25.4,1.03,3.4,1.4,2.9,50,55.8
Cody Martin,CHA,71,1.9,25.3,1.24,2.3,0.9,1.5,60.2,65
Naji Marshall,NOP,55,1.6,25.1,1.11,1.8,0.6,1,58.9,60.7
Hassani Gravett,ORL,8,1.5,25,0.92,1.4,0.4,1.1,33.3,50
Svi Mykhailiuk,TOR,56,1.3,24.9,1.07,1.3,0.6,1,56.4,62.7
Will Barton,DEN,71,3.8,24.8,1.18,4.4,1.6,2.9,53.4,64.2
Davis Bertans,DAL,22,1.3,24.8,1.32,1.7,0.6,1.3,46.4,64.3
Danuel House Jr.,HOU,16,1.6,24.8,0.8,1.3,0.4,1.1,33.3,44.4
Caleb Martin,MIA,60,2.1,24.7,1.23,2.6,1,1.7,59.4,63.4
Yuta Watanabe,TOR,38,1.1,24.7,1.09,1.2,0.4,0.8,50,60
Amir Coffey,LAC,69,2,24.4,1.38,2.7,0.9,1.5,59,69.5
Royce O'Neale,UTA,77,1.7,24.4,1.28,2.2,0.8,1.4,59.6,72.5
Nassir Little,POR,42,2.3,24.4,1.16,2.6,1,1.7,58.3,59.7
Greg Brown III,POR,48,1.3,24.4,1,1.3,0.5,1,46.8,50
Jalen Suggs,ORL,48,3.9,24.2,0.92,3.5,1.3,2.8,45.9,48.1
Mikal Bridges,PHX,82,2.9,24.1,1.37,4,1.6,2.4,65,70.8
Malik Monk,LAL,76,3.2,24.1,1.24,3.9,1.5,2.6,57.4,67.4
Gary Payton II,GSW,71,1.4,24.1,1.25,1.7,0.8,1.1,69.2,70.5
Terence Davis,SAC,30,2.5,24.1,1.15,2.9,1.1,1.9,58.6,62.9
R.J. Hampton,ORL,64,2.2,23.8,1,2.2,0.8,1.6,50.5,55.2
Leandro Bolmaro,MIN,15,0.7,23.8,0.7,0.5,0.1,0.5,29,28.6
Kessler Edwards,BKN,49,1.5,23.5,1.04,1.6,0.7,1.3,51.6,59.7
Brad Wanamaker,IND,22,1.1,23.3,0.75,0.8,0.2,0.7,33.3,33.3
Saben Lee,DET,37,1.5,23.2,1.18,1.8,0.7,1.1,63.4,64.6
Justise Winslow,LAC,37,1.2,23.2,0.61,0.8,0.3,0.7,40,40
Desmond Bane,MEM,76,3.8,23.1,1.18,4.5,1.6,3.2,48.8,60
Josh Christopher,HOU,74,2.1,22.9,0.95,2,0.8,1.4,60,63.5
Dalano Banton,TOR,64,1,22.9,0.84,0.8,0.3,0.7,50,50
LeBron James,LAL,56,6.3,22.7,1.18,7.4,2.9,4.6,63.8,67.3
Sterling Brown,DAL,49,0.9,22.7,0.83,0.7,0.3,0.8,35.1,43.2
Lindell Wigginton,MIL,19,1.1,22.7,1.15,1.2,0.3,0.7,42.9,53.6
Javonte Green,CHI,65,1.4,22.6,1.49,2.1,0.8,1,77.9,80.9
Braxton Key,DET,9,2.1,22.6,1.1,2.3,1,1.4,69.2,73.1
Aaron Wiggins,OKC,50,1.9,22.5,1.09,2.1,0.9,1.5,58.9,65.1
Matisse Thybulle,PHI,66,1.2,22.5,1.24,1.5,0.6,1,64.6,67.7
Kris Dunn,POR,14,2.3,22.5,0.75,1.7,0.7,1.6,43.5,43.5
Lamar Stevens,CLE,63,1.4,22.3,1.18,1.6,0.7,1,66.2,66.9
Timothe Luwawu-Cabarrot,ATL,52,1,22.3,1.32,1.3,0.4,0.8,51.2,64.6
Elijah Hughes,POR,22,1.2,22.2,1.04,1.2,0.5,1,43.5,58.7
Brandon Boston Jr.,LAC,51,1.7,22,0.98,1.6,0.6,1.4,44.4,47.9
Stanley Johnson,LAL,48,1.5,22,1.11,1.6,0.5,0.8,55,58.8
