Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,28,TOT,NBA,PG,53,997,0.453,15.8,0.576,0.222,0.142,0.066,0.146,0.424,0.511,0.614,0.4,0.524,0.457,0.373,0.215,0.64,0,0,0.187,0.36,2,0
2012-13,28,SAC,NBA,PG,46,959,0.459,15.7,0.581,0.218,0.149,0.069,0.145,0.419,0.517,0.621,0.4,0.524,0.477,0.378,0.198,0.625,0,0,0.189,0.375,2,0
2012-13,28,HOU,NBA,PG,7,38,0.308,18.3,0.462,0.308,0,0,0.154,0.538,0.333,0.5,,,0,0.286,1,1,0,0,0.143,0,0,0
2013-14,29,TOT,NBA,PG,72,1557,0.401,15.2,0.573,0.203,0.21,0.084,0.076,0.427,0.411,0.5,0.352,0.347,0.409,0.387,0.139,0.698,0,0,0.145,0.444,5,1
2013-14,29,HOU,NBA,PG,43,716,0.395,16,0.498,0.175,0.236,0.057,0.03,0.502,0.382,0.413,0.403,0.333,0.125,0.409,0.16,0.778,0,0,0.159,0.476,3,1
2013-14,29,DEN,NBA,PG,29,841,0.406,14.6,0.635,0.226,0.189,0.107,0.113,0.365,0.431,0.556,0.3,0.353,0.472,0.362,0.126,0.595,0,0,0.129,0.4,2,0
2014-15,30,CHI,NBA,PG,82,1885,0.421,13.6,0.617,0.267,0.18,0.097,0.073,0.383,0.442,0.523,0.388,0.43,0.3,0.387,0.126,0.612,0,0,0.112,0.314,2,0
2015-16,31,CHI,NBA,PG,69,1108,0.401,14.4,0.606,0.237,0.186,0.102,0.083,0.394,0.43,0.468,0.425,0.396,0.359,0.357,0.09,0.576,0,0,0.086,0.375,4,0
2016-17,32,IND,NBA,PG,65,894,0.403,16.7,0.573,0.19,0.153,0.113,0.117,0.427,0.424,0.421,0.413,0.529,0.343,0.375,0.096,0.583,0,0,0.117,0.4,6,0
2017-18,33,MIN,NBA,PG,32,189,0.406,17.3,0.551,0.203,0.13,0.145,0.072,0.449,0.447,0.429,0.333,0.5,0.6,0.355,0.118,0.818,0,0,0.161,0.6,2,0
