Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,19,ORL,NBA,PF,47,797,0.447,9.1,0.769,0.462,0.149,0.096,0.063,0.231,0.5,0.635,0.419,0.1,0.308,0.271,0.488,0.923,0.125,22,0.542,0.346,1,0
2015-16,20,ORL,NBA,PF,78,1863,0.473,10.3,0.755,0.454,0.105,0.086,0.112,0.245,0.531,0.654,0.344,0.34,0.338,0.296,0.517,0.976,0.131,72,0.38,0.315,5,0
2016-17,21,ORL,NBA,SF,80,2298,0.454,12.7,0.691,0.361,0.092,0.106,0.131,0.309,0.528,0.683,0.325,0.446,0.319,0.288,0.503,0.844,0.123,99,0.255,0.265,3,0
2017-18,22,ORL,NBA,PF,58,1909,0.434,14.1,0.605,0.275,0.109,0.106,0.114,0.395,0.497,0.718,0.287,0.38,0.273,0.336,0.488,0.835,0.111,92,0.199,0.368,0,0
2018-19,23,ORL,NBA,PF,78,2633,0.449,13,0.668,0.328,0.129,0.116,0.096,0.332,0.499,0.671,0.311,0.355,0.34,0.349,0.504,0.843,0.109,104,0.251,0.402,4,0
2019-20,24,ORL,NBA,PF,62,2017,0.437,12.9,0.691,0.326,0.126,0.15,0.089,0.309,0.494,0.704,0.361,0.348,0.162,0.308,0.5,0.89,0.124,88,0.177,0.333,6,0
2020-21,25,TOT,NBA,PF,50,1384,0.463,13.5,0.647,0.283,0.166,0.132,0.066,0.353,0.533,0.709,0.398,0.439,0.303,0.335,0.494,0.831,0.114,52,0.188,0.333,3,0
2020-21,25,ORL,NBA,PF,25,736,0.437,14.9,0.618,0.225,0.157,0.147,0.089,0.382,0.475,0.667,0.326,0.442,0.308,0.375,0.384,0.81,0.072,19,0.107,0.333,2,0
2020-21,25,DEN,NBA,PF,25,648,0.5,11.6,0.689,0.364,0.18,0.112,0.034,0.311,0.606,0.747,0.486,0.435,0.286,0.266,0.605,0.882,0.175,33,0.328,0.333,1,0
2021-22,26,DEN,NBA,PF,75,2376,0.52,11.5,0.688,0.381,0.169,0.084,0.054,0.312,0.605,0.796,0.369,0.329,0.422,0.335,0.628,0.851,0.173,130,0.419,0.349,4,0
2022-23,27,DEN,NBA,PF,68,2055,0.564,8.8,0.773,0.481,0.18,0.063,0.035,0.227,0.628,0.779,0.394,0.292,0.333,0.347,0.618,0.733,0.26,178,0.312,0.259,4,0
