Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,ATL,NBA,C,74,2756,0.543,9.5,0.994,0.35,0.207,0.114,0.324,0.006,0.544,0.752,0.434,0.446,0.423,0.5,0.771,0.667,0.098,101,0.5,0.667,0,0
2013-14,27,ATL,NBA,C,29,958,0.567,10.2,0.974,0.31,0.198,0.131,0.336,0.026,0.572,0.754,0.47,0.491,0.496,0.364,0.709,1,0.079,32,1,0.364,0,0
2014-15,28,ATL,NBA,C,76,2318,0.538,10.2,0.963,0.288,0.211,0.111,0.352,0.037,0.547,0.748,0.407,0.458,0.494,0.306,0.789,0.909,0.088,81,0.806,0.379,0,0
2015-16,29,ATL,NBA,C,82,2631,0.505,12.3,0.756,0.3,0.136,0.089,0.231,0.244,0.557,0.745,0.385,0.355,0.492,0.344,0.776,1,0.084,84,0.227,0.259,0,0
2016-17,30,BOS,NBA,C,68,2193,0.473,13.4,0.698,0.213,0.22,0.127,0.136,0.302,0.524,0.708,0.472,0.392,0.45,0.355,0.59,0.977,0.052,41,0.157,0.368,0,0
2017-18,31,BOS,NBA,C,72,2277,0.489,12.8,0.7,0.198,0.255,0.143,0.104,0.3,0.514,0.738,0.438,0.38,0.462,0.429,0.572,0.948,0.062,45,0.159,0.528,0,0
2018-19,32,BOS,NBA,C,68,1973,0.535,13.3,0.719,0.242,0.207,0.119,0.151,0.281,0.604,0.743,0.54,0.535,0.523,0.36,0.752,1,0.072,47,0.094,0.263,1,0
2019-20,33,PHI,NBA,C,67,2025,0.45,15.4,0.601,0.189,0.178,0.111,0.123,0.399,0.516,0.746,0.381,0.456,0.414,0.35,0.614,0.98,0.037,24,0.127,0.278,0,0
2020-21,34,OKC,NBA,C,28,782,0.45,15.2,0.578,0.169,0.225,0.1,0.083,0.422,0.51,0.672,0.444,0.444,0.433,0.368,0.566,0.929,0.031,9,0.118,0.222,0,0
2021-22,35,BOS,NBA,C,69,2005,0.467,15.3,0.534,0.17,0.243,0.069,0.053,0.466,0.582,0.784,0.507,0.538,0.333,0.336,0.678,0.978,0.056,31,0.279,0.378,0,0
2022-23,36,BOS,NBA,C,63,1922,0.476,18.8,0.322,0.14,0.123,0.038,0.021,0.678,0.539,0.672,0.525,0.278,0.2,0.446,0.675,0.993,0.023,11,0.378,0.488,0,0
