Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,NOH,NBA,SF,76,2066,0.475,7.1,0.96,0.489,0.224,0.08,0.167,0.04,0.486,0.642,0.368,0.316,0.266,0.211,0.71,1,0.19,80,0.421,0.375,0,0
2013-14,23,NOP,NBA,SF,80,2045,0.474,8.6,0.903,0.453,0.204,0.04,0.202,0.097,0.496,0.661,0.317,0.45,0.32,0.271,0.674,1,0.087,42,0.625,0.333,0,0
2014-15,24,DAL,NBA,SF,74,1366,0.412,10.9,0.653,0.412,0.134,0.036,0.07,0.347,0.485,0.619,0.25,0.538,0.12,0.274,0.673,1,0.132,42,0.5,0.306,0,0
2015-16,25,POR,NBA,SF,82,2341,0.416,14.9,0.515,0.252,0.121,0.047,0.095,0.485,0.468,0.597,0.299,0.382,0.382,0.361,0.595,0.921,0.061,42,0.41,0.392,1,0
2016-17,26,POR,NBA,PF,61,1773,0.393,14,0.545,0.32,0.135,0.03,0.06,0.455,0.445,0.53,0.302,0.357,0.357,0.33,0.46,1,0.058,24,0.358,0.355,3,0
2017-18,27,POR,NBA,PF,69,2072,0.395,16.5,0.418,0.215,0.12,0.026,0.057,0.582,0.432,0.608,0.314,0.133,0.152,0.369,0.486,0.96,0.041,23,0.28,0.474,0,0
2018-19,28,POR,NBA,PF,81,2292,0.433,13.9,0.528,0.351,0.105,0.029,0.044,0.472,0.514,0.611,0.419,0.118,0.231,0.343,0.516,1,0.079,42,0.311,0.356,0,0
2019-20,29,ORL,NBA,PF,18,380,0.291,13.3,0.581,0.267,0.244,0,0.07,0.419,0.32,0.435,0.19,,0.333,0.25,0.438,0.889,0.012,1,0.222,0.375,0,0
2020-21,30,TOT,NBA,PF,23,434,0.384,13.2,0.626,0.273,0.242,0.03,0.081,0.374,0.484,0.519,0.417,0,0.75,0.216,0.467,0.875,0.03,3,0.216,0.5,0,0
2020-21,30,ORL,NBA,PF,17,367,0.404,12.7,0.652,0.281,0.247,0.034,0.09,0.348,0.5,0.56,0.409,0,0.75,0.226,0.448,0.857,0.034,3,0.194,0.667,0,0
2020-21,30,CHI,NBA,PF,6,67,0.2,17.2,0.4,0.2,0.2,0,0,0.6,0.25,0,0.5,,,0.167,1,1,0,0,0.333,0,0,0
