Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,21,UTA,NBA,SG,64,1137,0.42,13.1,0.763,0.302,0.155,0.054,0.253,0.237,0.439,0.615,0.267,0.238,0.378,0.359,0.423,0.848,0.049,19,0.174,0.375,0,0
2013-14,22,UTA,NBA,SG,78,2193,0.457,11.5,0.828,0.342,0.197,0.06,0.229,0.172,0.48,0.644,0.354,0.42,0.358,0.35,0.327,0.82,0.037,28,0.266,0.395,9,0
2014-15,23,UTA,NBA,SG,27,899,0.403,12.3,0.773,0.29,0.177,0.083,0.223,0.227,0.409,0.494,0.34,0.28,0.403,0.382,0.316,0.769,0.033,9,0.25,0.471,2,0
2015-16,24,UTA,NBA,SG,31,797,0.41,12.1,0.763,0.278,0.168,0.132,0.186,0.237,0.412,0.57,0.321,0.341,0.306,0.405,0.238,0.625,0.024,8,0.354,0.429,2,0
2016-17,25,UTA,NBA,SG,42,653,0.399,12.9,0.694,0.27,0.185,0.117,0.121,0.306,0.43,0.388,0.478,0.552,0.333,0.329,0.311,0.8,0.028,4,0.368,0.393,0,0
2017-18,26,UTA,NBA,SG,64,1059,0.411,13.3,0.657,0.251,0.184,0.13,0.092,0.343,0.452,0.635,0.303,0.37,0.368,0.331,0.431,0.66,0.046,18,0.162,0.304,1,0
2018-19,27,TOT,NBA,SG,64,1375,0.405,13.6,0.646,0.287,0.173,0.089,0.097,0.354,0.428,0.596,0.317,0.238,0.304,0.363,0.42,0.77,0.025,11,0.196,0.364,2,0
2018-19,27,UTA,NBA,SG,17,269,0.412,14,0.623,0.289,0.158,0.088,0.088,0.377,0.437,0.727,0.167,0.1,0.3,0.372,0.548,0.688,0.018,2,0.116,0,1,0
2018-19,27,CLE,NBA,SG,34,979,0.4,13.5,0.65,0.282,0.176,0.085,0.106,0.35,0.412,0.531,0.35,0.276,0.306,0.378,0.363,0.8,0.024,7,0.218,0.462,1,0
2018-19,27,SAC,NBA,SG,13,127,0.45,11.3,0.7,0.35,0.2,0.15,0,0.3,0.643,0.857,0.5,0.333,,0,0.556,,0.1,2,0.333,0,0,0
2019-20,28,TOT,NBA,"SF,SG",66,1754,0.418,15.4,0.608,0.201,0.164,0.13,0.113,0.392,0.439,0.565,0.341,0.42,0.379,0.385,0.424,0.681,0.013,10,0.186,0.464,1,0
2019-20,28,GSW,NBA,SF,48,1390,0.406,15,0.627,0.213,0.168,0.128,0.118,0.373,0.424,0.516,0.347,0.39,0.408,0.375,0.475,0.726,0.013,8,0.17,0.395,1,0
2019-20,28,PHI,NBA,SG,18,364,0.461,16.6,0.539,0.156,0.15,0.138,0.096,0.461,0.5,0.808,0.32,0.522,0.25,0.416,0.244,0.563,0.012,2,0.234,0.611,0,0
2020-21,29,NYK,NBA,SG,49,1255,0.42,16.8,0.508,0.146,0.138,0.128,0.096,0.492,0.425,0.507,0.377,0.422,0.375,0.415,0.426,0.686,0,0,0.301,0.473,0,0
2021-22,30,NYK,NBA,SG,81,2318,0.391,17.4,0.466,0.124,0.165,0.111,0.066,0.534,0.378,0.444,0.342,0.358,0.375,0.404,0.43,0.752,0.004,3,0.226,0.432,0,0
2022-23,31,DET,NBA,SG,51,1122,0.436,17.7,0.479,0.087,0.144,0.122,0.12,0.521,0.459,0.65,0.409,0.464,0.4,0.414,0.307,0.657,0.002,1,0.213,0.49,0,0
