Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,20,PHO,NBA,C,42,362,0.423,6.7,1,0.474,0.205,0.218,0.103,0,0.423,0.595,0.375,0.294,0,,0.485,,0.141,10,,,0,0
2014-15,21,PHO,NBA,C,69,1518,0.507,5.8,0.992,0.544,0.164,0.167,0.116,0.008,0.509,0.677,0.293,0.288,0.341,0.333,0.663,1,0.204,66,0.333,1,0,0
2015-16,22,PHO,NBA,C,78,1821,0.423,6.9,0.989,0.442,0.224,0.128,0.192,0.011,0.426,0.572,0.279,0.3,0.35,0.143,0.669,1,0.16,89,0.571,0.25,0,0
2016-17,23,PHO,NBA,C,77,1560,0.497,6.3,0.974,0.51,0.238,0.097,0.127,0.026,0.503,0.669,0.345,0.267,0.322,0.25,0.63,1,0.179,72,0.5,0.333,2,0
2017-18,24,PHO,NBA,C,69,1395,0.566,2.7,0.992,0.733,0.167,0.053,0.04,0.008,0.568,0.646,0.349,0.5,0.133,0.333,0.676,1,0.288,95,0,,0,0
2018-19,25,ATL,NBA,C,77,1544,0.494,10,0.685,0.503,0.122,0.032,0.028,0.315,0.554,0.638,0.342,0.333,0.222,0.363,0.72,0.986,0.215,120,0.48,0.378,1,0
2019-20,26,TOT,NBA,C,55,970,0.555,7.3,0.815,0.555,0.197,0.056,0.006,0.185,0.619,0.695,0.492,0.333,0.5,0.271,0.727,1,0.257,72,0.458,0.37,0,0
2019-20,26,ATL,NBA,C,40,745,0.546,7.9,0.785,0.538,0.185,0.054,0.008,0.215,0.627,0.693,0.521,0.357,0.5,0.25,0.734,1,0.269,60,0.464,0.346,0,0
2019-20,26,SAC,NBA,C,15,225,0.593,4.4,0.949,0.627,0.254,0.068,0,0.051,0.589,0.703,0.4,0.25,,0.667,0.697,1,0.203,12,0.333,1,0,0
2020-21,27,TOT,NBA,C,64,979,0.615,5.6,0.91,0.432,0.432,0.047,0,0.09,0.644,0.792,0.55,0.154,,0.32,0.755,1,0.281,75,0.64,0.313,0,0
2020-21,27,TOR,NBA,C,7,76,0.5,14.8,0.4,0.3,0.1,0,0,0.6,0.5,0.667,0,,,0.5,1,1,0.2,1,0.667,0.5,0,0
2020-21,27,WAS,NBA,C,57,903,0.619,5.3,0.929,0.437,0.444,0.049,0,0.071,0.647,0.795,0.555,0.154,,0.263,0.752,1,0.284,74,0.632,0.25,0,0
2021-22,28,SAC,NBA,C,39,620,0.534,7,0.881,0.415,0.335,0.125,0.006,0.119,0.568,0.712,0.441,0.455,0,0.286,0.773,1,0.17,26,0.286,0.333,0,0
2022-23,29,SAC,NBA,C,26,161,0.533,5.5,0.933,0.633,0.133,0.1,0.067,0.067,0.571,0.737,0,0.667,0,0,0.563,,0.2,6,0,,0,0
