Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,19,DET,NBA,C,60,1243,0.608,2.2,0.994,0.816,0.146,0.02,0.012,0.006,0.609,0.688,0.3,0,0,0.5,0.623,0,0.365,114,0,,1,0
2013-14,20,DET,NBA,C,81,2619,0.623,1.9,0.997,0.814,0.172,0.01,0.001,0.003,0.625,0.682,0.379,0.25,0,0,0.574,,0.256,183,0,,1,0
2014-15,21,DET,NBA,C,82,2502,0.514,2.4,0.998,0.687,0.29,0.019,0.003,0.002,0.515,0.6,0.344,0.111,0,0,0.579,,0.196,166,0,,2,0
2015-16,22,DET,NBA,C,81,2666,0.521,3.1,0.994,0.592,0.358,0.042,0.004,0.006,0.522,0.612,0.409,0.227,0.25,0.333,0.533,0,0.125,115,0,,4,1
2016-17,23,DET,NBA,C,81,2409,0.53,4.4,0.992,0.494,0.42,0.07,0.004,0.008,0.532,0.684,0.381,0.406,0,0.286,0.603,0,0.147,118,0,,4,1
2017-18,24,DET,NBA,C,78,2625,0.529,3.2,0.988,0.659,0.271,0.056,0.002,0.012,0.536,0.649,0.314,0.286,0,0,0.545,,0.188,144,0,,4,0
2018-19,25,DET,NBA,C,79,2647,0.533,4.1,0.964,0.624,0.299,0.034,0.007,0.036,0.548,0.646,0.384,0.306,0,0.132,0.57,0.8,0.184,167,0.132,0,7,0
2019-20,26,TOT,NBA,C,57,1879,0.533,4.3,0.955,0.589,0.334,0.027,0.005,0.045,0.551,0.662,0.393,0.19,0,0.143,0.574,0.8,0.136,95,0.2,0.429,2,0
2019-20,26,DET,NBA,C,49,1654,0.53,4.2,0.969,0.58,0.355,0.028,0.006,0.031,0.546,0.665,0.39,0.158,0,0.048,0.568,1,0.135,81,0.143,0,2,0
2019-20,26,CLE,NBA,C,8,225,0.552,5.3,0.867,0.648,0.2,0.019,0,0.133,0.593,0.647,0.429,0.5,,0.286,0.611,0.75,0.143,14,0.286,0.75,0,0
2020-21,27,TOT,NBA,C,46,1242,0.493,3.6,0.986,0.589,0.364,0.026,0.007,0.014,0.5,0.576,0.409,0.2,0,0,0.571,,0.14,64,0,,1,0
2020-21,27,CLE,NBA,C,25,722,0.474,3.7,0.979,0.613,0.332,0.024,0.011,0.021,0.484,0.545,0.397,0.333,0,0,0.533,,0.129,38,0,,1,0
2020-21,27,LAL,NBA,C,21,520,0.531,3.5,1,0.542,0.427,0.031,0,0,0.531,0.644,0.427,0,,,0.637,,0.161,26,,,0,0
2021-22,28,TOT,NBA,C,73,1437,0.57,2.8,0.993,0.707,0.261,0.021,0.005,0.007,0.574,0.641,0.434,0.222,0,0,0.591,,0.249,93,0,,2,0
2021-22,28,PHI,NBA,C,49,902,0.538,2.7,0.992,0.706,0.265,0.021,0,0.008,0.542,0.643,0.286,0.4,,0,0.539,,0.235,48,0,,1,0
2021-22,28,BRK,NBA,C,24,535,0.61,3,0.995,0.708,0.256,0.021,0.01,0.005,0.613,0.638,0.62,0,0,0,0.647,,0.267,45,0,,1,0
2022-23,29,CHI,NBA,C,67,849,0.606,2.3,0.989,0.763,0.215,0.011,0,0.011,0.613,0.66,0.475,0,,0,0.614,,0.277,66,0.333,0,0,0
