Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,29,DEN,NBA,SG,80,2779,0.451,13.9,0.673,0.307,0.093,0.102,0.171,0.327,0.515,0.752,0.329,0.278,0.333,0.317,0.541,0.802,0.159,134,0.348,0.26,4,0
2013-14,30,GSW,NBA,SF,63,2040,0.48,14.2,0.618,0.301,0.1,0.087,0.129,0.382,0.558,0.725,0.348,0.425,0.424,0.354,0.506,0.887,0.131,58,0.394,0.391,1,0
2014-15,31,GSW,NBA,SF,77,2069,0.466,14.8,0.573,0.29,0.071,0.079,0.133,0.427,0.553,0.75,0.286,0.359,0.379,0.349,0.643,0.905,0.141,64,0.377,0.325,6,0
2015-16,32,GSW,NBA,SF,65,1732,0.478,14.5,0.582,0.31,0.063,0.073,0.136,0.418,0.57,0.728,0.348,0.407,0.4,0.351,0.631,0.944,0.141,49,0.377,0.431,3,0
2016-17,33,GSW,NBA,SF,76,1998,0.528,14.1,0.573,0.361,0.043,0.034,0.133,0.427,0.651,0.767,0.333,0.286,0.545,0.362,0.703,0.922,0.195,76,0.441,0.372,2,0
2017-18,34,GSW,NBA,SF,64,1622,0.463,13.7,0.634,0.313,0.113,0.081,0.128,0.366,0.567,0.76,0.389,0.385,0.366,0.282,0.591,0.848,0.166,52,0.179,0.143,3,0
2018-19,35,GSW,NBA,SF,68,1578,0.5,14.9,0.523,0.344,0.05,0.056,0.073,0.477,0.652,0.856,0.2,0.294,0.273,0.333,0.757,0.958,0.228,69,0.41,0.407,1,0
2019-20,36,MIA,NBA,SF,21,418,0.432,16.4,0.466,0.261,0.068,0.068,0.068,0.534,0.585,0.739,0.333,0.167,0.667,0.298,0.667,0.929,0.08,7,0.468,0.318,1,0
2020-21,37,MIA,NBA,SF,63,1339,0.383,20.3,0.266,0.149,0.048,0.032,0.036,0.734,0.53,0.649,0.5,0.25,0.333,0.33,0.8,0.933,0.077,17,0.478,0.391,5,0
2021-22,38,GSW,NBA,SF,31,603,0.38,18.1,0.388,0.207,0.116,0.025,0.041,0.612,0.617,0.76,0.571,0,0.4,0.23,0.621,0.941,0.157,17,0.338,0.24,3,0
2022-23,39,GSW,NBA,PF,8,113,0.467,15.9,0.4,0.267,0.133,0,0,0.6,1,1,1,,,0.111,0.667,1,0.267,4,0.222,0,0,0
