Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,19,MIN,NBA,SF,82,2969,0.437,10.3,0.889,0.312,0.192,0.162,0.225,0.111,0.453,0.662,0.344,0.38,0.305,0.31,0.489,0.872,0.077,79,0.246,0.419,1,0
2015-16,20,MIN,NBA,SF,81,2845,0.459,10.9,0.853,0.321,0.158,0.132,0.243,0.147,0.486,0.648,0.456,0.386,0.347,0.3,0.51,0.825,0.07,84,0.158,0.4,1,0
2016-17,21,MIN,NBA,SF,82,3048,0.452,12.6,0.816,0.291,0.131,0.139,0.253,0.184,0.473,0.65,0.374,0.365,0.383,0.356,0.414,0.757,0.052,77,0.104,0.367,1,0
2017-18,22,MIN,NBA,SF,82,2979,0.438,13.1,0.74,0.229,0.179,0.137,0.195,0.26,0.475,0.695,0.459,0.348,0.32,0.331,0.47,0.848,0.047,58,0.18,0.426,0,0
2018-19,23,MIN,NBA,SF,73,2543,0.412,13.7,0.712,0.264,0.146,0.122,0.181,0.288,0.441,0.621,0.341,0.34,0.329,0.339,0.45,0.814,0.037,39,0.164,0.474,2,0
2019-20,24,TOT,NBA,SF,54,1858,0.447,13.6,0.658,0.251,0.212,0.102,0.094,0.342,0.506,0.686,0.454,0.33,0.337,0.332,0.393,0.775,0.034,31,0.138,0.326,0,0
2019-20,24,MIN,NBA,SF,42,1455,0.444,13.5,0.652,0.253,0.214,0.103,0.082,0.348,0.505,0.685,0.456,0.284,0.354,0.331,0.365,0.736,0.028,20,0.135,0.27,0,0
2019-20,24,GSW,NBA,SF,12,403,0.457,13.7,0.686,0.239,0.202,0.101,0.144,0.314,0.512,0.689,0.447,0.526,0.296,0.339,0.5,0.95,0.059,11,0.153,0.556,0,0
2020-21,25,GSW,NBA,PF,71,2364,0.477,14.2,0.652,0.218,0.197,0.108,0.129,0.348,0.529,0.706,0.5,0.404,0.38,0.38,0.479,0.829,0.065,65,0.247,0.418,0,0
2021-22,26,GSW,NBA,SF,73,2330,0.466,14.9,0.608,0.161,0.242,0.094,0.111,0.392,0.513,0.732,0.49,0.365,0.372,0.393,0.497,0.898,0.051,45,0.261,0.442,0,0
2022-23,27,GSW,NBA,SF,37,1190,0.473,15.4,0.575,0.157,0.244,0.07,0.104,0.425,0.53,0.711,0.504,0.378,0.418,0.396,0.621,0.955,0.055,25,0.2,0.356,0,0
