Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,19,NOH,NBA,PF,64,1846,0.516,7.8,0.991,0.469,0.183,0.123,0.216,0.009,0.521,0.713,0.435,0.373,0.26,0,0.765,,0.209,129,0,,1,0
2013-14,20,NOP,NBA,PF,67,2358,0.519,8.3,0.991,0.396,0.207,0.18,0.208,0.009,0.522,0.704,0.409,0.431,0.368,0.222,0.667,1,0.159,146,0.667,0.333,0,0
2014-15,21,NOP,NBA,PF,68,2455,0.535,9.1,0.99,0.352,0.173,0.177,0.289,0.01,0.54,0.737,0.43,0.453,0.419,0.083,0.715,1,0.135,150,0.333,0,3,0
2015-16,22,NOP,NBA,C,61,2164,0.493,10.3,0.905,0.299,0.195,0.165,0.246,0.095,0.511,0.697,0.396,0.42,0.434,0.324,0.728,0.943,0.146,147,0.213,0.261,2,0
2016-17,23,NOP,NBA,C,75,2708,0.505,10.6,0.912,0.283,0.233,0.168,0.228,0.088,0.524,0.706,0.454,0.467,0.414,0.299,0.644,1,0.094,135,0.082,0.273,2,0
2017-18,24,NOP,NBA,PF,75,2727,0.534,9.2,0.889,0.374,0.201,0.157,0.157,0.111,0.558,0.744,0.483,0.428,0.339,0.34,0.701,0.909,0.154,211,0.093,0.4,3,0
2018-19,25,NOP,NBA,C,56,1850,0.517,9.8,0.859,0.368,0.217,0.153,0.12,0.141,0.547,0.767,0.386,0.408,0.341,0.331,0.618,1,0.16,151,0.062,0.556,1,0
2019-20,26,LAL,NBA,PF,62,2131,0.503,11.1,0.801,0.343,0.172,0.155,0.13,0.199,0.546,0.758,0.413,0.412,0.322,0.33,0.578,0.986,0.157,157,0.17,0.432,3,0
2020-21,27,LAL,NBA,PF,36,1162,0.491,11.7,0.837,0.243,0.204,0.232,0.158,0.163,0.536,0.785,0.536,0.415,0.33,0.26,0.575,0.962,0.098,54,0.16,0.625,1,0
2021-22,28,LAL,NBA,C,40,1404,0.532,9.6,0.899,0.376,0.193,0.15,0.181,0.101,0.571,0.793,0.485,0.317,0.413,0.186,0.647,0.846,0.177,111,0.1,0.429,0,0
2022-23,29,LAL,NBA,C,56,1904,0.563,8.2,0.923,0.348,0.323,0.134,0.117,0.077,0.589,0.788,0.514,0.442,0.372,0.257,0.625,1,0.156,138,0.149,0.364,0,0
