Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,27,ATL,NBA,SF,62,963,0.38,19.2,0.384,0.139,0.042,0.046,0.157,0.616,0.446,0.533,0.333,0.3,0.441,0.338,0.865,1,0.023,4,0.511,0.397,0,0
2013-14,28,CHA,NBA,PF,64,1298,0.42,21.7,0.195,0.085,0.036,0.02,0.055,0.805,0.45,0.692,0.182,0.5,0.235,0.413,0.741,1,0.016,5,0.332,0.39,0,0
2014-15,29,TOT,NBA,PF,76,1432,0.41,19.5,0.262,0.153,0.043,0.013,0.053,0.738,0.534,0.65,0.353,0.6,0.333,0.366,0.764,1,0.015,6,0.369,0.421,0,0
2014-15,29,PHO,NBA,PF,24,272,0.351,22,0.162,0.068,0.027,0,0.068,0.838,0.167,0.4,0,,0,0.387,1,1,0,0,0.323,0.55,0,0
2014-15,29,DET,NBA,PF,52,1160,0.423,19,0.285,0.172,0.047,0.016,0.05,0.715,0.582,0.673,0.4,0.6,0.438,0.36,0.755,1,0.019,6,0.382,0.391,0,0
2015-16,30,DET,NBA,PF,72,1341,0.386,21.3,0.181,0.099,0.021,0.021,0.042,0.819,0.5,0.667,0.143,0.429,0.286,0.36,0.767,0.99,0.018,6,0.32,0.379,0,0
2016-17,31,SAC,NBA,PF,65,1477,0.442,18.5,0.345,0.151,0.103,0.04,0.054,0.655,0.537,0.66,0.528,0.214,0.421,0.391,0.646,1,0.031,10,0.278,0.406,0,0
2017-18,32,DET,NBA,PF,79,1757,0.464,20.1,0.227,0.138,0.059,0.017,0.013,0.773,0.561,0.708,0.286,0.375,0.5,0.436,0.733,1,0.034,14,0.247,0.411,0,0
2018-19,33,MIN,NBA,PF,65,1079,0.382,22.1,0.17,0.093,0.039,0.012,0.027,0.83,0.409,0.5,0.2,0,0.571,0.377,0.611,1,0.019,4,0.265,0.351,0,0
2019-20,34,TOT,NBA,PF,55,872,0.357,21.3,0.203,0.11,0.06,0.011,0.022,0.797,0.432,0.4,0.364,0.5,0.75,0.338,0.875,0.98,0.011,2,0.228,0.424,0,0
2019-20,34,POR,NBA,PF,33,554,0.368,20.3,0.239,0.154,0.06,0.009,0.017,0.761,0.464,0.444,0.429,1,0.5,0.337,0.846,0.967,0.017,2,0.258,0.435,0,0
2019-20,34,SAC,NBA,PF,9,82,0.176,23.9,0.118,0,0.059,0,0.059,0.882,0.5,,0,,1,0.133,1,1,0,0,0.2,0,0,0
2019-20,34,MEM,NBA,PF,13,236,0.396,22.9,0.146,0.042,0.063,0.021,0.021,0.854,0.286,0,0.333,0,1,0.415,1,1,0,0,0.171,0.571,0,0
2020-21,35,PHI,NBA,PF,11,99,0.235,23,0.176,0.059,0.059,0,0.059,0.824,0,0,0,,0,0.286,,1,0,0,0.214,0.667,0,0
