Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,20,NOH,NBA,SG,61,1418,0.372,11,0.779,0.31,0.285,0.092,0.092,0.221,0.385,0.488,0.306,0.389,0.278,0.326,0.171,0.964,0,0,0.279,0.375,1,0
2013-14,21,NOP,NBA,PG,69,1339,0.405,9.8,0.791,0.386,0.291,0.055,0.059,0.209,0.416,0.536,0.319,0.231,0.286,0.364,0.218,0.972,0.015,7,0.222,0.409,5,0
2014-15,22,TOT,NBA,SG,76,1563,0.409,11.4,0.736,0.29,0.236,0.081,0.129,0.264,0.449,0.59,0.41,0.275,0.313,0.298,0.378,0.897,0.026,12,0.282,0.378,0,0
2014-15,22,NOP,NBA,SG,35,772,0.387,10.4,0.775,0.329,0.243,0.086,0.117,0.225,0.419,0.548,0.389,0.263,0.231,0.28,0.333,1,0.023,5,0.26,0.231,0,0
2014-15,22,LAC,NBA,SG,41,791,0.427,12.2,0.704,0.259,0.23,0.077,0.139,0.296,0.477,0.634,0.429,0.286,0.368,0.309,0.413,0.84,0.029,7,0.296,0.458,0,0
2015-16,23,LAC,NBA,SG,67,1464,0.438,13.4,0.641,0.277,0.165,0.079,0.12,0.359,0.495,0.615,0.447,0.341,0.387,0.335,0.341,0.823,0.006,2,0.216,0.4,1,0
2016-17,24,LAC,NBA,SG,74,2054,0.442,13.6,0.591,0.298,0.183,0.055,0.055,0.409,0.491,0.592,0.403,0.475,0.25,0.371,0.208,0.703,0.015,6,0.197,0.39,0,0
2017-18,25,LAC,NBA,SG,61,2057,0.424,13.7,0.553,0.288,0.176,0.065,0.024,0.447,0.461,0.569,0.345,0.346,0.316,0.378,0.215,0.515,0.004,3,0.153,0.345,0,0
2018-19,26,TOT,NBA,SG,76,2028,0.406,16.4,0.428,0.217,0.177,0.031,0.003,0.572,0.522,0.645,0.406,0.278,1,0.318,0.313,0.683,0.003,2,0.211,0.333,1,0
2018-19,26,WAS,NBA,SG,29,683,0.392,15.7,0.454,0.258,0.165,0.026,0.005,0.546,0.489,0.6,0.375,0,1,0.311,0.233,0.758,0.005,1,0.16,0.353,0,0
2018-19,26,HOU,NBA,SG,47,1345,0.413,16.8,0.415,0.196,0.183,0.034,0.003,0.585,0.541,0.676,0.42,0.385,1,0.321,0.353,0.648,0.003,1,0.235,0.327,1,0
2019-20,27,HOU,NBA,SG,68,1594,0.421,15.5,0.461,0.273,0.158,0.024,0.006,0.539,0.498,0.584,0.392,0.167,0.667,0.356,0.27,0.708,0.004,2,0.207,0.411,0,0
2020-21,28,TOT,NBA,SG,36,845,0.424,17.5,0.392,0.171,0.163,0.049,0.008,0.608,0.51,0.714,0.3,0.5,0.5,0.369,0.286,0.764,0,0,0.208,0.29,1,0
2020-21,28,NYK,NBA,SG,21,442,0.43,17,0.43,0.178,0.185,0.059,0.007,0.57,0.517,0.708,0.28,0.625,1,0.364,0.3,0.643,0,0,0.195,0.267,1,0
2020-21,28,DEN,NBA,SG,15,403,0.418,18.1,0.345,0.164,0.136,0.036,0.009,0.655,0.5,0.722,0.333,0.25,0,0.375,0.263,0.889,0,0,0.222,0.313,0,0
2021-22,29,DEN,NBA,SG,67,1480,0.417,17.9,0.34,0.16,0.151,0.02,0.009,0.66,0.563,0.75,0.453,0.143,0,0.342,0.463,0.848,0.006,2,0.45,0.471,0,0
2022-23,30,MIN,NBA,SG,52,1016,0.435,15.7,0.411,0.201,0.191,0.019,0,0.589,0.558,0.786,0.35,0.25,,0.35,0.354,0.907,0.019,3,0.659,0.42,0,0
