Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,BOS,NBA,PG,50,1435,0.402,13.9,0.736,0.295,0.069,0.067,0.305,0.264,0.432,0.482,0.273,0.313,0.445,0.317,0.487,0.95,0.019,8,0.825,0.337,0,0
2013-14,23,BOS,NBA,SG,60,1855,0.438,15.8,0.758,0.187,0.081,0.064,0.425,0.242,0.451,0.597,0.284,0.321,0.439,0.395,0.543,0.937,0.027,17,0.625,0.368,0,0
2014-15,24,BOS,NBA,SG,77,2428,0.429,16.8,0.652,0.168,0.05,0.044,0.389,0.348,0.47,0.612,0.392,0.356,0.431,0.352,0.661,0.895,0.016,14,0.358,0.389,2,0
2015-16,25,BOS,NBA,SG,76,2536,0.447,16.4,0.601,0.216,0.034,0.042,0.309,0.399,0.505,0.718,0.4,0.349,0.387,0.361,0.647,0.912,0.025,25,0.329,0.313,0,0
2016-17,26,BOS,NBA,SG,55,1835,0.463,15.1,0.643,0.27,0.076,0.066,0.231,0.357,0.504,0.622,0.356,0.529,0.408,0.39,0.614,0.815,0.031,23,0.296,0.39,1,0
2017-18,27,TOT,NBA,SG,46,1433,0.414,14.3,0.675,0.227,0.13,0.099,0.219,0.325,0.436,0.599,0.346,0.355,0.358,0.369,0.685,0.92,0.026,13,0.335,0.426,0,0
2017-18,27,DET,NBA,SG,40,1268,0.409,14.6,0.66,0.221,0.125,0.098,0.216,0.34,0.423,0.571,0.338,0.375,0.341,0.381,0.704,0.919,0.025,11,0.314,0.459,0,0
2017-18,27,LAC,NBA,SG,6,165,0.473,11.2,0.836,0.291,0.182,0.109,0.255,0.164,0.543,0.813,0.4,0.167,0.5,0.111,0.56,1,0.036,2,0.778,0.143,0,0
2018-19,28,TOT,NBA,SG,63,1905,0.408,17,0.597,0.161,0.1,0.074,0.262,0.403,0.446,0.49,0.344,0.4,0.472,0.351,0.611,0.86,0.003,2,0.359,0.386,3,0
2018-19,28,LAC,NBA,SG,49,1463,0.383,16.6,0.59,0.176,0.105,0.064,0.245,0.41,0.415,0.473,0.318,0.444,0.408,0.337,0.631,0.948,0.005,2,0.436,0.36,2,0
2018-19,28,MEM,NBA,SG,14,442,0.463,17.9,0.612,0.128,0.09,0.096,0.298,0.388,0.513,0.542,0.412,0.333,0.589,0.384,0.576,0.679,0,0,0.178,0.538,1,0
2019-20,29,LAL,NBA,SG,49,1186,0.444,16.9,0.548,0.17,0.091,0.076,0.211,0.452,0.51,0.646,0.429,0.448,0.457,0.364,0.738,0.921,0.005,2,0.468,0.358,1,0
2020-21,30,TOT,NBA,SG,27,602,0.374,18.2,0.409,0.158,0.099,0.035,0.117,0.591,0.443,0.741,0.353,0.167,0.2,0.327,0.71,0.939,0,0,0.396,0.375,0,0
2020-21,30,MIA,NBA,SG,10,211,0.47,17.8,0.424,0.136,0.121,0.061,0.106,0.576,0.536,0.889,0.375,0.25,0.429,0.421,0.733,1,0,0,0.5,0.421,0,0
2020-21,30,HOU,NBA,SG,17,391,0.314,18.5,0.4,0.171,0.086,0.019,0.124,0.6,0.381,0.667,0.333,0,0.077,0.27,0.688,0.882,0,0,0.333,0.333,0,0
2021-22,31,LAL,NBA,SG,62,1406,0.423,18.1,0.4,0.137,0.091,0.083,0.089,0.6,0.471,0.604,0.281,0.483,0.452,0.39,0.636,0.939,0.003,1,0.538,0.381,0,0
