Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,20,SAC,NBA,SG,82,2187,0.376,16.6,0.563,0.214,0.109,0.041,0.2,0.437,0.419,0.607,0.216,0.393,0.331,0.32,0.619,0.947,0.066,34,0.269,0.425,5,1
2014-15,21,SAC,NBA,SG,82,2670,0.437,15.7,0.529,0.217,0.123,0.048,0.142,0.471,0.507,0.711,0.294,0.425,0.407,0.358,0.628,0.914,0.079,60,0.366,0.413,5,0
2015-16,22,SAC,NBA,SG,68,1443,0.429,14.2,0.593,0.262,0.138,0.053,0.141,0.407,0.474,0.689,0.238,0.5,0.297,0.362,0.68,0.925,0.053,21,0.389,0.347,0,0
2016-17,23,SAC,NBA,SG,61,1176,0.43,15.9,0.594,0.21,0.115,0.06,0.212,0.406,0.462,0.648,0.313,0.24,0.416,0.382,0.696,0.908,0.048,18,0.306,0.442,1,0
2017-18,24,MEM,NBA,SG,56,1091,0.421,14.8,0.574,0.241,0.126,0.062,0.145,0.426,0.477,0.6,0.34,0.522,0.37,0.346,0.706,0.964,0.024,8,0.283,0.378,1,0
2018-19,25,SAC,NBA,SG,19,158,0.391,20.1,0.359,0.125,0.063,0.031,0.141,0.641,0.348,0.5,0,0,0.444,0.415,0.875,0.941,0.031,2,0.317,0.308,1,0
2019-20,26,HOU,NBA,SF,71,1619,0.444,21.5,0.171,0.136,0.031,0.004,0,0.829,0.656,0.743,0.235,1,,0.4,0.869,0.967,0.04,20,0.294,0.466,2,0
2020-21,27,TOT,NBA,SG,53,905,0.37,21.6,0.233,0.099,0.041,0.022,0.071,0.767,0.447,0.639,0.333,0.25,0.308,0.346,0.816,0.959,0.014,4,0.236,0.5,2,0
2020-21,27,HOU,NBA,SG,32,537,0.357,20.8,0.259,0.129,0.04,0.031,0.058,0.741,0.431,0.621,0.333,0.143,0.231,0.331,0.76,0.945,0.013,2,0.235,0.487,1,0
2020-21,27,LAL,NBA,SG,21,368,0.39,23,0.191,0.05,0.043,0.007,0.092,0.809,0.481,0.714,0.333,1,0.385,0.368,0.923,0.976,0.014,2,0.237,0.519,1,0
2021-22,28,POR,NBA,SG,64,1285,0.401,21.9,0.226,0.091,0.033,0.006,0.096,0.774,0.533,0.694,0.389,0.333,0.442,0.362,0.846,0.967,0.017,8,0.309,0.488,2,0
