Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,30,TOT,NBA,"PG,SG",66,1457,0.441,15.2,0.786,0.147,0.09,0.254,0.294,0.214,0.471,0.586,0.465,0.455,0.429,0.333,0.381,0.735,0,0,0.275,0.286,2,0
2012-13,30,MIL,NBA,SG,39,719,0.475,15.4,0.794,0.113,0.084,0.294,0.303,0.206,0.529,0.63,0.45,0.529,0.514,0.265,0.54,0.846,0,0,0.347,0.294,0,0
2012-13,30,ORL,NBA,PG,27,738,0.408,15,0.777,0.181,0.097,0.214,0.286,0.223,0.411,0.558,0.478,0.353,0.338,0.396,0.171,0.667,0,0,0.208,0.273,2,0
2013-14,31,TOT,NBA,SG,41,643,0.438,14.5,0.764,0.197,0.096,0.225,0.247,0.236,0.434,0.571,0.412,0.4,0.364,0.452,0.373,0.947,0,0,0.357,0.533,0,0
2013-14,31,NYK,NBA,SG,31,588,0.425,14.8,0.75,0.188,0.1,0.213,0.25,0.25,0.425,0.567,0.438,0.382,0.35,0.425,0.412,0.941,0,0,0.375,0.533,0,0
2013-14,31,MEM,NBA,SG,10,55,0.556,12.4,0.889,0.278,0.056,0.333,0.222,0.111,0.5,0.6,0,0.5,0.5,1,0.125,1,0,0,0,,0,0
2014-15,32,MEM,NBA,PG,79,1494,0.487,13.7,0.808,0.21,0.083,0.212,0.303,0.192,0.539,0.679,0.262,0.561,0.503,0.268,0.423,0.885,0,0,0.227,0.364,2,0
2015-16,33,TOT,NBA,PG,44,707,0.434,14.7,0.778,0.187,0.051,0.247,0.288,0.222,0.461,0.514,0.4,0.531,0.386,0.341,0.352,0.933,0,0,0.318,0.5,2,0
2015-16,33,MEM,NBA,PG,8,120,0.435,14,0.761,0.239,0.065,0.174,0.283,0.239,0.457,0.455,0.667,0.5,0.385,0.364,0.438,1,0,0,0.455,0.6,0,0
2015-16,33,MIA,NBA,PG,36,587,0.434,14.9,0.783,0.171,0.046,0.27,0.289,0.217,0.462,0.538,0.286,0.537,0.386,0.333,0.327,0.909,0,0,0.273,0.444,2,0
2016-17,34,DET,NBA,PG,39,560,0.467,14.1,0.838,0.213,0.096,0.279,0.249,0.162,0.491,0.595,0.526,0.509,0.367,0.344,0.136,0.545,0,0,0.156,0.6,4,0
