Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,20,CHA,NBA,C,80,2186,0.451,4,1,0.578,0.318,0.075,0.029,0,0.451,0.58,0.273,0.269,0.3,,0.667,,0.197,57,,,0,0
2013-14,21,CHA,NBA,C,77,1072,0.611,3.4,1,0.66,0.243,0.083,0.014,0,0.611,0.737,0.371,0.417,0,,0.716,,0.257,37,,,0,0
2014-15,22,CHO,NBA,C,64,1243,0.543,2,1,0.737,0.231,0.022,0.011,0,0.543,0.657,0.233,0.25,0,,0.564,,0.242,43,,,0,0
2015-16,23,TOR,NBA,C,82,1808,0.542,3.5,0.997,0.656,0.205,0.101,0.035,0.003,0.544,0.64,0.322,0.448,0.3,0,0.737,,0.299,78,0,,0,0
2016-17,24,ORL,NBA,C,81,1793,0.528,4,1,0.581,0.319,0.077,0.029,0,0.528,0.68,0.324,0.346,0.1,,0.816,,0.23,69,,,0,0
2017-18,25,ORL,NBA,C,82,1495,0.52,4.2,0.997,0.534,0.31,0.122,0.031,0.003,0.521,0.713,0.303,0.302,0.273,0,0.803,,0.247,81,0,,0,0
2018-19,26,CHO,NBA,C,54,783,0.571,4.2,1,0.647,0.224,0.083,0.045,0,0.571,0.673,0.4,0.385,0.286,,0.764,,0.231,32,,,0,0
2019-20,27,CHO,NBA,C,53,1029,0.543,3.6,1,0.604,0.32,0.065,0.011,0,0.543,0.702,0.315,0.278,0,,0.834,,0.212,56,,,0,0
2020-21,28,CHO,NBA,C,66,1349,0.587,2.8,0.996,0.698,0.256,0.037,0.004,0.004,0.589,0.692,0.355,0.333,0,0,0.873,,0.318,70,1,0,0,0
2021-22,29,PHO,NBA,C,36,506,0.593,4.3,1,0.517,0.393,0.083,0.007,0,0.593,0.747,0.474,0.25,0,,0.744,,0.234,34,,,0,0
2022-23,30,PHO,NBA,C,61,874,0.578,4.4,1,0.417,0.49,0.092,0,0,0.578,0.814,0.406,0.421,,,0.824,,0.214,42,,,0,0
