Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,LAC,NBA,PF,80,2598,0.538,8.3,0.974,0.378,0.273,0.094,0.229,0.026,0.548,0.778,0.468,0.356,0.343,0.179,0.638,1,0.199,202,0.357,0.2,0,0
2013-14,24,LAC,NBA,PF,80,2863,0.528,8.8,0.968,0.407,0.218,0.076,0.267,0.032,0.537,0.743,0.402,0.398,0.372,0.273,0.649,0.833,0.142,176,0.364,0.438,1,0
2014-15,25,LAC,NBA,PF,67,2356,0.502,10,0.978,0.332,0.185,0.082,0.378,0.022,0.504,0.708,0.396,0.383,0.404,0.4,0.672,0.8,0.08,84,0.24,0.5,1,0
2015-16,26,LAC,NBA,PF,35,1170,0.499,11.2,0.97,0.292,0.151,0.07,0.458,0.03,0.504,0.739,0.484,0.357,0.384,0.333,0.641,0.667,0.061,36,0.167,0,0,0
2016-17,27,LAC,NBA,PF,61,2076,0.493,10.7,0.884,0.348,0.192,0.061,0.283,0.116,0.514,0.669,0.409,0.322,0.436,0.336,0.499,0.974,0.078,68,0.239,0.481,1,0
2017-18,28,TOT,NBA,PF,58,1970,0.438,12.5,0.677,0.284,0.224,0.06,0.109,0.323,0.482,0.682,0.377,0.25,0.303,0.345,0.378,0.694,0.055,46,0.112,0.417,2,0
2017-18,28,LAC,NBA,PF,33,1139,0.441,11.8,0.676,0.337,0.206,0.059,0.076,0.324,0.488,0.656,0.378,0.265,0.205,0.342,0.366,0.734,0.067,33,0.107,0.25,1,0
2017-18,28,DET,NBA,PF,25,831,0.433,13.4,0.677,0.211,0.249,0.062,0.156,0.323,0.473,0.739,0.375,0.231,0.369,0.348,0.396,0.638,0.038,13,0.119,0.625,1,0
2018-19,29,DET,NBA,PF,75,2622,0.462,13.1,0.611,0.283,0.241,0.054,0.034,0.389,0.525,0.686,0.433,0.208,0.333,0.362,0.34,0.561,0.031,37,0.178,0.398,3,0
2019-20,30,DET,NBA,PF,18,512,0.352,13.8,0.556,0.276,0.212,0.036,0.032,0.444,0.439,0.565,0.358,0.222,0.125,0.243,0.393,0.593,0.02,5,0.216,0.167,0,0
2020-21,31,TOT,NBA,PF,46,1186,0.423,15.1,0.501,0.265,0.175,0.029,0.032,0.499,0.505,0.633,0.431,0.167,0.154,0.341,0.5,0.757,0.046,18,0.18,0.27,1,0
2020-21,31,DET,NBA,PF,20,626,0.365,17.3,0.441,0.144,0.207,0.045,0.045,0.559,0.429,0.656,0.391,0.2,0.1,0.315,0.286,0.615,0,0,0.169,0.238,0,0
2020-21,31,BRK,NBA,PF,26,560,0.492,12.5,0.571,0.407,0.138,0.011,0.016,0.429,0.574,0.623,0.5,0,0.333,0.383,0.645,0.935,0.101,18,0.198,0.313,1,0
2021-22,32,BRK,NBA,C,56,958,0.425,13.5,0.537,0.339,0.15,0.035,0.013,0.463,0.565,0.613,0.532,0.273,0.5,0.262,0.621,0.947,0.058,13,0.262,0.237,1,0
2022-23,33,BOS,NBA,C,41,569,0.485,13.6,0.492,0.308,0.162,0.008,0,0.508,0.625,0.675,0.524,0,,0.348,0.725,1,0.062,8,0.318,0.333,0,0
