Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,27,SAS,NBA,C,54,508,0.603,4.6,1,0.483,0.345,0.132,0.04,0,0.603,0.738,0.5,0.391,0.571,,0.619,,0.201,32,,,0,0
2016-17,28,DET,NBA,C,35,293,0.545,4.7,1,0.417,0.485,0.098,0,0,0.545,0.764,0.391,0.385,,,0.653,,0.114,13,,,0,0
2017-18,29,TOT,NBA,C,39,337,0.534,4,1,0.453,0.432,0.088,0.027,0,0.534,0.731,0.391,0.308,0.25,,0.62,,0.155,20,,,0,0
2017-18,29,DET,NBA,C,19,171,0.519,4.7,1,0.329,0.557,0.076,0.038,0,0.519,0.692,0.455,0.333,0.333,,0.707,,0.114,7,,,0,0
2017-18,29,LAC,NBA,C,20,166,0.551,3.3,1,0.594,0.29,0.101,0.014,0,0.551,0.756,0.25,0.286,0,,0.526,,0.203,13,,,0,0
2018-19,30,TOT,NBA,C,58,681,0.615,5.3,0.962,0.558,0.262,0.1,0.042,0.038,0.624,0.731,0.471,0.577,0.273,0.4,0.66,1,0.158,37,0.3,1,0,0
2018-19,30,LAC,NBA,C,36,376,0.607,4,0.986,0.657,0.214,0.079,0.036,0.014,0.616,0.696,0.467,0.545,0.2,0,0.624,,0.179,22,0,,0,0
2018-19,30,PHI,NBA,C,22,305,0.625,6.8,0.933,0.442,0.317,0.125,0.05,0.067,0.634,0.792,0.474,0.6,0.333,0.5,0.704,1,0.133,15,0.375,1,0,0
2019-20,31,DAL,NBA,C,44,422,0.573,6.6,0.919,0.46,0.318,0.1,0.043,0.081,0.603,0.825,0.388,0.333,0.444,0.235,0.521,1,0.128,24,0.059,1,0,0
2020-21,32,DAL,NBA,C,33,271,0.508,6.3,0.934,0.443,0.352,0.098,0.041,0.066,0.535,0.741,0.349,0.333,0.4,0.125,0.607,1,0.156,17,0,,0,0
2021-22,33,DAL,NBA,C,23,128,0.6,7,0.943,0.329,0.414,0.171,0.029,0.057,0.621,0.783,0.552,0.417,1,0.25,0.732,1,0.129,9,0,,0,0
2022-23,34,HOU,NBA,C,31,171,0.683,4.9,0.983,0.4,0.483,0.1,0,0.017,0.695,0.833,0.586,0.667,,0,0.561,,0.1,6,0,,0,0
