Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,20,CHI,NBA,PF,62,1102,0.427,10.5,0.881,0.321,0.197,0.11,0.25,0.119,0.443,0.586,0.372,0.25,0.404,0.308,0.629,0.938,0.069,24,0.154,0,1,0
2016-17,21,CHI,NBA,PF,64,1000,0.488,13.1,0.744,0.267,0.16,0.115,0.203,0.256,0.541,0.69,0.55,0.302,0.474,0.333,0.642,1,0.043,16,0.458,0.364,1,0
2017-18,22,CHI,NBA,PF,73,1643,0.471,11.9,0.725,0.296,0.191,0.105,0.132,0.275,0.514,0.588,0.458,0.541,0.411,0.359,0.54,1,0.031,20,0.112,0.36,1,0
2018-19,23,TOT,NBA,PF,50,1299,0.444,12.6,0.696,0.272,0.236,0.084,0.104,0.304,0.467,0.573,0.439,0.434,0.277,0.393,0.534,1,0.046,23,0.105,0.35,0,0
2018-19,23,CHI,NBA,PF,22,531,0.45,11.4,0.734,0.306,0.244,0.118,0.066,0.266,0.477,0.506,0.515,0.5,0.167,0.375,0.526,1,0.048,9,0.042,0.333,0,0
2018-19,23,WAS,NBA,PF,28,768,0.44,13.6,0.667,0.246,0.23,0.059,0.132,0.333,0.458,0.636,0.378,0.333,0.319,0.403,0.541,1,0.045,14,0.143,0.353,0,0
2019-20,24,NYK,NBA,PF,66,1393,0.45,13.9,0.683,0.212,0.211,0.114,0.146,0.317,0.493,0.616,0.484,0.388,0.407,0.358,0.566,0.985,0.029,15,0.193,0.417,0,0
2020-21,25,MIL,NBA,C,66,1372,0.523,12.4,0.737,0.264,0.194,0.162,0.117,0.263,0.542,0.671,0.457,0.495,0.457,0.471,0.536,1,0.062,27,0.382,0.467,0,0
2021-22,26,MIL,NBA,C,72,2028,0.479,14.5,0.612,0.219,0.185,0.126,0.082,0.388,0.533,0.644,0.497,0.455,0.437,0.393,0.556,1,0.037,24,0.382,0.403,2,0
2022-23,27,MIL,NBA,PF,70,1818,0.496,13.3,0.68,0.23,0.202,0.172,0.076,0.32,0.555,0.643,0.549,0.471,0.492,0.37,0.597,1,0.025,17,0.35,0.278,1,0
