Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,25,BRK,NBA,SF,78,1854,0.453,14.1,0.556,0.269,0.13,0.082,0.075,0.444,0.531,0.71,0.387,0.362,0.326,0.355,0.635,0.934,0.026,15,0.445,0.439,0,0
2015-16,26,BRK,NBA,SF,79,2115,0.433,14.3,0.549,0.258,0.147,0.076,0.069,0.451,0.474,0.601,0.336,0.316,0.462,0.382,0.59,0.907,0.024,17,0.402,0.426,0,0
2016-17,27,TOT,NBA,SF,81,2083,0.445,15.1,0.536,0.29,0.102,0.077,0.067,0.464,0.512,0.62,0.395,0.308,0.456,0.367,0.509,0.924,0.025,18,0.227,0.427,0,0
2016-17,27,BRK,NBA,SF,55,1482,0.44,14.6,0.547,0.319,0.092,0.074,0.062,0.453,0.509,0.61,0.411,0.289,0.395,0.357,0.488,0.929,0.028,14,0.235,0.446,0,0
2016-17,27,WAS,NBA,SF,26,601,0.457,16.4,0.509,0.214,0.128,0.085,0.081,0.491,0.521,0.66,0.367,0.35,0.579,0.391,0.565,0.911,0.017,4,0.209,0.375,0,0
2017-18,28,IND,NBA,SF,80,2464,0.474,14.7,0.547,0.262,0.123,0.096,0.066,0.453,0.534,0.632,0.448,0.463,0.411,0.402,0.53,0.942,0.016,13,0.272,0.457,0,0
2018-19,29,IND,NBA,SF,81,2573,0.497,13.5,0.633,0.303,0.144,0.119,0.068,0.367,0.538,0.676,0.377,0.416,0.479,0.425,0.642,0.921,0.029,31,0.288,0.495,0,0
2019-20,30,UTA,NBA,SF,63,2083,0.447,15.4,0.511,0.195,0.207,0.08,0.029,0.489,0.479,0.698,0.361,0.333,0.259,0.414,0.507,0.857,0.029,22,0.282,0.473,0,0
2020-21,31,UTA,NBA,SF,72,2216,0.439,15.4,0.502,0.181,0.226,0.079,0.016,0.498,0.487,0.635,0.411,0.438,0.133,0.39,0.412,0.961,0.015,11,0.406,0.444,0,0
2021-22,32,UTA,NBA,PF,69,2131,0.455,15.6,0.496,0.147,0.25,0.084,0.015,0.504,0.524,0.684,0.483,0.41,0.286,0.387,0.568,0.917,0.016,11,0.376,0.42,0,0
2022-23,33,DET,NBA,PF,59,1893,0.488,15.2,0.6,0.144,0.214,0.169,0.073,0.4,0.539,0.685,0.487,0.537,0.406,0.411,0.537,0.828,0.012,10,0.297,0.419,0,0
