Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,19,WAS,NBA,SG,56,1745,0.41,16.6,0.656,0.176,0.093,0.068,0.319,0.344,0.424,0.595,0.344,0.277,0.384,0.386,0.644,0.945,0.033,22,0.373,0.5,0,0
2013-14,20,WAS,NBA,SG,73,2530,0.419,16.7,0.701,0.151,0.065,0.124,0.361,0.299,0.426,0.618,0.387,0.364,0.373,0.402,0.513,0.942,0.019,20,0.329,0.389,1,0
2014-15,21,WAS,NBA,SG,63,2107,0.427,14.9,0.696,0.206,0.086,0.125,0.28,0.304,0.434,0.669,0.288,0.377,0.332,0.409,0.553,0.858,0.041,34,0.259,0.358,0,0
2015-16,22,WAS,NBA,SG,55,1708,0.449,14.5,0.661,0.229,0.114,0.139,0.179,0.339,0.481,0.639,0.451,0.405,0.357,0.387,0.429,0.8,0.029,21,0.155,0.429,2,0
2016-17,23,WAS,NBA,SG,77,2684,0.482,15.9,0.582,0.238,0.101,0.085,0.157,0.418,0.538,0.634,0.425,0.469,0.505,0.404,0.486,0.803,0.038,48,0.154,0.447,3,0
2017-18,24,WAS,NBA,SG,82,2977,0.46,15.2,0.643,0.206,0.104,0.146,0.187,0.357,0.507,0.682,0.394,0.463,0.414,0.375,0.355,0.784,0.034,42,0.098,0.404,3,0
2018-19,25,WAS,NBA,SG,82,3028,0.475,14.7,0.63,0.281,0.1,0.103,0.145,0.37,0.548,0.697,0.422,0.464,0.406,0.351,0.425,0.718,0.042,61,0.141,0.417,1,0
2019-20,26,WAS,NBA,SG,57,2053,0.455,14.7,0.631,0.239,0.141,0.135,0.115,0.369,0.515,0.689,0.397,0.438,0.387,0.353,0.376,0.635,0.035,41,0.119,0.316,1,0
2020-21,27,WAS,NBA,SG,60,2147,0.485,13.3,0.73,0.177,0.274,0.143,0.136,0.27,0.535,0.66,0.53,0.47,0.452,0.349,0.43,0.723,0.021,24,0.169,0.381,0,0
2021-22,28,WAS,NBA,SG,40,1439,0.451,13.1,0.728,0.197,0.252,0.171,0.108,0.272,0.508,0.697,0.407,0.47,0.458,0.3,0.365,0.603,0.017,13,0.238,0.38,0,0
2022-23,29,WAS,NBA,SG,50,1673,0.506,12.9,0.751,0.197,0.256,0.164,0.133,0.249,0.552,0.786,0.462,0.472,0.479,0.365,0.401,0.713,0.016,14,0.201,0.364,0,0
