Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,MIL,NBA,PG,80,2897,0.399,15.1,0.63,0.228,0.121,0.123,0.158,0.37,0.412,0.496,0.285,0.416,0.386,0.375,0.253,0.595,0.005,6,0.158,0.384,3,0
2013-14,24,DET,NBA,PG,80,2728,0.373,15.9,0.597,0.215,0.137,0.07,0.175,0.403,0.397,0.529,0.265,0.3,0.377,0.337,0.23,0.448,0.004,4,0.125,0.316,9,0
2014-15,25,DET,NBA,PG,41,1173,0.401,14.1,0.611,0.28,0.118,0.087,0.127,0.389,0.428,0.52,0.313,0.34,0.391,0.36,0.261,0.461,0.006,3,0.147,0.516,1,0
2015-16,26,TOT,NBA,PG,48,868,0.368,17.4,0.49,0.155,0.118,0.066,0.148,0.51,0.409,0.574,0.361,0.4,0.289,0.329,0.246,0.608,0,0,0.181,0.321,3,0
2015-16,26,DET,NBA,PG,23,416,0.371,17.2,0.462,0.189,0.14,0.028,0.098,0.538,0.439,0.593,0.4,0.25,0.286,0.312,0.345,0.375,0,0,0.169,0.308,3,0
2015-16,26,ORL,NBA,PG,25,452,0.366,17.5,0.516,0.124,0.099,0.099,0.193,0.484,0.386,0.55,0.313,0.438,0.29,0.346,0.156,0.815,0,0,0.192,0.333,0,0
2016-17,27,TOT,NBA,PG,81,1802,0.359,16.4,0.529,0.215,0.099,0.099,0.116,0.471,0.399,0.496,0.245,0.434,0.323,0.313,0.177,0.506,0,0,0.179,0.378,2,0
2016-17,27,NYK,NBA,PG,58,1428,0.38,16.1,0.534,0.228,0.096,0.096,0.114,0.466,0.415,0.51,0.268,0.415,0.347,0.34,0.2,0.485,0,0,0.18,0.444,2,0
2016-17,27,WAS,NBA,PG,23,374,0.274,17.6,0.509,0.16,0.113,0.113,0.123,0.491,0.333,0.412,0.167,0.5,0.231,0.212,0.056,0.636,0,0,0.173,0.111,0,0
2017-18,28,MIL,NBA,PG,14,205,0.375,16.9,0.542,0.125,0.125,0.125,0.167,0.458,0.462,0.556,0.333,0.333,0.583,0.273,0.222,0.667,0,0,0.121,0.25,0,0
