Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,21,DET,NBA,PG,75,2365,0.407,14.3,0.628,0.297,0.124,0.042,0.164,0.372,0.43,0.54,0.294,0.432,0.333,0.367,0.35,0.892,0.015,11,0.183,0.35,0,0
2013-14,22,MIL,NBA,PG,72,2400,0.422,13.7,0.69,0.3,0.128,0.069,0.193,0.31,0.466,0.567,0.371,0.373,0.403,0.325,0.296,0.645,0.008,7,0.098,0.333,0,0
2014-15,23,TOT,NBA,"PG,SG",63,2035,0.422,14.6,0.639,0.273,0.073,0.072,0.221,0.361,0.441,0.579,0.277,0.313,0.367,0.389,0.296,0.656,0.02,17,0.196,0.413,0,0
2014-15,23,MIL,NBA,PG,52,1688,0.435,14.1,0.659,0.295,0.067,0.077,0.22,0.341,0.448,0.582,0.26,0.298,0.378,0.409,0.295,0.635,0.02,14,0.209,0.377,0,0
2014-15,23,PHO,NBA,SG,11,347,0.357,17.3,0.531,0.154,0.105,0.049,0.224,0.469,0.395,0.545,0.333,0.429,0.313,0.313,0.3,0.762,0.021,3,0.149,0.6,0,0
2015-16,24,PHO,NBA,SG,52,1870,0.415,15.5,0.608,0.199,0.132,0.068,0.21,0.392,0.461,0.624,0.407,0.361,0.372,0.342,0.251,0.608,0.006,5,0.134,0.468,1,0
2016-17,25,PHO,NBA,SG,54,1140,0.398,13.7,0.735,0.246,0.158,0.118,0.211,0.265,0.425,0.558,0.325,0.387,0.369,0.324,0.171,0.511,0.011,6,0.245,0.324,1,0
2018-19,27,TOT,NBA,PG,39,736,0.381,17.6,0.504,0.119,0.138,0.142,0.104,0.496,0.443,0.548,0.306,0.324,0.667,0.318,0.207,0.585,0,0,0.147,0.211,0,0
2018-19,27,HOU,NBA,PG,12,118,0.234,20.8,0.319,0.043,0.106,0.106,0.064,0.681,0.4,1,0.4,0.2,0.333,0.156,0.5,0.6,0,0,0.125,0,0,0
2018-19,27,CLE,NBA,PG,27,618,0.413,16.9,0.545,0.136,0.146,0.15,0.113,0.455,0.448,0.517,0.29,0.344,0.708,0.371,0.173,0.583,0,0,0.155,0.267,0,0
2019-20,28,TOT,NBA,"PG,SG",25,462,0.353,22.1,0.216,0.066,0.066,0.078,0.006,0.784,0.389,0.364,0.273,0.538,0,0.344,0.143,0.533,0,0,0.107,0.357,0,0
2019-20,28,CLE,NBA,SG,16,241,0.326,21.5,0.256,0.07,0.07,0.105,0.012,0.744,0.409,0.5,0.167,0.556,0,0.297,0.111,0.579,0,0,0.156,0.3,0,0
2019-20,28,DET,NBA,PG,9,221,0.383,22.9,0.173,0.062,0.062,0.049,0,0.827,0.357,0.2,0.4,0.5,,0.388,0.2,0.5,0,0,0.06,0.5,0,0
2021-22,30,DAL,NBA,PG,5,65,0.4,19.4,0.32,0.28,0.04,0,0,0.68,0.75,0.857,0,,,0.235,0.667,0.75,0,0,0.118,0,1,0
