Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,BRK,NBA,C,74,2253,0.521,7.4,0.999,0.376,0.329,0.131,0.164,0.001,0.522,0.698,0.422,0.427,0.391,0,0.625,,0.091,97,1,0,0,0
2013-14,25,BRK,NBA,C,17,533,0.563,7.8,0.996,0.328,0.367,0.135,0.166,0.004,0.566,0.68,0.5,0.484,0.553,0,0.605,,0.057,12,1,0,0,0
2014-15,26,BRK,NBA,C,72,2100,0.513,7.9,0.99,0.314,0.337,0.151,0.187,0.01,0.517,0.658,0.459,0.47,0.422,0.1,0.648,1,0.04,37,0.4,0,0,0
2015-16,27,BRK,NBA,C,73,2457,0.511,7.8,0.988,0.324,0.323,0.189,0.152,0.012,0.515,0.637,0.476,0.452,0.415,0.143,0.591,1,0.05,53,0.214,0,0,0
2016-17,28,BRK,NBA,C,75,2222,0.474,12.6,0.67,0.229,0.298,0.108,0.037,0.33,0.536,0.675,0.479,0.468,0.326,0.346,0.504,0.985,0.049,55,0.137,0.415,0,0
2017-18,29,LAL,NBA,C,74,1735,0.465,14.2,0.59,0.178,0.251,0.13,0.032,0.41,0.549,0.745,0.503,0.427,0.32,0.345,0.545,0.982,0.059,44,0.123,0.425,0,0
2018-19,30,MIL,NBA,C,81,2322,0.452,19.2,0.349,0.173,0.101,0.055,0.02,0.651,0.613,0.765,0.456,0.535,0.313,0.365,0.649,0.952,0.057,40,0.143,0.397,0,0
2019-20,31,MIL,NBA,C,68,1817,0.435,15.6,0.516,0.227,0.183,0.091,0.015,0.484,0.549,0.697,0.423,0.459,0.4,0.314,0.668,0.99,0.069,43,0.215,0.329,0,0
2020-21,32,MIL,NBA,C,70,1902,0.503,14.2,0.561,0.263,0.211,0.064,0.023,0.439,0.632,0.774,0.511,0.488,0.533,0.338,0.692,0.958,0.111,66,0.27,0.408,0,0
2021-22,33,MIL,NBA,C,13,298,0.466,13.2,0.595,0.298,0.198,0.084,0.015,0.405,0.538,0.821,0.346,0.091,0,0.358,0.714,0.947,0.122,15,0.34,0.5,0,0
2022-23,34,MIL,NBA,C,78,2373,0.531,14,0.595,0.281,0.17,0.108,0.036,0.405,0.637,0.771,0.569,0.485,0.375,0.374,0.745,0.971,0.087,71,0.198,0.403,0,0
