Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,19,TOR,NBA,SF,8,23,0.333,10.3,0.75,0.25,0.417,0,0.083,0.25,0.222,0.667,0,,0,0.667,1,1,0.083,1,0.333,1,0,0
2015-16,20,TOR,NBA,SF,6,43,0.083,18.9,0.417,0,0.167,0.083,0.167,0.583,0,,0,0,0,0.143,,1,0,0,0.714,0.2,0,0
2016-17,21,TOR,NBA,SF,9,40,0.375,13.5,0.625,0.313,0.125,0,0.188,0.375,0.4,0.4,0,,0.667,0.333,0.5,1,0.063,1,0.5,0,0,0
2017-18,22,TOT,NBA,SF,12,107,0.29,16.6,0.452,0.161,0.097,0.161,0.032,0.548,0.429,0.6,0,0.6,0,0.176,0.333,1,0.032,1,0.353,0.333,0,0
2017-18,22,TOR,NBA,SF,2,7,0,23.5,0,0,0,0,0,1,,,,,,0,,,0,0,0.5,0,0,0
2017-18,22,SAC,NBA,SF,10,100,0.31,16.1,0.483,0.172,0.103,0.172,0.034,0.517,0.429,0.6,0,0.6,0,0.2,0.333,1,0.034,1,0.333,0.4,0,0
2018-19,23,MEM,NBA,PF,34,800,0.427,15.8,0.422,0.276,0.12,0.013,0.013,0.578,0.505,0.597,0.296,0,1,0.369,0.667,0.979,0.053,10,0.4,0.327,1,0
2019-20,24,TOT,NBA,C,30,244,0.427,11.8,0.629,0.427,0.146,0,0.056,0.371,0.571,0.658,0.385,,0.4,0.182,0.656,0.833,0.135,10,0.424,0.286,0,0
2019-20,24,MEM,NBA,C,22,192,0.406,11.5,0.638,0.435,0.145,0,0.058,0.362,0.545,0.633,0.3,,0.5,0.16,0.708,1,0.13,7,0.44,0.273,0,0
2019-20,24,HOU,NBA,C,8,52,0.5,13,0.6,0.4,0.15,0,0.05,0.4,0.667,0.75,0.667,,0,0.25,0.5,0.5,0.15,3,0.375,0.333,0,0
2020-21,25,HOU,NBA,PF,6,36,0.471,9.6,0.706,0.353,0.353,0,0,0.294,0.667,1,0.333,,,0,0.625,,0.235,4,0.4,0,0,0
