Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2016-17,24,TOT,NBA,SG,82,1888,0.426,16.9,0.506,0.197,0.091,0.1,0.117,0.494,0.461,0.55,0.414,0.442,0.367,0.391,0.436,0.791,0.012,9,0.169,0.469,1,0
2016-17,24,NOP,NBA,SG,57,1161,0.393,16.8,0.488,0.246,0.068,0.062,0.113,0.512,0.417,0.517,0.219,0.276,0.396,0.369,0.49,0.82,0.011,5,0.141,0.441,1,0
2016-17,24,SAC,NBA,SG,25,727,0.48,17,0.534,0.118,0.128,0.162,0.125,0.466,0.525,0.657,0.579,0.542,0.324,0.428,0.373,0.746,0.014,4,0.217,0.5,0,0
2017-18,25,SAC,NBA,SG,80,2024,0.446,16.4,0.563,0.16,0.106,0.105,0.192,0.437,0.457,0.631,0.364,0.327,0.436,0.431,0.442,0.773,0.015,13,0.164,0.537,2,0
2018-19,26,SAC,NBA,SG,82,2615,0.458,17,0.521,0.19,0.089,0.094,0.149,0.479,0.487,0.671,0.24,0.414,0.446,0.427,0.504,0.842,0.026,34,0.194,0.516,2,0
2019-20,27,SAC,NBA,SG,72,2216,0.429,19.1,0.408,0.13,0.078,0.082,0.118,0.592,0.479,0.675,0.352,0.4,0.401,0.394,0.396,0.723,0.015,16,0.172,0.483,0,0
2020-21,28,SAC,NBA,SG,71,2433,0.406,21.2,0.273,0.087,0.06,0.064,0.063,0.727,0.446,0.64,0.267,0.444,0.355,0.391,0.331,0.812,0.009,8,0.136,0.469,1,0
2021-22,29,TOT,NBA,SG,81,2499,0.406,19.7,0.348,0.132,0.083,0.069,0.064,0.652,0.482,0.593,0.385,0.421,0.443,0.366,0.44,0.847,0.006,7,0.154,0.391,2,1
2021-22,29,SAC,NBA,SG,55,1574,0.382,20.8,0.286,0.114,0.063,0.052,0.056,0.714,0.419,0.582,0.205,0.306,0.436,0.368,0.482,0.841,0.006,4,0.131,0.431,2,1
2021-22,29,IND,NBA,SG,26,925,0.447,17.7,0.454,0.163,0.116,0.099,0.077,0.546,0.549,0.606,0.553,0.525,0.452,0.362,0.406,0.863,0.007,3,0.204,0.333,0,0
2022-23,30,IND,NBA,SF,80,2482,0.458,19.2,0.348,0.151,0.084,0.044,0.066,0.652,0.518,0.688,0.345,0.413,0.42,0.425,0.556,0.878,0.012,12,0.167,0.478,1,0
