Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,22,POR,NBA,SG,38,476,0.416,17.3,0.551,0.129,0.14,0.096,0.185,0.449,0.449,0.435,0.52,0.588,0.333,0.375,0.364,0.9,0.011,2,0.238,0.579,1,0
2014-15,23,POR,NBA,SG,62,973,0.436,14.8,0.619,0.214,0.118,0.115,0.173,0.381,0.46,0.551,0.465,0.429,0.365,0.396,0.288,0.855,0.016,5,0.338,0.404,0,0
2015-16,24,POR,NBA,SG,80,2780,0.448,14.7,0.67,0.174,0.149,0.147,0.201,0.33,0.463,0.522,0.408,0.476,0.443,0.417,0.203,0.721,0.008,10,0.214,0.436,0,0
2016-17,25,POR,NBA,SG,80,2796,0.48,15.1,0.695,0.178,0.148,0.146,0.222,0.305,0.506,0.588,0.488,0.507,0.453,0.421,0.26,0.741,0.009,11,0.155,0.412,6,0
2017-18,26,POR,NBA,SG,81,2923,0.443,14.4,0.684,0.183,0.153,0.169,0.179,0.316,0.465,0.547,0.4,0.469,0.431,0.397,0.218,0.624,0.007,11,0.124,0.356,0,0
2018-19,27,POR,NBA,SG,70,2375,0.459,15.3,0.642,0.183,0.15,0.151,0.158,0.358,0.506,0.561,0.441,0.516,0.495,0.375,0.356,0.731,0.011,14,0.09,0.5,1,0
2019-20,28,POR,NBA,SG,70,2556,0.451,15.5,0.622,0.172,0.161,0.15,0.139,0.378,0.494,0.597,0.381,0.49,0.503,0.379,0.223,0.665,0.004,3,0.146,0.547,0,0
2020-21,29,POR,NBA,SG,47,1600,0.458,17.5,0.525,0.106,0.152,0.14,0.127,0.475,0.509,0.596,0.455,0.5,0.509,0.402,0.301,0.615,0.003,2,0.143,0.45,0,0
2021-22,30,TOT,NBA,"PG,SG",62,2145,0.46,16.2,0.597,0.127,0.183,0.162,0.125,0.403,0.509,0.642,0.441,0.497,0.49,0.388,0.254,0.659,0.003,4,0.13,0.377,0,0
2021-22,30,POR,NBA,SG,36,1267,0.436,16.7,0.565,0.126,0.165,0.155,0.119,0.435,0.476,0.607,0.409,0.476,0.43,0.384,0.223,0.658,0.003,2,0.166,0.313,0,0
2021-22,30,NOP,NBA,PG,26,878,0.493,15.6,0.639,0.128,0.206,0.172,0.132,0.361,0.549,0.688,0.476,0.523,0.561,0.394,0.286,0.662,0.004,2,0.072,0.615,0,0
2022-23,31,NOP,NBA,PG,75,2649,0.437,16,0.596,0.108,0.208,0.148,0.125,0.404,0.469,0.621,0.443,0.513,0.327,0.389,0.295,0.754,0.004,3,0.107,0.328,0,0
