Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,25,CLE,NBA,SF,65,1364,0.415,18,0.466,0.156,0.112,0.055,0.142,0.534,0.451,0.594,0.319,0.412,0.414,0.384,0.55,0.96,0.036,17,0.201,0.409,1,0
2013-14,26,CLE,NBA,SG,51,984,0.435,17.6,0.484,0.169,0.098,0.071,0.147,0.516,0.48,0.609,0.4,0.414,0.417,0.393,0.674,0.928,0.042,16,0.246,0.462,2,0
2014-15,27,IND,NBA,SG,70,1841,0.398,18.3,0.461,0.141,0.067,0.086,0.167,0.539,0.459,0.65,0.309,0.394,0.391,0.345,0.634,0.909,0.045,32,0.251,0.366,5,0
2015-16,28,IND,NBA,SF,64,1464,0.409,18.5,0.39,0.158,0.071,0.055,0.104,0.61,0.474,0.56,0.378,0.486,0.409,0.367,0.487,0.915,0.027,12,0.155,0.467,2,0
2016-17,29,IND,NBA,SF,76,1776,0.434,19.6,0.368,0.127,0.07,0.043,0.128,0.632,0.471,0.634,0.4,0.464,0.349,0.413,0.571,0.953,0.017,8,0.308,0.508,1,0
2017-18,30,TOR,NBA,SF,70,1337,0.379,20.8,0.242,0.095,0.065,0.032,0.048,0.758,0.434,0.667,0.256,0.368,0.276,0.361,0.635,0.933,0.025,12,0.196,0.494,2,0
2018-19,31,TOT,NBA,SF,53,856,0.36,19.6,0.347,0.129,0.077,0.068,0.074,0.653,0.417,0.475,0.292,0.381,0.478,0.33,0.667,0.97,0.013,3,0.227,0.391,1,0
2018-19,31,TOR,NBA,SF,40,562,0.34,19.7,0.335,0.131,0.087,0.058,0.058,0.665,0.391,0.481,0.278,0.333,0.417,0.314,0.593,0.953,0.019,3,0.241,0.394,1,0
2018-19,31,MEM,NBA,SF,13,294,0.4,19.4,0.371,0.124,0.057,0.086,0.105,0.629,0.462,0.462,0.333,0.444,0.545,0.364,0.778,1,0,0,0.197,0.385,0,0
2019-20,32,WAS,NBA,SF,10,161,0.322,18,0.407,0.169,0.153,0.017,0.068,0.593,0.333,0.5,0.222,0,0.25,0.314,0.75,0.909,0.017,1,0.2,0.286,0,0
2021-22,34,BOS,NBA,SG,1,2,,,,,,,,,,,,,,,,,,0,,,0,0
