Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,21,OKC,NBA,PG,57,698,0.41,15.3,0.601,0.129,0.194,0.162,0.115,0.399,0.467,0.472,0.426,0.489,0.5,0.324,0.141,0.778,0.004,1,0.279,0.355,1,0
2016-17,22,TOT,NBA,PG,31,462,0.332,17.1,0.554,0.14,0.135,0.14,0.14,0.446,0.346,0.333,0.423,0.407,0.222,0.314,0.216,0.852,0,0,0.093,0.375,1,0
2016-17,22,OKC,NBA,PG,20,320,0.331,16.3,0.6,0.146,0.154,0.169,0.131,0.4,0.346,0.316,0.4,0.364,0.294,0.308,0.148,0.875,0,0,0.077,0.5,1,0
2016-17,22,CHI,NBA,PG,11,142,0.333,18.8,0.46,0.127,0.095,0.079,0.159,0.54,0.345,0.375,0.5,0.6,0.1,0.324,0.4,0.818,0,0,0.118,0.25,0,0
2017-18,23,CHI,NBA,PG,25,582,0.405,15.1,0.577,0.195,0.2,0.079,0.102,0.423,0.419,0.643,0.302,0.176,0.409,0.385,0.154,0.629,0.005,1,0.088,0.375,0,0
2018-19,24,TOT,NBA,PG,40,712,0.43,14.2,0.623,0.247,0.175,0.121,0.081,0.377,0.511,0.545,0.59,0.407,0.389,0.298,0.296,0.64,0,0,0.179,0.4,1,0
2018-19,24,CHI,NBA,PG,31,536,0.411,13.6,0.649,0.28,0.173,0.119,0.077,0.351,0.486,0.532,0.552,0.3,0.462,0.271,0.302,0.688,0,0,0.169,0.5,1,0
2018-19,24,CLE,NBA,PG,9,176,0.491,16.3,0.545,0.145,0.182,0.127,0.091,0.455,0.6,0.625,0.7,0.714,0.2,0.36,0.278,0.556,0,0,0.2,0.2,0,0
2019-20,25,PHO,NBA,SG,8,183,0.485,16,0.574,0.191,0.132,0.147,0.103,0.426,0.462,0.538,0.556,0.4,0.286,0.517,0.056,0.8,0,0,0.172,0.4,0,0
2020-21,26,PHO,NBA,PG,60,1079,0.484,15.1,0.58,0.159,0.253,0.124,0.043,0.42,0.515,0.667,0.43,0.49,0.529,0.44,0.28,0.685,0,0,0.133,0.455,2,0
2021-22,27,PHO,NBA,PG,58,1278,0.409,13.8,0.641,0.187,0.3,0.112,0.041,0.359,0.449,0.536,0.381,0.53,0.333,0.336,0.183,0.634,0.002,1,0.085,0.222,1,0
2022-23,28,PHO,NBA,PG,48,968,0.415,15.8,0.592,0.124,0.267,0.146,0.055,0.408,0.448,0.607,0.388,0.439,0.4,0.368,0.3,0.662,0,0,0.097,0.333,3,0
