Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2016-17,22,BRK,NBA,SF,57,1237,0.45,15.2,0.516,0.284,0.097,0.071,0.066,0.484,0.571,0.676,0.351,0.556,0.44,0.321,0.348,0.746,0.05,19,0.223,0.39,1,0
2017-18,23,BRK,NBA,SF,71,1864,0.435,12.1,0.667,0.31,0.19,0.103,0.063,0.333,0.48,0.654,0.321,0.342,0.326,0.347,0.302,0.729,0.044,32,0.131,0.281,0,0
2018-19,24,BRK,NBA,SF,40,1063,0.429,11.7,0.681,0.321,0.242,0.089,0.029,0.319,0.483,0.581,0.41,0.395,0.286,0.312,0.314,0.458,0.035,15,0.091,0.357,0,0
2019-20,25,BRK,NBA,SG,45,1330,0.425,12.5,0.699,0.239,0.253,0.16,0.048,0.301,0.451,0.606,0.341,0.427,0.343,0.364,0.247,0.463,0.02,15,0.086,0.368,0,0
2020-21,26,TOT,NBA,SG,47,1486,0.441,13.4,0.683,0.224,0.206,0.189,0.064,0.317,0.495,0.659,0.345,0.513,0.346,0.326,0.375,0.56,0.021,17,0.143,0.297,1,0
2020-21,26,BRK,NBA,SG,12,334,0.435,13.2,0.685,0.235,0.21,0.17,0.07,0.315,0.474,0.66,0.381,0.441,0.214,0.349,0.369,0.318,0.03,6,0.127,0.25,0,0
2020-21,26,IND,NBA,SG,35,1152,0.443,13.5,0.682,0.22,0.205,0.195,0.062,0.318,0.501,0.659,0.333,0.533,0.395,0.318,0.376,0.645,0.018,11,0.149,0.31,1,0
2021-22,27,TOT,NBA,SG,58,1780,0.444,12.8,0.7,0.207,0.26,0.201,0.032,0.3,0.497,0.638,0.441,0.442,0.37,0.32,0.303,0.634,0.023,20,0.129,0.303,0,0
2021-22,27,IND,NBA,SG,39,1214,0.447,13,0.696,0.195,0.259,0.211,0.032,0.304,0.501,0.661,0.453,0.42,0.45,0.323,0.295,0.574,0.024,15,0.138,0.346,0,0
2021-22,27,CLE,NBA,SG,19,567,0.435,12.4,0.711,0.241,0.263,0.177,0.03,0.289,0.485,0.589,0.41,0.512,0.143,0.313,0.325,0.81,0.022,5,0.104,0.143,0,0
2022-23,28,CLE,NBA,SG,74,2237,0.431,14.5,0.563,0.235,0.181,0.115,0.028,0.437,0.462,0.638,0.373,0.306,0.238,0.392,0.368,0.701,0.042,29,0.228,0.405,1,0
