Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,28,NYK,NBA,PF,67,2482,0.449,14.3,0.722,0.262,0.074,0.159,0.227,0.278,0.476,0.556,0.364,0.447,0.441,0.379,0.279,0.764,0.022,31,0.123,0.294,5,0
2013-14,29,NYK,NBA,PF,77,2982,0.452,15.2,0.747,0.191,0.078,0.199,0.279,0.253,0.469,0.589,0.32,0.443,0.447,0.402,0.292,0.713,0.022,34,0.08,0.364,5,0
2014-15,30,NYK,NBA,SF,40,1428,0.444,13.9,0.778,0.221,0.089,0.185,0.283,0.222,0.474,0.584,0.417,0.409,0.447,0.341,0.38,0.787,0.02,15,0.089,0.625,1,0
2015-16,31,NYK,NBA,SF,72,2530,0.434,14,0.763,0.213,0.087,0.208,0.255,0.237,0.463,0.54,0.404,0.423,0.453,0.339,0.273,0.743,0.018,19,0.103,0.375,1,0
2016-17,32,NYK,NBA,SF,74,2538,0.433,16.6,0.697,0.127,0.076,0.211,0.284,0.303,0.466,0.563,0.419,0.437,0.457,0.359,0.313,0.762,0.011,12,0.109,0.435,7,0
2017-18,33,OKC,NBA,PF,78,2501,0.404,17.1,0.594,0.12,0.063,0.184,0.228,0.406,0.437,0.571,0.329,0.456,0.38,0.357,0.376,0.876,0.02,17,0.116,0.327,0,0
2018-19,34,HOU,NBA,PF,10,294,0.405,18.5,0.471,0.149,0.066,0.124,0.132,0.529,0.491,0.611,0.5,0.467,0.375,0.328,0.429,0.905,0.017,2,0.047,0.333,0,0
2019-20,35,POR,NBA,PF,58,1902,0.43,14.5,0.711,0.193,0.105,0.238,0.175,0.289,0.448,0.53,0.476,0.419,0.38,0.385,0.39,0.943,0.032,17,0.212,0.563,1,0
2020-21,36,POR,NBA,PF,69,1690,0.421,18.1,0.582,0.062,0.08,0.236,0.205,0.418,0.429,0.5,0.403,0.448,0.396,0.409,0.278,0.782,0.012,8,0.197,0.438,0,0
2021-22,37,LAL,NBA,PF,69,1793,0.441,19.1,0.451,0.101,0.066,0.152,0.131,0.549,0.521,0.671,0.417,0.5,0.484,0.375,0.482,0.919,0.019,11,0.171,0.412,0,0
