Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,30,PHO,NBA,PF,82,2312,0.432,19,0.445,0.117,0.093,0.068,0.166,0.555,0.509,0.615,0.458,0.547,0.45,0.37,0.477,0.981,0.024,17,0.095,0.293,3,0
2014-15,31,ORL,NBA,PF,75,1870,0.392,21.4,0.29,0.051,0.055,0.033,0.15,0.71,0.39,0.36,0.407,0.313,0.411,0.393,0.636,0.978,0.006,2,0.095,0.333,0,0
2015-16,32,TOT,NBA,"C,PF",70,1200,0.438,19.4,0.323,0.112,0.069,0.037,0.098,0.677,0.545,0.641,0.5,0.462,0.5,0.387,0.738,0.989,0.035,11,0.221,0.365,0,0
2015-16,32,ORL,NBA,PF,44,754,0.435,19.2,0.349,0.14,0.059,0.022,0.124,0.651,0.508,0.615,0.364,0.5,0.478,0.397,0.758,0.979,0.048,8,0.215,0.346,0,0
2015-16,32,CLE,NBA,C,26,446,0.441,19.7,0.292,0.081,0.081,0.056,0.068,0.708,0.596,0.692,0.615,0.444,0.545,0.377,0.714,1,0.019,3,0.228,0.385,0,0
2016-17,33,CLE,NBA,C,74,1398,0.458,19.3,0.356,0.129,0.077,0.058,0.094,0.644,0.546,0.642,0.4,0.533,0.531,0.409,0.832,1,0.05,20,0.224,0.413,0,0
2017-18,34,TOT,NBA,C,53,695,0.491,18,0.458,0.184,0.061,0.071,0.142,0.542,0.67,0.795,0.769,0.6,0.5,0.339,0.754,1,0.019,3,0.148,0.294,1,0
2017-18,34,CLE,NBA,C,44,545,0.497,17.6,0.467,0.201,0.053,0.059,0.154,0.533,0.684,0.824,0.778,0.5,0.538,0.333,0.759,1,0.018,3,0.167,0.267,0,0
2017-18,34,LAL,NBA,C,9,150,0.465,19.2,0.419,0.116,0.093,0.116,0.093,0.581,0.611,0.6,0.75,0.8,0.25,0.36,0.727,1,0.023,0,0.08,0.5,1,0
2018-19,35,CLE,NBA,C,36,341,0.368,21.7,0.325,0.043,0.077,0.085,0.12,0.675,0.289,0.8,0.222,0.1,0.286,0.405,0.727,0.969,0.017,2,0.076,0.5,0,0
