Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,27,LAC,NBA,PG,70,2335,0.481,15.3,0.729,0.143,0.157,0.173,0.257,0.271,0.538,0.689,0.545,0.5,0.477,0.328,0.173,0.447,0.008,7,0.116,0.222,2,0
2013-14,28,LAC,NBA,PG,62,2171,0.467,15.1,0.756,0.125,0.153,0.255,0.222,0.244,0.498,0.706,0.481,0.459,0.44,0.368,0.152,0.487,0.001,1,0.099,0.429,1,0
2014-15,29,LAC,NBA,PG,82,2857,0.485,16,0.702,0.096,0.105,0.232,0.269,0.298,0.523,0.634,0.496,0.52,0.495,0.398,0.117,0.424,0.001,1,0.135,0.34,0,0
2015-16,30,LAC,NBA,PG,74,2420,0.462,15.8,0.705,0.121,0.121,0.184,0.278,0.295,0.501,0.615,0.504,0.527,0.432,0.371,0.115,0.336,0.002,2,0.116,0.342,1,0
2016-17,31,LAC,NBA,PG,61,1921,0.476,18.1,0.615,0.074,0.07,0.21,0.261,0.385,0.518,0.603,0.564,0.497,0.498,0.411,0.124,0.395,0,0,0.103,0.484,1,0
2017-18,32,HOU,NBA,PG,58,1847,0.46,17.6,0.525,0.093,0.104,0.218,0.11,0.475,0.532,0.662,0.446,0.506,0.557,0.38,0.081,0.243,0,0,0.142,0.5,4,0
2018-19,33,HOU,NBA,PG,58,1857,0.419,17.9,0.507,0.081,0.133,0.225,0.068,0.493,0.479,0.586,0.396,0.469,0.551,0.358,0.057,0.252,0,0,0.163,0.345,3,1
2019-20,34,OKC,NBA,PG,70,2208,0.489,17.1,0.657,0.069,0.122,0.303,0.163,0.343,0.554,0.852,0.509,0.517,0.531,0.365,0.124,0.324,0,0,0.102,0.355,11,0
2020-21,35,PHO,NBA,PG,70,2199,0.499,16.9,0.706,0.058,0.114,0.327,0.208,0.294,0.543,0.667,0.55,0.516,0.546,0.395,0.083,0.412,0,0,0.097,0.4,4,0
2021-22,36,PHO,NBA,PG,65,2139,0.493,16.4,0.73,0.034,0.158,0.346,0.192,0.27,0.559,0.72,0.543,0.592,0.482,0.317,0.097,0.413,0,0,0.08,0.313,3,0
2022-23,37,PHO,NBA,PG,59,1889,0.44,18,0.609,0.025,0.127,0.302,0.154,0.391,0.482,0.588,0.447,0.485,0.485,0.375,0.163,0.551,0,0,0.073,0.421,1,0
