Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,21,CHA,NBA,C,82,1416,0.426,8.4,0.998,0.49,0.134,0.047,0.327,0.002,0.427,0.571,0.296,0.368,0.273,0,0.651,,0.114,41,0,,0,0
2014-15,22,CHO,NBA,C,62,1487,0.461,8.4,0.997,0.509,0.075,0.04,0.373,0.003,0.46,0.574,0.286,0.333,0.353,1,0.848,1,0.142,48,0,,0,0
2015-16,23,CHO,NBA,C,73,1774,0.529,4.9,0.977,0.648,0.151,0.041,0.137,0.023,0.539,0.64,0.439,0.222,0.267,0.1,0.787,1,0.195,78,0.2,0.5,0,0
2016-17,24,CHO,NBA,C,62,1725,0.571,4.5,0.998,0.655,0.194,0.029,0.12,0.002,0.572,0.655,0.477,0.615,0.264,0,0.798,,0.205,83,0,,0,0
2017-18,25,CHO,NBA,C,33,627,0.545,4.8,0.981,0.622,0.192,0.019,0.135,0.019,0.542,0.608,0.467,0.667,0.381,0.667,0.795,1,0.109,16,0,,0,0
2018-19,26,CHO,NBA,C,49,1243,0.551,5.1,0.936,0.545,0.328,0.055,0.009,0.064,0.57,0.691,0.434,0.211,0.333,0.273,0.745,1,0.139,43,0,,0,0
2019-20,27,CHO,NBA,C,58,1341,0.524,6.6,0.843,0.57,0.242,0.027,0.004,0.157,0.577,0.659,0.422,0.154,1,0.24,0.704,0.944,0.14,63,0.053,0.5,0,0
2020-21,28,CHO,NBA,C,48,1005,0.559,4.9,0.914,0.605,0.269,0.028,0.012,0.086,0.598,0.684,0.414,0.556,0.5,0.143,0.751,1,0.173,52,0.179,0,0,0
2021-22,29,POR,NBA,C,27,355,0.567,3.7,0.956,0.644,0.267,0.033,0.011,0.044,0.593,0.621,0.542,0.333,1,0,0.725,,0.211,16,0.25,0,0,0
2022-23,30,MIA,NBA,C,15,217,0.627,4.4,0.966,0.576,0.237,0.051,0.034,0.034,0.649,0.735,0.571,1,0,0,0.838,,0.153,8,0.5,0,0,0
