Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,DEN,NBA,SF,82,2003,0.425,13.2,0.652,0.341,0.117,0.061,0.134,0.348,0.493,0.621,0.369,0.296,0.364,0.296,0.754,0.956,0.06,50,0.629,0.358,7,0
2013-14,27,MIN,NBA,SF,81,2609,0.481,10.3,0.739,0.467,0.129,0.052,0.09,0.261,0.552,0.679,0.365,0.31,0.301,0.28,0.675,0.949,0.116,86,0.602,0.307,5,1
2014-15,28,TOT,NBA,SF,80,2087,0.426,11.2,0.708,0.381,0.163,0.056,0.108,0.292,0.491,0.642,0.313,0.356,0.299,0.268,0.657,0.968,0.065,50,0.626,0.265,7,0
2014-15,28,MIN,NBA,SF,24,680,0.418,9.4,0.818,0.458,0.138,0.062,0.16,0.182,0.467,0.641,0.226,0.429,0.194,0.195,0.651,0.875,0.084,18,0.634,0.154,1,0
2014-15,28,HOU,NBA,SF,56,1407,0.429,11.8,0.666,0.352,0.172,0.053,0.088,0.334,0.503,0.642,0.34,0.323,0.373,0.284,0.66,0.982,0.057,32,0.624,0.289,6,0
2015-16,29,HOU,NBA,SF,82,1669,0.384,13.1,0.594,0.33,0.149,0.051,0.065,0.406,0.46,0.593,0.268,0.393,0.278,0.272,0.682,0.951,0.029,15,0.625,0.293,9,0
2016-17,30,TOT,NBA,SF,82,1281,0.422,11.3,0.661,0.408,0.193,0.04,0.02,0.339,0.522,0.613,0.328,0.571,0.429,0.229,0.6,0.963,0.08,26,0.619,0.26,4,0
2016-17,30,HOU,NBA,SF,58,923,0.414,12.6,0.586,0.383,0.167,0.022,0.013,0.414,0.541,0.598,0.395,0.4,1,0.234,0.694,1,0.07,14,0.638,0.267,3,0
2016-17,30,LAL,NBA,SF,24,358,0.438,8.9,0.802,0.455,0.24,0.074,0.033,0.198,0.495,0.636,0.241,0.667,0,0.208,0.458,0.8,0.099,12,0.542,0.231,1,0
2017-18,31,TOT,NBA,"SF,SG",72,1208,0.449,10.1,0.652,0.509,0.101,0.019,0.022,0.348,0.539,0.602,0.281,0.167,0.571,0.282,0.604,1,0.089,24,0.709,0.321,3,0
2017-18,31,LAL,NBA,SF,54,694,0.453,8.3,0.75,0.547,0.157,0.029,0.017,0.25,0.543,0.628,0.333,0.2,0.333,0.186,0.586,1,0.081,12,0.558,0.167,2,0
2017-18,31,OKC,NBA,SG,18,514,0.444,12.3,0.535,0.465,0.035,0.007,0.028,0.465,0.532,0.567,0,0,0.75,0.343,0.634,1,0.097,12,0.806,0.389,1,0
2018-19,32,TOT,NBA,SF,31,492,0.431,11.9,0.642,0.423,0.138,0.041,0.041,0.358,0.494,0.673,0.118,0.2,0.2,0.318,0.718,1,0.057,7,0.386,0.294,0,0
2018-19,32,PHI,NBA,SF,7,140,0.408,10.3,0.714,0.449,0.163,0.082,0.02,0.286,0.457,0.682,0.125,0,0,0.286,0.813,1,0.061,3,0.286,0,0,0
2018-19,32,SAC,NBA,SF,24,352,0.446,12.9,0.595,0.405,0.122,0.014,0.054,0.405,0.523,0.667,0.111,1,0.25,0.333,0.652,1,0.054,4,0.433,0.385,0,0
2019-20,33,SAC,NBA,PF,5,33,0.5,7.5,0.75,0.5,0.25,0,0,0.25,0.667,1,0,,,0,1,,0,0,1,0,0,0
