Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,21,SAS,NBA,PG,28,388,0.464,11.2,0.809,0.364,0.164,0.073,0.209,0.191,0.506,0.65,0.5,0.5,0.261,0.286,0.6,0.833,0,0,0.571,0.333,1,0
2013-14,22,SAS,NBA,SG,68,936,0.475,11.6,0.857,0.298,0.177,0.121,0.26,0.143,0.502,0.658,0.404,0.313,0.478,0.316,0.395,1,0,0,0.605,0.391,1,0
2014-15,23,SAS,NBA,PG,79,1444,0.504,9.4,0.893,0.392,0.185,0.134,0.182,0.107,0.52,0.602,0.474,0.436,0.453,0.364,0.403,0.938,0.002,0,0.568,0.36,3,0
2015-16,24,TOR,NBA,SG,80,2046,0.439,10.9,0.812,0.297,0.239,0.111,0.164,0.188,0.478,0.615,0.4,0.385,0.406,0.273,0.189,0.967,0,0,0.309,0.441,1,0
2016-17,25,TOR,NBA,PG,80,2003,0.452,12.4,0.796,0.248,0.212,0.12,0.216,0.204,0.477,0.598,0.421,0.38,0.448,0.356,0.175,0.958,0,0,0.311,0.357,0,0
2017-18,26,IND,NBA,PG,82,2210,0.424,15.4,0.685,0.171,0.106,0.152,0.255,0.315,0.457,0.602,0.422,0.435,0.39,0.353,0.27,0.91,0,0,0.242,0.37,2,0
2018-19,27,IND,NBA,PG,82,2063,0.412,15.7,0.688,0.146,0.162,0.17,0.21,0.312,0.454,0.675,0.36,0.452,0.374,0.322,0.269,0.927,0,0,0.216,0.351,4,1
2019-20,28,SAC,NBA,PG,72,1759,0.415,15.4,0.614,0.158,0.201,0.131,0.124,0.386,0.455,0.677,0.41,0.315,0.392,0.352,0.217,0.893,0,0,0.245,0.436,1,0
2020-21,29,TOT,NBA,PG,63,1446,0.469,13,0.69,0.218,0.254,0.143,0.075,0.31,0.527,0.753,0.463,0.328,0.469,0.341,0.335,0.889,0,0,0.303,0.4,0,0
2020-21,29,SAC,NBA,PG,44,944,0.444,14.3,0.624,0.2,0.196,0.14,0.088,0.376,0.513,0.74,0.51,0.2,0.5,0.33,0.413,0.968,0,0,0.362,0.441,0,0
2020-21,29,DET,NBA,PG,19,502,0.506,11.2,0.784,0.244,0.335,0.148,0.057,0.216,0.543,0.767,0.424,0.5,0.4,0.368,0.253,0.714,0,0,0.158,0.167,0,0
2021-22,30,DET,NBA,PG,65,1600,0.445,14.7,0.608,0.22,0.21,0.065,0.113,0.393,0.465,0.614,0.429,0.346,0.311,0.414,0.416,0.862,0.003,0,0.248,0.487,2,0
2022-23,31,DET,NBA,PG,62,1227,0.427,16.8,0.487,0.088,0.214,0.097,0.074,0.513,0.468,0.645,0.427,0.441,0.346,0.389,0.213,0.743,0,0,0.172,0.387,0,0
