Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,27,BOS,NBA,SG,78,1941,0.464,13.5,0.706,0.3,0.098,0.091,0.217,0.294,0.503,0.629,0.327,0.375,0.461,0.372,0.516,0.966,0.034,16,0.545,0.447,1,0
2013-14,28,TOT,NBA,SG,79,1973,0.48,15.3,0.684,0.192,0.107,0.134,0.251,0.316,0.531,0.669,0.409,0.451,0.519,0.371,0.498,0.917,0.011,6,0.361,0.371,2,0
2013-14,28,BOS,NBA,SG,30,504,0.492,15.1,0.716,0.219,0.093,0.126,0.279,0.284,0.511,0.575,0.412,0.565,0.471,0.442,0.463,0.783,0.011,2,0.327,0.471,2,0
2013-14,28,MEM,NBA,SG,49,1469,0.476,15.4,0.671,0.181,0.114,0.137,0.239,0.329,0.54,0.718,0.408,0.407,0.544,0.345,0.513,0.98,0.012,4,0.373,0.34,0,0
2014-15,29,MEM,NBA,SG,77,2354,0.448,15.7,0.652,0.156,0.103,0.145,0.249,0.348,0.473,0.65,0.273,0.452,0.456,0.402,0.601,0.989,0.002,1,0.353,0.392,2,0
2015-16,30,TOT,NBA,SG,79,2334,0.454,15.2,0.66,0.191,0.091,0.136,0.243,0.34,0.493,0.607,0.466,0.414,0.458,0.378,0.606,1,0.006,3,0.369,0.325,1,0
2015-16,30,MEM,NBA,SG,51,1489,0.458,15,0.671,0.172,0.105,0.153,0.241,0.329,0.502,0.597,0.568,0.406,0.465,0.37,0.631,1,0.01,3,0.399,0.255,0,0
2015-16,30,CHO,NBA,SG,28,845,0.445,15.5,0.641,0.227,0.064,0.105,0.245,0.359,0.475,0.62,0.143,0.435,0.444,0.392,0.552,1,0,0,0.316,0.48,1,0
2016-17,31,NYK,NBA,SG,77,2459,0.456,16,0.618,0.163,0.107,0.152,0.202,0.382,0.49,0.574,0.427,0.486,0.444,0.401,0.521,0.889,0.014,9,0.405,0.459,0,0
2017-18,32,NYK,NBA,SG,76,2310,0.454,15.8,0.632,0.166,0.099,0.151,0.216,0.368,0.482,0.648,0.44,0.491,0.368,0.406,0.491,0.796,0.007,4,0.299,0.47,0,0
2018-19,33,TOT,NBA,SG,34,428,0.411,16.8,0.574,0.163,0.078,0.163,0.171,0.426,0.5,0.524,0.6,0.429,0.5,0.291,0.649,0.813,0.016,1,0.327,0.5,0,0
2018-19,33,NYK,NBA,SG,12,160,0.447,16.4,0.66,0.17,0.064,0.128,0.298,0.34,0.516,0.625,0.333,0.333,0.571,0.313,0.75,0.8,0,0,0.375,0.667,0,0
2018-19,33,DAL,NBA,SG,22,268,0.39,17,0.524,0.159,0.085,0.183,0.098,0.476,0.488,0.462,0.714,0.467,0.375,0.282,0.571,0.818,0.024,1,0.308,0.417,0,0
2019-20,34,DAL,NBA,SG,24,345,0.488,17.3,0.427,0.171,0.134,0.024,0.098,0.573,0.543,0.714,0.545,0,0.375,0.447,0.421,0.857,0.024,2,0.383,0.444,0,0
