Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,19,LAL,NBA,PG,80,2259,0.41,15.3,0.613,0.189,0.129,0.144,0.151,0.387,0.447,0.586,0.463,0.341,0.361,0.351,0.271,0.692,0.002,2,0.143,0.358,7,0
2016-17,20,LAL,NBA,PG,63,1811,0.405,16.9,0.557,0.146,0.131,0.125,0.153,0.443,0.447,0.559,0.465,0.352,0.406,0.352,0.259,0.637,0.005,4,0.133,0.451,3,0
2017-18,21,BRK,NBA,PG,48,1234,0.414,15.5,0.586,0.159,0.176,0.134,0.118,0.414,0.477,0.636,0.356,0.467,0.456,0.324,0.144,0.644,0.003,2,0.094,0.385,0,0
2018-19,22,BRK,NBA,PG,81,2448,0.434,16.4,0.581,0.137,0.157,0.178,0.109,0.419,0.482,0.558,0.441,0.504,0.41,0.369,0.155,0.53,0.003,3,0.074,0.468,1,0
2019-20,23,TOT,NBA,PG,45,1452,0.426,19.1,0.491,0.078,0.118,0.155,0.139,0.509,0.487,0.712,0.39,0.42,0.517,0.367,0.243,0.538,0.004,3,0.081,0.429,2,0
2019-20,23,GSW,NBA,PG,33,1060,0.43,19.2,0.494,0.068,0.124,0.159,0.143,0.506,0.487,0.767,0.38,0.396,0.549,0.374,0.275,0.608,0.005,3,0.09,0.483,1,0
2019-20,23,MIN,NBA,PG,12,392,0.412,18.8,0.479,0.109,0.1,0.142,0.128,0.521,0.485,0.609,0.429,0.5,0.407,0.345,0.143,0.316,0,0,0.055,0.167,1,0
2020-21,24,MIN,NBA,PG,42,1196,0.431,17.9,0.525,0.121,0.118,0.124,0.161,0.475,0.471,0.658,0.481,0.346,0.419,0.387,0.286,0.592,0.002,1,0.084,0.538,1,0
2021-22,25,MIN,NBA,PG,65,2077,0.411,18.2,0.469,0.128,0.128,0.104,0.109,0.531,0.492,0.696,0.392,0.465,0.396,0.34,0.28,0.631,0.008,5,0.083,0.395,3,0
2022-23,26,TOT,NBA,PG,71,2304,0.469,17.6,0.483,0.129,0.137,0.133,0.084,0.517,0.548,0.721,0.492,0.484,0.475,0.396,0.315,0.68,0,0,0.102,0.4,0,0
2022-23,26,MIN,NBA,PG,54,1778,0.465,17.8,0.479,0.118,0.124,0.147,0.089,0.521,0.546,0.698,0.511,0.477,0.508,0.391,0.311,0.649,0,0,0.113,0.349,0,0
2022-23,26,LAL,NBA,PG,17,526,0.484,16.6,0.498,0.163,0.181,0.086,0.068,0.502,0.555,0.778,0.45,0.526,0.333,0.414,0.328,0.783,0,0,0.063,0.714,0,0
