Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,25,IND,NBA,PG,76,1226,0.35,19.6,0.354,0.153,0.075,0.044,0.082,0.646,0.346,0.511,0.091,0.231,0.333,0.353,0.222,0.866,0,0,0.242,0.435,3,0
2013-14,26,TOT,NBA,PG,71,1939,0.415,16.6,0.538,0.224,0.096,0.068,0.149,0.462,0.427,0.534,0.246,0.367,0.411,0.401,0.297,0.639,0,0,0.19,0.365,7,1
2013-14,26,TOR,NBA,PG,10,82,0.292,16.3,0.542,0.208,0.125,0.042,0.167,0.458,0.462,0.4,0.333,0,0.75,0.091,0,1,0,0,0.273,0.333,0,0
2013-14,26,CHI,NBA,PG,61,1857,0.419,16.6,0.537,0.225,0.095,0.069,0.148,0.463,0.426,0.538,0.242,0.375,0.398,0.411,0.308,0.636,0,0,0.187,0.367,7,1
2014-15,27,TOT,NBA,PG,82,1964,0.399,13.7,0.62,0.25,0.209,0.057,0.104,0.38,0.436,0.599,0.319,0.324,0.343,0.337,0.154,0.59,0,0,0.179,0.386,6,0
2014-15,27,DET,NBA,PG,54,1287,0.41,12.7,0.675,0.282,0.226,0.054,0.113,0.325,0.45,0.615,0.337,0.28,0.346,0.327,0.129,0.49,0,0,0.14,0.286,4,0
2014-15,27,OKC,NBA,PG,28,677,0.371,16.3,0.484,0.172,0.167,0.065,0.081,0.516,0.389,0.531,0.258,0.417,0.333,0.354,0.257,0.735,0,0,0.24,0.478,2,0
2015-16,28,TOT,NBA,PG,62,1178,0.423,15.4,0.52,0.26,0.106,0.071,0.08,0.48,0.44,0.516,0.27,0.48,0.393,0.405,0.175,0.632,0,0,0.22,0.514,3,1
2015-16,28,OKC,NBA,PG,34,519,0.38,15.7,0.496,0.256,0.099,0.033,0.107,0.504,0.367,0.452,0.25,0,0.385,0.393,0.227,0.75,0,0,0.246,0.4,1,0
2015-16,28,DEN,NBA,PG,28,659,0.445,15.3,0.533,0.262,0.109,0.092,0.066,0.467,0.475,0.55,0.28,0.571,0.4,0.411,0.155,0.568,0,0,0.206,0.591,2,1
2016-17,29,ORL,NBA,PG,78,1538,0.377,18.1,0.47,0.164,0.097,0.06,0.149,0.53,0.412,0.482,0.36,0.355,0.39,0.347,0.2,0.737,0,0,0.186,0.373,4,0
2017-18,30,ORL,NBA,PG,75,1760,0.452,15.6,0.496,0.241,0.146,0.054,0.054,0.504,0.485,0.569,0.367,0.414,0.517,0.419,0.231,0.675,0,0,0.154,0.357,2,0
2018-19,31,ORL,NBA,PG,81,2269,0.47,15.2,0.541,0.267,0.137,0.075,0.061,0.459,0.511,0.646,0.333,0.353,0.512,0.421,0.182,0.641,0.001,0,0.174,0.519,4,0
2019-20,32,ORL,NBA,PG,57,1420,0.399,15.9,0.564,0.197,0.167,0.121,0.078,0.436,0.438,0.571,0.286,0.5,0.333,0.348,0.193,0.629,0,0,0.129,0.346,5,0
2020-21,33,TOT,NBA,PG,57,1129,0.394,19,0.367,0.146,0.102,0.073,0.047,0.633,0.413,0.54,0.371,0.28,0.313,0.382,0.212,0.711,0,0,0.194,0.31,0,0
2020-21,33,MIL,NBA,PG,37,713,0.37,20,0.328,0.109,0.094,0.073,0.052,0.672,0.349,0.476,0.333,0.214,0.3,0.38,0.136,0.755,0,0,0.24,0.355,0,0
2020-21,33,HOU,NBA,PG,20,416,0.424,17.8,0.417,0.192,0.113,0.073,0.04,0.583,0.476,0.586,0.412,0.364,0.333,0.386,0.267,0.647,0,0,0.125,0.182,0,0
2021-22,34,TOT,NBA,PG,55,883,0.423,20.3,0.261,0.131,0.086,0.018,0.027,0.739,0.448,0.586,0.368,0.25,0.167,0.415,0.308,0.824,0,0,0.238,0.462,0,0
2021-22,34,HOU,NBA,PG,34,510,0.404,19.8,0.294,0.162,0.074,0.022,0.037,0.706,0.4,0.545,0.3,0,0.2,0.406,0.375,0.769,0,0,0.156,0.533,0,0
2021-22,34,LAL,NBA,PG,21,373,0.453,21.1,0.209,0.081,0.105,0.012,0.012,0.791,0.556,0.714,0.444,1,0,0.426,0.2,0.897,0,0,0.353,0.417,0,0
