Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2016-17,21,GSW,NBA,C,10,85,0.5,8.4,1,0.563,0,0,0.438,0,0.5,0.778,,,0.143,,0.75,,0.188,3,,,0,0
2017-18,22,GSW,NBA,C,15,89,0.5,5.6,1,0.5,0.273,0.045,0.182,0,0.5,0.818,0.333,0,0,,0.818,,0.273,5,,,0,0
2018-19,23,GSW,NBA,C,24,410,0.716,3,1,0.784,0.149,0.014,0.054,0,0.716,0.793,0.455,0,0.5,,0.887,,0.5,35,,,0,0
2019-20,24,ATL,NBA,C,55,887,0.68,3.3,0.949,0.815,0.107,0.006,0.022,0.051,0.704,0.759,0.421,0,0.25,0.222,0.824,1,0.534,85,0.778,0.286,0,0
2020-21,25,TOT,NBA,C,39,547,0.68,6.1,0.951,0.631,0.184,0.087,0.049,0.049,0.704,0.769,0.632,0.667,0.2,0.2,0.884,1,0.35,31,0.2,1,2,0
2020-21,25,PHO,NBA,C,14,94,0.5,9.5,0.938,0.625,0.188,0.063,0.063,0.063,0.533,0.6,0.333,1,0,0,1,,0.313,3,0,,1,0
2020-21,25,LAL,NBA,C,8,112,0.941,1.8,1,0.765,0.235,0,0,0,0.941,0.923,1,,,,0.75,,0.647,10,,,0,0
2020-21,25,SAC,NBA,C,17,341,0.657,6.4,0.943,0.6,0.171,0.114,0.057,0.057,0.682,0.762,0.583,0.625,0.25,0.25,0.911,1,0.286,18,0.25,1,1,0
2021-22,26,SAC,NBA,C,56,1017,0.658,7.4,0.891,0.489,0.241,0.06,0.102,0.109,0.696,0.877,0.469,0.438,0.519,0.345,0.794,0.9,0.252,57,0.241,0.286,1,0
2022-23,27,TOT,NBA,C,41,477,0.64,7.2,0.802,0.593,0.186,0.012,0.012,0.198,0.652,0.706,0.5,0,1,0.588,0.733,0.9,0.302,21,0.765,0.692,1,0
2022-23,27,LAL,NBA,C,22,176,0.541,6,0.919,0.595,0.27,0.027,0.027,0.081,0.588,0.727,0.3,0,1,0,0.7,,0.351,10,0,,1,0
2022-23,27,UTA,NBA,C,19,301,0.714,8.1,0.714,0.592,0.122,0,0,0.286,0.714,0.69,0.833,,,0.714,0.76,0.9,0.265,11,0.929,0.692,0,0
