Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,POR,NBA,PG,82,3167,0.429,16,0.609,0.262,0.064,0.061,0.224,0.391,0.469,0.531,0.378,0.449,0.427,0.368,0.236,0.535,0.023,22,0.046,0.348,3,0
2013-14,23,POR,NBA,PG,82,2937,0.424,15.1,0.575,0.289,0.1,0.055,0.13,0.425,0.447,0.512,0.29,0.389,0.447,0.394,0.269,0.596,0.021,22,0.094,0.442,1,0
2014-15,24,POR,NBA,PG,82,2925,0.434,14.9,0.579,0.285,0.089,0.058,0.147,0.421,0.5,0.642,0.264,0.443,0.39,0.343,0.241,0.51,0.024,30,0.119,0.353,2,0
2015-16,25,POR,NBA,PG,75,2676,0.419,15,0.586,0.26,0.11,0.072,0.145,0.414,0.45,0.546,0.315,0.368,0.423,0.375,0.203,0.472,0.009,11,0.056,0.382,3,0
2016-17,26,POR,NBA,PG,75,2694,0.444,15.1,0.611,0.269,0.126,0.08,0.137,0.389,0.492,0.6,0.335,0.437,0.451,0.37,0.235,0.495,0.003,4,0.045,0.577,2,0
2017-18,27,POR,NBA,PG,73,2670,0.439,15.6,0.555,0.271,0.088,0.079,0.117,0.445,0.501,0.552,0.452,0.429,0.473,0.361,0.18,0.436,0.009,11,0.04,0.4,0,0
2018-19,28,POR,NBA,PG,80,2838,0.444,15.7,0.581,0.297,0.073,0.078,0.132,0.419,0.499,0.564,0.357,0.429,0.473,0.369,0.194,0.46,0.023,24,0.05,0.313,3,0
2019-20,29,POR,NBA,PG,66,2474,0.463,16.8,0.5,0.295,0.079,0.062,0.064,0.5,0.524,0.618,0.311,0.405,0.471,0.401,0.099,0.289,0.014,16,0.036,0.417,3,0
2020-21,30,POR,NBA,PG,67,2398,0.451,17.9,0.472,0.238,0.096,0.044,0.094,0.528,0.519,0.631,0.359,0.441,0.437,0.391,0.177,0.393,0.015,19,0.038,0.185,4,0
2021-22,31,POR,NBA,PG,29,1056,0.402,17.9,0.486,0.239,0.071,0.074,0.101,0.514,0.485,0.561,0.308,0.439,0.464,0.324,0.192,0.446,0.005,2,0.056,0.375,0,0
2022-23,32,POR,NBA,PG,58,2107,0.463,17.5,0.453,0.231,0.103,0.049,0.057,0.547,0.574,0.673,0.452,0.525,0.493,0.371,0.157,0.5,0.012,10,0.058,0.395,2,0
