Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2017-18,25,BOS,NBA,C,63,936,0.541,9.9,0.751,0.464,0.099,0.103,0.086,0.249,0.617,0.741,0.304,0.542,0.4,0.31,0.759,1,0.202,41,0.259,0.533,0,0
2018-19,26,BOS,NBA,C,66,908,0.549,10.1,0.748,0.47,0.128,0.071,0.079,0.252,0.603,0.76,0.353,0.316,0.333,0.388,0.792,0.962,0.214,52,0.06,0,0,0
2019-20,27,BOS,NBA,C,65,1566,0.566,9.2,0.775,0.493,0.169,0.073,0.04,0.225,0.633,0.729,0.458,0.516,0.412,0.333,0.804,1,0.211,81,0.135,0.385,2,0
2020-21,28,TOT,NBA,C,65,1601,0.541,12.6,0.674,0.315,0.157,0.124,0.077,0.326,0.646,0.776,0.548,0.5,0.556,0.322,0.818,1,0.165,71,0.217,0.273,1,0
2020-21,28,BOS,NBA,C,42,1027,0.552,12.9,0.67,0.299,0.163,0.125,0.083,0.33,0.653,0.756,0.553,0.611,0.542,0.347,0.825,1,0.16,41,0.221,0.333,1,0
2020-21,28,CHI,NBA,C,23,574,0.522,12.1,0.68,0.343,0.146,0.124,0.067,0.32,0.636,0.803,0.538,0.318,0.583,0.281,0.805,1,0.174,30,0.211,0.167,0,0
2021-22,29,TOT,NBA,C,47,977,0.519,12.4,0.632,0.378,0.134,0.076,0.045,0.368,0.641,0.745,0.59,0.364,0.385,0.308,0.797,0.97,0.189,48,0.252,0.37,1,0
2021-22,29,HOU,NBA,C,26,584,0.469,14.2,0.559,0.346,0.089,0.078,0.045,0.441,0.61,0.71,0.625,0.357,0.25,0.291,0.77,1,0.162,24,0.203,0.375,1,0
2021-22,29,BOS,NBA,C,21,393,0.598,9.7,0.75,0.429,0.205,0.071,0.045,0.25,0.679,0.792,0.565,0.375,0.6,0.357,0.825,0.9,0.232,24,0.393,0.364,0,0
2022-23,30,IND,NBA,C,7,109,0.477,10.4,0.75,0.409,0.205,0.136,0,0.25,0.576,0.611,0.667,0.333,,0.182,0.947,1,0.136,6,0.182,0.5,1,0
