Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,25,SAS,NBA,SG,80,2201,0.448,18.5,0.377,0.178,0.072,0.038,0.089,0.623,0.48,0.585,0.313,0.36,0.458,0.429,0.708,0.96,0.021,10,0.397,0.433,3,0
2013-14,26,SAS,NBA,SG,68,1651,0.432,19.2,0.37,0.125,0.079,0.063,0.103,0.63,0.46,0.698,0.45,0.219,0.327,0.415,0.709,0.917,0.008,4,0.333,0.358,1,0
2014-15,27,SAS,NBA,SG,81,2312,0.436,18,0.381,0.169,0.058,0.056,0.098,0.619,0.466,0.584,0.465,0.317,0.347,0.418,0.649,0.937,0.007,4,0.328,0.467,1,0
2015-16,28,SAS,NBA,SG,79,2062,0.376,18.3,0.378,0.166,0.05,0.064,0.094,0.622,0.448,0.602,0.25,0.361,0.34,0.332,0.716,0.966,0.018,6,0.312,0.294,3,0
2016-17,29,SAS,NBA,SG,68,1807,0.392,19.9,0.307,0.111,0.071,0.053,0.071,0.693,0.42,0.54,0.406,0.208,0.406,0.379,0.586,0.924,0.009,3,0.315,0.429,2,0
2017-18,30,SAS,NBA,SG,70,1791,0.387,17.2,0.43,0.173,0.102,0.059,0.096,0.57,0.419,0.546,0.333,0.242,0.389,0.363,0.624,0.991,0.018,8,0.288,0.446,0,0
2018-19,31,TOR,NBA,SG,80,2216,0.465,19.6,0.31,0.114,0.086,0.054,0.056,0.69,0.487,0.639,0.333,0.471,0.429,0.455,0.621,0.914,0.003,2,0.414,0.5,2,0
2019-20,32,LAL,NBA,SG,68,1687,0.416,19.4,0.31,0.135,0.074,0.055,0.046,0.69,0.524,0.672,0.486,0.462,0.227,0.367,0.675,0.975,0.013,5,0.391,0.398,0,0
2020-21,33,PHI,NBA,SF,69,1934,0.412,21.5,0.206,0.059,0.072,0.042,0.033,0.794,0.438,0.5,0.333,0.565,0.389,0.405,0.673,0.92,0.004,2,0.456,0.442,2,0
2021-22,34,PHI,NBA,SF,62,1353,0.394,21.8,0.153,0.069,0.047,0.019,0.019,0.847,0.469,0.682,0.2,0.5,0.333,0.38,0.87,0.922,0.003,1,0.487,0.402,1,0
2022-23,35,TOT,NBA,SG,11,138,0.449,21.4,0.245,0.041,0.061,0.122,0.02,0.755,0.5,0.5,0.333,0.5,1,0.432,0.667,1,0,0,0.324,0.417,0,0
2022-23,35,MEM,NBA,SG,3,43,0.273,20.6,0.273,0,0.091,0.182,0,0.727,0,,0,0,,0.375,,1,0,0,0.5,0.25,0,0
2022-23,35,CLE,NBA,SG,8,95,0.5,21.6,0.237,0.053,0.053,0.105,0.026,0.763,0.667,0.5,0.5,0.75,1,0.448,0.667,1,0,0,0.276,0.5,0,0
