Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2016-17,23,WAS,NBA,SG,1,1,,,,,,,,,,,,,,,,,,0,,,0,0
2017-18,24,PHO,NBA,SG,23,403,0.434,13.5,0.55,0.372,0.109,0.008,0.062,0.45,0.577,0.688,0.357,1,0.25,0.259,0.512,0.867,0.147,16,0.293,0.412,1,0
2018-19,25,HOU,NBA,SF,39,979,0.468,18.3,0.294,0.218,0.06,0.012,0.004,0.706,0.595,0.673,0.4,0,1,0.416,0.773,0.919,0.063,14,0.427,0.395,0,0
2019-20,26,HOU,NBA,SF,63,1913,0.427,17.6,0.341,0.243,0.065,0.024,0.009,0.659,0.549,0.679,0.2,0.308,0.2,0.363,0.733,0.946,0.072,31,0.414,0.354,2,0
2020-21,27,HOU,NBA,SF,36,932,0.404,17,0.426,0.224,0.103,0.037,0.063,0.574,0.483,0.557,0.464,0.3,0.353,0.346,0.643,0.815,0.074,16,0.353,0.291,1,1
2021-22,28,TOT,NBA,SF,42,727,0.404,16.9,0.409,0.207,0.116,0.045,0.04,0.591,0.444,0.634,0.174,0.333,0.375,0.376,0.75,0.932,0.061,7,0.521,0.377,1,0
2021-22,28,HOU,NBA,SF,16,233,0.338,15.2,0.541,0.311,0.081,0.068,0.081,0.459,0.375,0.391,0.167,0.4,0.5,0.294,0.8,0.8,0.095,2,0.353,0.25,1,0
2021-22,28,NYK,NBA,SF,1,3,0,27,0,0,0,0,0,1,,,,,,0,,,0,0,0,,0,0
2021-22,28,UTA,NBA,SF,25,491,0.447,17.8,0.333,0.146,0.138,0.033,0.016,0.667,0.512,0.944,0.176,0.25,0,0.415,0.714,0.971,0.041,5,0.598,0.408,0,0
2022-23,29,PHI,NBA,SF,56,807,0.472,15.5,0.442,0.279,0.086,0.03,0.036,0.558,0.644,0.727,0.412,0.833,0.286,0.336,0.714,0.892,0.071,12,0.464,0.333,0,0
