Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2016-17,22,PHI,NBA,PF,81,2129,0.411,14.2,0.632,0.283,0.146,0.056,0.149,0.368,0.469,0.599,0.437,0.404,0.275,0.311,0.513,0.925,0.015,12,0.082,0.357,1,0
2017-18,23,PHI,NBA,PF,78,2310,0.453,15,0.552,0.252,0.142,0.046,0.111,0.448,0.501,0.661,0.405,0.317,0.343,0.393,0.663,1,0.02,18,0.1,0.375,0,0
2018-19,24,TOT,NBA,PF,81,2023,0.437,15,0.536,0.302,0.102,0.045,0.088,0.464,0.499,0.657,0.296,0.226,0.328,0.365,0.742,0.966,0.014,10,0.164,0.321,0,0
2018-19,24,PHI,NBA,PF,13,396,0.364,17.1,0.47,0.197,0.159,0.023,0.091,0.53,0.435,0.577,0.333,0.333,0.333,0.3,0.815,1,0.015,2,0.1,0.143,0,0
2018-19,24,MIN,NBA,PF,68,1627,0.454,14.6,0.551,0.326,0.089,0.05,0.087,0.449,0.511,0.668,0.28,0.214,0.327,0.383,0.73,0.959,0.014,8,0.182,0.348,0,0
2019-20,25,PHO,NBA,PF,66,1632,0.476,14,0.563,0.32,0.141,0.037,0.065,0.437,0.568,0.669,0.395,0.5,0.486,0.357,0.669,0.976,0.011,6,0.166,0.231,0,0
2020-21,26,PHO,NBA,C,50,871,0.447,13.5,0.605,0.269,0.228,0.073,0.035,0.395,0.512,0.674,0.359,0.52,0.25,0.348,0.736,1,0,0,0.119,0.563,0,0
2022-23,28,TOT,NBA,"C,PF",57,806,0.458,14,0.585,0.242,0.224,0.072,0.047,0.415,0.506,0.731,0.403,0.3,0.154,0.391,0.671,1,0.004,0,0.252,0.448,0,0
2022-23,28,PHO,NBA,PF,37,533,0.427,13.5,0.612,0.236,0.247,0.073,0.056,0.388,0.45,0.643,0.386,0.308,0.1,0.391,0.633,1,0.006,0,0.319,0.409,0,0
2022-23,28,OKC,NBA,C,20,273,0.515,14.9,0.535,0.253,0.182,0.071,0.03,0.465,0.623,0.88,0.444,0.286,0.333,0.391,0.727,1,0,0,0.152,0.571,0,0
