Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,LAC,NBA,C,82,2010,0.643,2.8,1,0.701,0.277,0.014,0.008,0,0.643,0.716,0.489,0.429,0,,0.672,,0.412,179,,,0,0
2013-14,25,LAC,NBA,C,82,2870,0.676,2.1,1,0.817,0.179,0.004,0,0,0.676,0.717,0.489,0.5,,,0.744,,0.536,245,,,0,0
2014-15,26,LAC,NBA,C,82,2820,0.71,0.9,0.993,0.919,0.071,0.002,0,0.007,0.713,0.739,0.368,1,,0.25,0.69,0,0.532,252,0,,0,0
2015-16,27,LAC,NBA,C,77,2598,0.703,1.2,0.998,0.839,0.154,0.006,0,0.002,0.704,0.765,0.385,0.333,,0,0.782,,0.488,227,0,,0,0
2016-17,28,LAC,NBA,C,81,2570,0.714,1.3,0.997,0.877,0.12,0,0,0.003,0.717,0.753,0.449,,,0,0.723,,0.477,253,0,,0,0
2017-18,29,LAC,NBA,C,77,2424,0.645,1.3,1,0.843,0.145,0.005,0.002,0,0.645,0.702,0.357,0.333,0,,0.665,,0.401,212,,,0,0
2018-19,30,TOT,NBA,C,69,2047,0.641,2.1,1,0.814,0.161,0.016,0.009,0,0.641,0.705,0.403,0.143,0,,0.713,,0.437,167,,,0,0
2018-19,30,DAL,NBA,C,50,1554,0.644,2,1,0.836,0.142,0.012,0.009,0,0.644,0.707,0.37,0,0,,0.74,,0.467,128,,,0,0
2018-19,30,NYK,NBA,C,19,493,0.634,2.3,1,0.756,0.211,0.024,0.008,0,0.634,0.699,0.462,0.333,0,,0.641,,0.358,39,,,0,0
2019-20,31,BRK,NBA,C,56,1234,0.666,1.8,1,0.836,0.15,0.007,0.007,0,0.666,0.729,0.349,0,0.5,,0.743,,0.463,113,,,0,0
2020-21,32,BRK,NBA,C,57,1246,0.763,1.7,0.996,0.876,0.108,0.004,0.008,0.004,0.766,0.826,0.37,0,0,0,0.8,,0.61,137,0,,0,0
2021-22,33,TOT,NBA,C,48,622,0.643,1.7,1,0.818,0.168,0.007,0.007,0,0.643,0.701,0.417,0,0,,0.793,,0.538,69,,,0,0
2021-22,33,LAL,NBA,C,32,408,0.674,1.8,1,0.798,0.191,0,0.011,0,0.674,0.746,0.412,,0,,0.783,,0.562,45,,,0,0
2021-22,33,PHI,NBA,C,16,214,0.593,1.6,1,0.852,0.13,0.019,0,0,0.593,0.63,0.429,0,,,0.813,,0.5,24,,,0,0
2022-23,34,DEN,NBA,C,39,586,0.765,2.2,0.991,0.8,0.174,0.009,0.009,0.009,0.763,0.837,0.45,1,0,1,0.759,1,0.565,60,0,,0,0
