Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,TOR,NBA,SG,82,3013,0.445,13,0.903,0.202,0.149,0.187,0.365,0.097,0.463,0.659,0.404,0.391,0.414,0.283,0.527,0.882,0.045,54,0.292,0.343,0,0
2013-14,24,TOR,NBA,SG,79,3017,0.429,14.2,0.851,0.153,0.154,0.182,0.362,0.149,0.451,0.712,0.392,0.395,0.395,0.305,0.465,0.844,0.028,38,0.433,0.385,0,0
2014-15,25,TOR,NBA,SG,60,2100,0.413,12.3,0.911,0.193,0.153,0.228,0.337,0.089,0.426,0.644,0.391,0.372,0.353,0.284,0.417,0.96,0.033,29,0.659,0.379,1,0
2015-16,26,TOR,NBA,SG,78,2804,0.446,11.2,0.899,0.226,0.213,0.214,0.247,0.101,0.458,0.63,0.433,0.415,0.359,0.338,0.252,0.83,0.029,36,0.424,0.441,3,0
2016-17,27,TOR,NBA,SG,74,2620,0.467,12.6,0.92,0.158,0.216,0.236,0.31,0.08,0.484,0.668,0.482,0.493,0.384,0.266,0.188,0.848,0.02,28,0.395,0.408,3,0
2017-18,28,TOR,NBA,SG,80,2711,0.456,12.9,0.797,0.199,0.168,0.243,0.186,0.203,0.494,0.676,0.456,0.442,0.403,0.31,0.263,0.674,0.021,28,0.289,0.301,4,0
2018-19,29,SAS,NBA,SG,77,2688,0.481,10.8,0.966,0.216,0.236,0.272,0.241,0.034,0.492,0.715,0.474,0.412,0.401,0.156,0.276,1,0.015,20,0.489,0.273,1,0
2019-20,30,SAS,NBA,SF,68,2316,0.531,9.9,0.967,0.266,0.248,0.263,0.19,0.033,0.54,0.731,0.488,0.475,0.432,0.257,0.27,0.889,0.03,30,0.286,0.4,2,0
2020-21,31,SAS,NBA,PF,61,2056,0.495,11,0.92,0.191,0.268,0.282,0.178,0.08,0.515,0.636,0.51,0.459,0.482,0.257,0.248,0.947,0.021,17,0.324,0.292,0,0
2021-22,32,CHI,NBA,PF,76,2743,0.504,13,0.907,0.164,0.158,0.297,0.288,0.093,0.52,0.671,0.494,0.511,0.457,0.352,0.217,0.9,0.026,33,0.387,0.327,4,0
2022-23,33,CHI,NBA,SF,74,2682,0.504,13.7,0.891,0.165,0.125,0.263,0.338,0.109,0.526,0.735,0.491,0.499,0.459,0.324,0.244,0.848,0.023,29,0.31,0.318,1,0
