Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,SAC,NBA,C,75,2289,0.465,8.4,0.979,0.382,0.281,0.066,0.25,0.021,0.471,0.639,0.402,0.324,0.332,0.182,0.485,1,0.092,86,0.136,0,2,0
2013-14,23,SAC,NBA,C,71,2298,0.496,7.9,0.994,0.359,0.324,0.088,0.223,0.006,0.499,0.673,0.389,0.39,0.423,0,0.533,,0.073,82,0,,0,0
2014-15,24,SAC,NBA,C,59,2013,0.467,7.2,0.992,0.428,0.25,0.078,0.237,0.008,0.469,0.627,0.316,0.349,0.383,0.25,0.52,1,0.072,72,0.125,0,0,0
2015-16,25,SAC,NBA,C,65,2246,0.451,9.2,0.842,0.36,0.286,0.035,0.161,0.158,0.473,0.595,0.412,0.255,0.358,0.333,0.55,1,0.062,73,0.033,0.286,1,0
2016-17,26,TOT,NBA,C,72,2465,0.452,11.6,0.747,0.339,0.214,0.054,0.139,0.253,0.483,0.604,0.408,0.312,0.372,0.361,0.399,0.893,0.056,66,0.03,0.273,6,0
2016-17,26,SAC,NBA,C,55,1891,0.452,11.5,0.761,0.327,0.227,0.058,0.147,0.239,0.482,0.615,0.406,0.277,0.39,0.356,0.424,0.884,0.059,56,0.041,0.273,4,0
2016-17,26,NOP,NBA,C,17,574,0.452,12.2,0.694,0.379,0.166,0.038,0.111,0.306,0.486,0.571,0.423,0.5,0.286,0.375,0.302,0.917,0.045,10,0,,2,0
2017-18,27,NOP,NBA,C,48,1737,0.47,11.8,0.66,0.375,0.175,0.041,0.069,0.34,0.53,0.633,0.411,0.486,0.3,0.354,0.411,0.942,0.056,44,0.02,0.167,3,0
2018-19,28,GSW,NBA,C,30,771,0.48,10.1,0.744,0.415,0.251,0.035,0.043,0.256,0.551,0.656,0.441,0.385,0.313,0.274,0.566,1,0.067,23,0.042,0,0,0
2020-21,30,TOT,NBA,C,41,713,0.426,13.5,0.557,0.348,0.17,0.013,0.026,0.443,0.488,0.547,0.404,0.25,0.375,0.348,0.47,0.979,0.056,13,0.067,0.333,0,0
2020-21,30,HOU,NBA,C,25,506,0.376,15.6,0.448,0.3,0.129,0.01,0.01,0.552,0.426,0.476,0.333,0.5,0,0.336,0.475,0.974,0.048,8,0.069,0.375,0,0
2020-21,30,LAC,NBA,C,16,207,0.537,8.9,0.8,0.453,0.263,0.021,0.063,0.2,0.566,0.651,0.48,0,0.5,0.421,0.465,1,0.074,5,0.053,0,0,0
2021-22,31,TOT,NBA,C,48,717,0.46,12.1,0.623,0.361,0.225,0.015,0.022,0.377,0.554,0.65,0.452,0.2,0.286,0.303,0.598,1,0.068,20,0.049,0.333,0,0
2021-22,31,MIL,NBA,C,17,287,0.466,12.2,0.593,0.39,0.186,0.008,0.008,0.407,0.6,0.674,0.5,0,0,0.271,0.738,1,0.068,8,0.125,0.333,0,0
2021-22,31,DEN,NBA,C,31,431,0.456,12,0.641,0.345,0.248,0.019,0.029,0.359,0.53,0.634,0.431,0.25,0.333,0.324,0.514,1,0.068,12,0,,0,0
